latitude;albedo;excentricite_variable;obliquite_variable;precession_variable;T_min;T_max;Amplitude
0;0.3;False;False;False;19.557;46.394;26.837
50;0.3;False;False;False;-28.602;32.661;61.263
90;0.3;False;False;False;-69.522;17.877;87.399
0;0.3;False;False;True;19.557;46.447;26.89
50;0.3;False;False;True;-28.66;32.661;61.321
90;0.3;False;False;True;-69.575;17.877;87.452
0;0.3;False;True;False;-11.006;10.271;21.277
50;0.3;False;True;False;3.271;61.402;58.132
90;0.3;False;True;False;17.916;102.372;84.456
0;0.3;False;True;True;-11.039;10.271;21.31
50;0.3;False;True;True;3.271;64.516;61.246
90;0.3;False;True;True;17.916;106.264;88.349
0;0.3;True;False;False;19.557;51.482;31.926
50;0.3;True;False;False;-31.882;32.661;64.543
90;0.3;True;False;False;-71.57;17.877;89.448
0;0.3;True;False;True;19.557;51.705;32.148
50;0.3;True;False;True;-32.085;32.661;64.746
90;0.3;True;False;True;-71.768;17.877;89.645
0;0.3;True;True;False;-14.131;10.271;24.402
50;0.3;True;True;False;3.271;62.564;59.293
90;0.3;True;True;False;17.916;103.858;85.942
0;0.3;True;True;True;-14.267;10.271;24.538
50;0.3;True;True;True;3.271;69.512;66.242
90;0.3;True;True;True;17.916;112.514;94.599
0;0.33;False;False;False;18.524;40.237;21.713
50;0.33;False;False;False;-31.545;28.486;60.031
90;0.33;False;False;False;-70.712;14.468;85.18
0;0.33;False;False;True;18.524;40.287;21.764
50;0.33;False;False;True;-31.601;28.486;60.087
90;0.33;False;False;True;-70.762;14.468;85.23
0;0.33;False;True;False;-14.704;9.635;24.339
50;0.33;False;True;False;0.488;54.602;54.114
90;0.33;False;True;False;14.505;93.816;79.31
0;0.33;False;True;True;-14.735;9.635;24.37
50;0.33;False;True;True;0.488;57.582;57.094
90;0.33;False;True;True;14.505;97.541;83.036
0;0.33;True;False;False;18.524;45.107;26.584
50;0.33;True;False;False;-34.685;28.486;63.171
90;0.33;True;False;False;-72.672;14.469;87.14
0;0.33;True;False;True;18.524;45.32;26.797
50;0.33;True;False;True;-34.879;28.486;63.365
90;0.33;True;False;True;-72.861;14.468;87.329
0;0.33;True;True;False;-17.695;9.635;27.33
50;0.33;True;True;False;0.488;55.713;55.225
90;0.33;True;True;False;14.506;95.238;80.732
0;0.33;True;True;True;-17.824;9.635;27.46
50;0.33;True;True;True;0.488;62.365;61.876
90;0.33;True;True;True;14.505;103.523;89.018
