year,mean_C_degC,max_C_degC,min_C_degC
100,44.799222431006,44.95297376357962,44.64547109751726
200,44.79922248803831,44.952973818173234,44.64547115790339
300,44.7992224880382,44.95297381817312,44.64547115790327
400,44.7992224880382,44.95297381817318,44.64547115790333
500,44.799222488038254,44.95297381817318,44.64547115790339
600,44.799222488038254,44.95297381817318,44.64547115790333
700,44.799222488038424,44.95297381817329,44.6454711579035
800,44.79922248803814,44.95297381817301,44.64547115790333
900,44.7992224880382,44.95297381817312,44.645471157903216
1000,44.799222488038424,44.95297381817329,44.6454711579035
1100,44.7992224880382,44.952973818173064,44.64547115790339
1200,44.79922248803831,44.95297381817318,44.64547115790339
1300,44.799222488038424,44.95297381817318,44.6454711579035
1400,44.79922248803831,44.952973818173234,44.64547115790339
1500,44.7992224880382,44.952973818173064,44.64547115790333
1600,44.7992224880382,44.95297381817312,44.64547115790333
1700,44.7992224880382,44.95297381817312,44.64547115790327
1800,44.799222488038026,44.95297381817295,44.645471157903216
1900,44.7992224880382,44.95297381817312,44.64547115790339
2000,44.79922248803831,44.952973818173234,44.64547115790333
2100,44.799222488038424,44.95297381817335,44.6454711579035
2200,44.79922248803831,44.95297381817329,44.64547115790333
2300,44.799222488038424,44.95297381817335,44.64547115790339
2400,44.799222488038424,44.95297381817335,44.64547115790356
2500,44.79922248803831,44.95297381817329,44.64547115790327
2600,44.799222488038254,44.95297381817318,44.64547115790327
2700,44.79922248803837,44.952973818173234,44.64547115790339
2800,44.79922248803797,44.952973818172836,44.64547115790316
2900,44.79922248803791,44.952973818172836,44.645471157903046
3000,44.79922248803831,44.95297381817335,44.64547115790333
3100,44.79922248803854,44.95297381817352,44.64547115790367
3200,44.79922248803848,44.952973818173405,44.645471157903614
3300,44.79922248803808,44.95297381817295,44.64547115790316
3400,44.799222488038026,44.952973818172836,44.645471157903216
3500,44.79922248803837,44.952973818173234,44.6454711579035
3600,44.79922248803865,44.95297381817369,44.64547115790367
3700,44.799222488038424,44.952973818173405,44.64547115790356
3800,44.79922248803837,44.95297381817329,44.64547115790356
3900,44.79922248803831,44.95297381817312,44.64547115790327
4000,44.799222488038424,44.952973818173234,44.645471157903614
4100,44.799222488038765,44.95297381817346,44.6454711579039
4200,44.799222488038424,44.952973818173405,44.645471157903785
4300,44.799222488038424,44.952973818173234,44.64547115790367
4400,44.79922248803808,44.952973818172836,44.64547115790327
4500,44.79922248803831,44.952973818173064,44.6454711579035
4600,44.79922248803848,44.95297381817335,44.6454711579035
4700,44.79922248803865,44.95297381817346,44.645471157903614
4800,44.799222488038424,44.95297381817335,44.64547115790373
4900,44.7992224880382,44.952973818173064,44.645471157903444
5000,44.79922248803808,44.952973818172836,44.64547115790327
5100,44.799222488038424,44.952973818173234,44.645471157903614
5200,44.7992224880382,44.95297381817301,44.645471157903216
5300,44.79922248803888,44.9529738181738,44.64547115790373
5400,44.79922248803797,44.95297381817295,44.64547115790276
5500,44.79922248803837,44.95297381817335,44.6454711579031
5600,44.79922248803831,44.952973818173234,44.64547115790299
5700,44.79922248803774,44.952973818172325,44.645471157903046
5800,44.799222488038765,44.952973818173405,44.645471157904126
5900,44.799222488037685,44.952973818172325,44.6454711579031
6000,44.79922248803865,44.952973818173234,44.64547115790418
6100,44.79922248803854,44.95297381817335,44.645471157903785
6200,44.79922248803831,44.95297381817312,44.645471157903614
6300,44.79922248803922,44.95297381817443,44.645471157904296
