year;mean_C_degC;max_C_degC;min_C_degC
100;-9.920342149961868;-9.825988223946013;-10.014697308015798
200;-9.92193165037196;-9.82782939830986;-10.016035261886202
300;-9.923521489298537;-9.82974112756915;-10.017303335431734
400;-9.925111340984301;-9.831722840767043;-10.018501448766585
500;-9.926700831999995;-9.833773869113088;-10.019629523731112
600;-9.928289589002645;-9.835893491928232;-10.020687534227989
700;-9.929877238820211;-9.838080936993833;-10.021675506043493
800;-9.931463408540651;-9.839718567113323;-10.023206279472788
900;-9.933047725600545;-9.840700961436596;-10.025392633770707
1000;-9.93462981787053;-9.84175006420628;-10.027507832097228
1100;-9.936209313744428;-9.842865898607101;-10.029551107966654
1200;-9.937785842225423;-9.844048436686876;-10.03152174724795
1300;-9.939359033014341;-9.845297599192975;-10.033419088504218
1400;-9.940928516595761;-9.846613255446186;-10.03524252329089
1500;-9.942493924324765;-9.847995223253804;-10.036991496416931
1600;-9.944054888514586;-9.849443268862785;-10.038665506165842
1700;-9.94561104252216;-9.850957106950375;-10.040264104477842
1800;-9.947162020834128;-9.85253640065389;-10.04178689709073
1900;-9.9487074591529;-9.854180761640123;-10.04323354364368
2000;-9.950246994482711;-9.855889750213748;-10.044603757740106
2100;-9.951780265215518;-9.857662875465223;-10.045897306972222
2200;-9.953306911213417;-9.859499595454452;-10.047114012902739
2300;-9.954826573895332;-9.861399317436565;-10.048253751010975
2400;-9.956338896321597;-9.86336139812704;-10.049316450598951
2500;-9.957843523276267;-9.865385144000697;-10.050302094655478
2600;-9.959340101351756;-9.867469811633725;-10.05121071968432
2700;-9.96082827903075;-9.869219833833881;-10.052432971602684
2800;-9.962307706770673;-9.87008603506132;-10.054525752346365
2900;-9.96377803708367;-9.871011970931818;-10.056540608176476
3000;-9.965238924619769;-9.87199769946153;-10.058476790266923
3100;-9.966690026246908;-9.873043229236941;-10.06033360365376
3200;-9.96813100113286;-9.874148519238702;-10.062110407574266
3300;-9.969561510824803;-9.875313478701344;-10.063806615767021
3400;-9.9709812193272;-9.876537967013292;-10.065421696729175
3500;-9.972389793182913;-9.877821793653254;-10.06695517393922
3600;-9.973786901551307;-9.879164718168454;-10.068406626037586
3700;-9.975172216284989;-9.88056645018736;-10.069775686966977
3800;-9.976545412007567;-9.8820266494738;-10.07106204607328
3900;-9.977906166189484;-9.883544926017237;-10.072265448167741
4000;-9.979254159224638;-9.885120840164689;-10.073385693547891
4100;-9.980589074504508;-9.886753902787746;-10.074422637978671
4200;-9.98191059849404;-9.888443575491237;-10.075376192637123
4300;-9.983218420803325;-9.890189270856297;-10.076246324010697
4400;-9.98451223426224;-9.891990352725031;-10.0770330537635
4500;-9.985791734990983;-9.893846136520835;-10.077736458556615
4600;-9.987056622473744;-9.895582903465538;-10.078525062398796
4700;-9.98830659962664;-9.896208234386734;-10.080399855525172
4800;-9.989541372869724;-9.896887092335419;-10.08219072025156
4900;-9.990760652194353;-9.897619599561608;-10.083896954145814
5000;-9.991964151232196;-9.898405830406034;-10.085517909961425
5100;-9.993151587322416;-9.899245811100513;-10.087052995969884
5200;-9.994322681578012;-9.900139519609297;-10.088501676253202
5300;-9.995477158951417;-9.90108688550589;-10.089863470958221
5400;-9.996614748298668;-9.90208778988881;-10.091137956509442
5500;-9.997735182442284;-9.90314206533435;-10.092324765780802
5600;-9.998838198239014;-9.904249495894362;-10.09342358823693
5700;-9.999923536631627;-9.905409817115071;-10.094434170014267
5800;-10.000990942722296;-9.906622716116885;-10.095356313989384
5900;-10.002040165820631;-9.907887831692108;-10.096189879779331
6000;-10.00307095951149;-9.909204754455118;-10.096934783724805
6100;-10.00408308170887;-9.91057302702211;-10.097590998819499
6200;-10.005076294711841;-9.91199214422926;-10.098158554604254
6300;-10.00605036526332;-9.91346155339545;-10.09863753702109
6400;-10.007005064602083;-9.914980654613828;-10.099028088227158
6500;-10.007940168518473;-9.91654880108564;-10.099330406370598
6600;-10.008855457407208;-9.916873461100238;-10.100828376001118
6700;-10.009750716314954;-9.917200680273652;-10.102291423524264
6800;-10.010625734999394;-9.917576710819617;-10.103665184307602
6900;-10.011480307965826;-9.918001717699156;-10.10494908262666
7000;-10.012314234529583;-9.918475818954334;-10.106142599293378
7100;-10.013127318851616;-9.918999085507949;-10.107245271925876
7200;-10.013919369991015;-9.919571541021526;-10.108256695196133
7300;-10.014690201950316;-9.920193161781242;-10.10917652103376
7400;-10.015439633710741;-9.920863876616693;-10.110004458779542
7500;-10.016167489287284;-9.921583566875313;-10.110740275318108
7600;-10.016873597758945;-9.922352066412486;-10.111383795150346
7700;-10.017557793316143;-9.923169161638327;-10.111934900440872
7800;-10.018219915296868;-9.92403459158868;-10.11239353101712
7900;-10.01885980822226;-9.924948048041927;-10.1127596843275
8000;-10.019477321837712;-9.925909175672018;-10.113033415367227
8100;-10.020072311144645;-9.926917572235823;-10.11321483655496
8200;-10.020644636435861;-9.927972788801696;-10.113304117575694
8300;-10.021194163329085;-9.929074330014885;-10.113301485181807
8400;-10.021720762794757;-9.930221654396519;-10.113207222949598
8500;-10.022224311193497;-9.930360298592689;-10.114083052256717
8600;-10.022704690295484;-9.930260924057336;-10.115143019812251
8700;-10.023161787318543;-9.930207232734233;-10.116110743454954
8800;-10.023595494946505;-9.930199497273975;-10.116985736051447
8900;-10.02400571135803;-9.930237944167914;-10.117767567615942
9000;-10.024392340251609;-9.930322753528628;-10.11845586557763
9100;-10.024755290861492;-9.930454058902;-10.119050315001232
9200;-10.02509447799099;-9.930631947134827;-10.119550658785556
9300;-10.02540982201839;-9.930856458254311;-10.119956697796056
9400;-10.025701248928442;-9.931127585411105;-10.120268290985393
9500;-10.025968690320553;-9.931445274837927;-10.120485355449091
9600;-10.02621208342839;-9.931809425860763;-10.120607866455146
9700;-10.026431371135402;-9.932219890941383;-10.120635857431864
9800;-10.026626501985618;-9.93267647575641;-10.1205694199096
9900;-10.026797430198883;-9.933178939322318;-10.120408703429007
10000;-10.026944115679896;-9.933726994145616;-10.120153915404217
10100;-10.027066524025656;-9.934320306418613;-10.119805320945432
10200;-10.02716462653899;-9.934958496254126;-10.119363242650593
10300;-10.027238400225599;-9.935641137945197;-10.118828060338444
10400;-10.027287827813268;-9.935535284534808;-10.119039434046044
10500;-10.027312897743457;-9.934968777394943;-10.119655958105795
10600;-10.027313604177664;-9.93444679175468;-10.120179234459158
10700;-10.027289947004022;-9.933969717154184;-10.120608873442507
10800;-10.027241931829792;-9.93353789726018;-10.120944542705104
10900;-10.027169569984892;-9.933151629616816;-10.121185967462338
11000;-10.027072878514957;-9.932811165428177;-10.121332930699964
11100;-10.026951880183674;-9.932516709386675;-10.121385273351905
11200;-10.026806603461807;-9.932268419520767;-10.121342894428437
11300;-10.026637082523564;-9.932066407103775;-10.121205751100717
11400;-10.026443357233006;-9.931910736571922;-10.12097385875569
11500;-10.026225473143484;-9.931801425515175;-10.120647291004389
11600;-10.025983481480921;-9.931738444672078;-10.120226179651809
11700;-10.025717439131597;-9.931721717983692;-10.119710714622045
11800;-10.025427408635721;-9.931751122679998;-10.119101143854436
11900;-10.025113458157023;-9.93182648939171;-10.118397773134916
12000;-10.0247756614894;-9.931947602325408;-10.11760096593099
12100;-10.02441409801395;-9.932114199444754;-10.116711143127134
12200;-10.024028852708113;-9.932325972723163;-10.115728782787926
12300;-10.023620016097368;-9.931971420684818;-10.115271552703746
12400;-10.02318768425613;-9.930935607787376;-10.11544256648881
12500;-10.022731958772397;-9.929945213152507;-10.115521372445926
12600;-10.02225294673002;-9.92900074328935;-10.115507678323695
12700;-10.021750760681584;-9.928102658627552;-10.115401248893988
12800;-10.021225518619133;-9.927251373236572;-10.115201906165737
12900;-10.020677343953082;-9.926447254576146;-10.114909529598549
13000;-10.020106365475783;-9.925690623281298;-10.11452405624135
13100;-10.019512717339126;-9.924981752991812;-10.114045480856873
13200;-10.01889653901236;-9.924320870208192;-10.113473855986115
13300;-10.018257975261747;-9.92370815419963;-10.112809291994154
13400;-10.01759717610281;-9.92314373693705;-10.112051957046788
13500;-10.016914296783398;-9.922627703077751;-10.111202077085238
13600;-10.016209497724105;-9.922160089964905;-10.110259935716499
13700;-10.015482944505095;-9.921740887698718;-10.109225874105505
13800;-10.014734807800721;-9.921370039201463;-10.108100290789025
13900;-10.013965263368107;-9.921047440372831;-10.106883641488196
14000;-10.013174491979612;-9.920772940228119;-10.10557643884323
14100;-10.012362679400269;-9.920546341122247;-10.104179252139033
14200;-10.011530016331449;-9.919977602530821;-10.10308778574597
14300;-10.010676698368627;-9.918508860360305;-10.102849692306279
14400;-10.00980292596472;-9.917088410312203;-10.102522392912647
