year,mean_C_degC,max_C_degC,min_C_degC
100,44.79922516539051,44.95469938302455,44.643754140280464
200,44.799225232759795,44.956435175913214,44.64201849511767
300,44.79922524298797,44.95817742894013,44.640276274492805
400,44.79922525310809,44.95992612791878,44.63852760757294
500,44.79922526311867,44.96168120381259,44.63677256339156
600,44.799225273019886,44.963442587334555,44.63501121123505
700,44.79922528281105,44.965210208948065,44.63324362063861
800,44.7992252924916,44.966983998870376,44.63146986138344
900,44.7992253020621,44.968763887076136,44.62969000349523
1000,44.799225311520956,44.97054980329705,44.62790411723893
1100,44.79922532086846,44.97234167702902,44.626112273118565
1200,44.799225330104036,44.9741394375319,44.62431454187299
1300,44.79922533922769,44.975943013833216,44.622510994474
1400,44.79922534823862,44.97775233473084,44.62070170212195
1500,44.79922535713655,44.97956732879538,44.61888673624492
1600,44.79922536592136,44.9813879243747,44.6170661684946
1700,44.79922537459265,44.98321404959461,44.61524007074394
1800,44.799225383149576,44.985045632362244,44.61340851508402
1900,44.79922539159253,44.98688260037062,44.61157157382161
2000,44.799225399921,44.988724881099245,44.60972931947617
2100,44.799225408134305,44.99057240181759,44.607881824776484
2200,44.799225416232446,44.992425089589176,44.6060291626585
2300,44.799225424215024,44.99428287127279,44.60417140626248
2400,44.799225432081414,44.99614567352626,44.60230862892894
2500,44.79922543983156,44.99801342280955,44.60044090419723
2600,44.79922544746529,44.999886045387086,44.598568305802246
2700,44.79922545498238,45.0017634673311,44.59669090767102
2800,44.799225462381685,45.00364561452341,44.594808783919405
2900,44.79922546966412,45.00553241266158,44.592922008851076
3000,44.799225476829236,45.007423787257494,44.59103065695274
3100,44.79922548387623,45.009319663642145,44.589134802891635
3200,44.79922549080476,45.01121996696986,44.58723452151236
3300,44.79922549761403,45.013124622219436,44.585329887834064
3400,44.7992255043049,45.01503355419936,44.583420977050196
3500,44.79922551087719,45.01694668754868,44.58150786452063
3600,44.79922551733006,45.01886394673943,44.57959062577169
3700,44.799225523663324,45.0207852560809,44.577669336492704
3800,44.79922552987608,45.02271053972328,44.57574407253213
3900,44.79922553596924,45.02463972166032,44.573814909896896
4000,44.799225541942235,45.026572725731114,44.57188192474757
4100,44.79922554779483,45.028509475624105,44.56994519339429
4200,44.79922555352613,45.030449894879155,44.56800479229577
4300,44.79922555913629,45.03239390689163,44.56606079805567
4400,44.79922556462515,45.03434143491563,44.56411328741973
4500,44.799225569993155,45.03629240206686,44.56216233727315
4600,44.79922557523935,45.03824673132385,44.560208024635074
4700,44.79922558036367,45.04020434553286,44.558250426659015
4800,44.79922558536549,45.04216516741036,44.5562896206273
4900,44.799225590244816,45.0441291195466,44.55432568394866
5000,44.799225595002156,45.04609612440862,44.55235869415685
5100,44.79922559963734,45.04806610434281,44.55038872890566
5200,44.79922560414906,45.05003898157679,44.54841586596427
5300,44.79922560853862,45.05201467822576,44.546440183219715
5400,44.79922561280301,45.05399311628992,44.544461758665875
5500,44.79922561694582,45.055974217667426,44.54248067041124
5600,44.79922562096448,45.05795790414578,44.540496996663535
5700,44.799225624858536,45.05994409741152,44.53851081573538
5800,44.79922562863146,45.061932719057666,44.536522206039365
5900,44.79922563227694,45.06392369057022,44.534531246077165
6000,44.79922563580169,45.065916933355936,44.53253801445544
6100,44.79922563920019,45.0679123687201,44.53054258985759
6200,44.799225642474596,45.0699099178878,44.52854505106285
6300,44.79922564562594,45.07190950200123,44.52654547693106
6400,44.7992256486491,45.07391104211416,44.52454394639739
6500,44.79922565155124,45.07591445921673,44.522540538486
6600,44.79922565432503,45.07791967421076,44.520535332280474
6700,44.79922565697558,45.07992660793883,44.51852840694875
6800,44.79922565950244,45.08193518117025,44.51651984172031
6900,44.79922566190055,45.08394531460476,44.51450971588588
7000,44.79922566417798,45.08595692889446,44.51249810880773
7100,44.7992256663253,45.08796994461483,44.51048509989249
7200,44.79922566835046,45.089984282303305,44.50847076861811
7300,44.799225670249996,45.09199986243442,44.50645519450336
7400,44.799225672021976,45.09401660543381,44.5044384571184
7500,44.7992256736714,45.096034431689816,44.502420636085276
7600,44.799225675190314,45.09805326153332,44.500401811056406
7700,44.79922567658673,45.10007301527247,44.498382061739505
7800,44.79922567785593,45.10209361316652,44.49636146786605
7900,44.799225678998994,45.10411497544709,44.49434010920692
8000,44.79922568001888,45.10613702231723,44.492318065565314
8100,44.79922568090802,45.10815967394183,44.49029541676123
8200,44.79922568167592,45.110182850481294,44.48827224265165
8300,44.79922568231558,45.11220647205505,44.48624862310402
8400,44.79922568282956,45.1142304587774,44.48422463800978
8500,44.79922568321814,45.116254730745425,44.482200367271446
8600,44.79922568347672,45.11827920803944,44.4801758907995
8700,44.79922568361434,45.12030381074533,44.47815128852619
8800,44.79922568362184,45.122328458927996,44.47612664036944
8900,44.799225683505654,45.124353072661336,44.474102026266905
9000,44.79922568326384,45.12637757201645,44.47207752614406
9100,44.79922568289163,45.12840187706428,44.47005321992032
9200,44.79922568239749,45.1304259078978,44.468029187519164
9300,44.79922568177295,45.132449584603535,44.46600550883818
9400,44.79922568102677,45.13447282729834,44.46398226377772
9500,44.79922568015462,45.13649555610391,44.46195953220723
9600,44.79922567915423,45.1385176911636,44.45993739397949
9700,44.79922567803044,45.14053915265248,44.45791592892817
9800,44.79922567677539,45.14255986075881,44.45589521684968
9900,44.799225675399555,45.14457973571848,44.453875337529496
10000,44.79922567389542,45.14659869778387,44.451856370699716
10100,44.79922567226657,45.14861666725142,44.44983839607181
10200,44.799225670514204,45.150633564456996,44.447821493311835
10300,44.79922566862996,45.152649309768435,44.44580574203553
10400,44.799225666625205,45.15466382361933,44.44379122183176
10500,44.79922566449528,45.15667702647602,44.441778012225484
10600,44.79922566223405,45.15868883885355,44.439766192690286
10700,44.799225659855324,45.16069918134207,44.43775584266126
10800,44.79922565734688,45.16270797456582,44.43574704149279
10900,44.79922565471708,45.164715139227326,44.43373986849747
11000,44.79922565195494,45.16672059607964,44.43173440289962
11100,44.799225649072184,45.16872426595762,44.429730723888895
11200,44.79922564606244,45.17072606975853,44.42772891055591
11300,44.799225642936506,45.17272592846007,44.42572904194486
11400,44.79922563967858,45.17472376310036,44.4237311969851
11500,44.79922563629788,45.17671949481172,44.42173545456467
11600,44.79922563279081,45.178713044809626,44.41974189345768
11700,44.79922562915925,45.180704334385894,44.417750592380514
11800,44.79922562541259,45.182693284944435,44.41576162994397
11900,44.79922562152916,45.1846798179385,44.413775084655526
12000,44.799225617535114,45.18666385496914,44.41179103496313
12100,44.799225613401745,45.188645317683495,44.40980955916581
12200,44.79922560915929,45.1906241278831,44.40783073551944
12300,44.79922560478616,45.19260020743167,44.405854642119266
12400,44.79922560029178,45.19457347832105,44.403881356992656
12500,44.79922559567552,45.1965438626533,44.40191095803539
12600,44.799225590933645,45.198511282631955,44.39994352303847
12700,44.7992255860766,45.200475660603956,44.397979129672706
12800,44.799225581090525,45.20243691899702,44.39601785548706
12900,44.799225575982575,45.20439498039934,44.39405977790375
13000,44.79922557075173,45.20634976750131,44.39210497423409
13100,44.799225565404356,45.20830120314224,44.39015352164944
13200,44.7992255599321,45.21024921027197,44.388205497185595
13300,44.79922555434405,45.21219371199521,44.386260977753295
13400,44.79922554862236,45.21413463153016,44.384320040102295
13500,44.79922554279011,45.216071892271884,44.38238276088066
13600,44.79922553682917,45.218005417728136,44.380449216546936
13700,44.79922553076079,45.21993513158134,44.37851948346133
13800,44.79922552456287,45.221860957633055,44.37659363777726
13900,44.799225518246544,45.22378281985965,44.37467175554286
14000,44.79922551181323,45.225700642398294,44.37275391262051
14100,44.79922550525248,45.22761434951735,44.37084018472552
14200,44.79922549858691,45.22952386569756,44.36893064741872
14300,44.799225491786615,45.23142911551889,44.36702537606436
14400,44.7992254848819,45.23333002379559,44.365124445905565
14500,44.79922547784736,45.23522651545966,44.36322793196325
14600,44.79922547070095,45.237118515655084,44.36133590912647
14700,44.799225463434425,45.239005949685975,44.359448452077004
14800,44.79922545605069,45.24088874303635,44.357565635336755
14900,44.7992254485502,45.24276682138236,44.35568753323025
15000,44.79922544093597,45.24464011057762,44.353814219911044
15100,44.799225433203446,45.24650853666924,44.351945769322015
15200,44.79922542535297,45.24837202588799,44.350082255235804
15300,44.799225417385344,45.2502305046757,44.348223751208366
15400,44.79922540930187,45.25208389965337,44.346370330625064
15500,44.799225401110846,45.2539321376716,44.34452206665213
15600,44.79922539279448,45.25577514573882,44.342679032246
15700,44.799225384375006,45.257612851119234,44.34084130018448
15800,44.79922537582394,45.2594451812372,44.339008942990574
15900,44.79922536717555,45.26127206378493,44.33718203303749
16000,44.799225358400406,45.26309342661716,44.33536064241389
16100,44.799225349523965,45.264909197848,44.333544843057666
16200,44.799225340528835,45.26671930578203,44.3317347066282
16300,44.79922533141911,45.268523678956456,44.32993030459926
16400,44.79922532220479,45.27032224615442,44.32813170820384
16500,44.79922531286604,45.27211493634593,44.326338988438295
16600,44.79922530342827,45.27390167878792,44.3245522160903
16700,44.799225293871416,45.27568240292021,44.32277146168832
16800,44.799225284211445,45.277457038456475,44.32099679554227
16900,44.7992252744329,45.279225515325436,44.31922828770189
17000,44.79922526454749,45.280987763716496,44.31746600799238
17100,44.799225254551516,45.28274371406326,44.315710025983265
17200,44.79922524444925,45.284493297037955,44.31396041100095
17300,44.799225234234086,45.28623644357202,44.312217232109674
17400,44.79922522391564,45.2879730848523,44.31048055813801
17500,44.79922521348465,45.28970315231169,44.30875045763645
17600,44.79922520294912,45.29142657765556,44.30702699891725
17700,44.79922519230536,45.29314329284688,44.30531025000545
17800,44.79922518154996,45.29485323010232,44.30360027868403
17900,44.7992251706969,45.29655632193675,44.30189715246223
18000,44.79922515972822,45.298252501092975,44.3002009385674
18100,44.799225148668995,45.29994170063088,44.29851170398166
18200,44.799225137488236,45.30162385383795,44.2968295153658
18300,44.799225126213,45.30329889432545,44.29515443915335
18400,44.79922511482562,45.304966755955945,44.29348654145525
18500,44.79922510334103,45.30662737289185,44.291825888135065
18600,44.799225091755034,45.30828067957657,44.29017254474394
18700,44.79922508006149,45.30992661072884,44.28852657654954
18800,44.79922506826955,45.31156510138169,44.286888048538174
18900,44.799225056367845,45.31319608683566,44.28525702538883
19000,44.799225044371326,45.314819502721264,44.2836335714959
19100,44.799225032272034,45.316435284937086,44.28201775095414
19200,44.79922502007565,45.31804336969924,44.280409627549545
19300,44.79922500777519,45.31964369351891,44.27880926476746
19400,44.799224995379916,45.32123619322198,44.27721672579224
19500,44.799224982876694,45.322820805933304,44.27563207348027
19600,44.79922497028497,45.3243974691045,44.27405537041216
19700,44.79922495758473,45.3259661204807,44.27248667881088
19800,44.799224944800756,45.32752669815028,44.27092606063377
19900,44.79922493190918,45.32907914048724,44.26937357746198
20000,44.79922491892421,45.33062338621045,44.26782929060562
20100,44.799224905845165,45.3321593743612,44.266293261017836
20200,44.79922489266329,45.33368704428591,44.264765549342656
20300,44.799224879400356,45.3352063357014,44.263246215899755
20400,44.79922486602578,45.3367171885954,44.26173532064939
20500,44.79922485257413,45.338219543353034,44.2602329232667
20600,44.79922483901527,45.33971334063858,44.25873908303771
20700,44.799224825372676,45.34119852149564,44.25725385895578
20800,44.79922481163345,45.3426750272871,44.2557773096421
20900,44.79922479779975,45.344142799718725,44.254309493391304
21000,44.79922478388704,45.34560178086076,44.25285046816589
21100,44.7992247698628,45.347051913083874,44.25140029153022
21200,44.79922475576518,45.34849313917226,44.249959020781375
21300,44.79922474158775,45.34992540223203,44.24852671278944
21400,44.79922472729032,45.35134864566993,44.247103424078546
21500,44.79922471292599,45.35276281335325,44.24568921088587
21600,44.79922469847588,45.354167849436465,44.2442841290237
21700,44.79922468393585,45.35556369844056,44.242888233948804
21800,44.79922466929628,45.35695030525602,44.24150158076833
21900,44.79922465458901,45.35832761516957,44.24012422425329
22000,44.799224639781755,45.359695573778026,44.2387562187472
