year;mean_C_degC;max_C_degC;min_C_degC
100;-9.920340451263712;-9.824929157241627;-10.015751070536112
200;-9.921929931775367;-9.825710722913186;-10.018148647352234
300;-9.923519754618212;-9.826566927802446;-10.020472271801793
400;-9.92510959408088;-9.82749965967463;-10.022719405299824
500;-9.926699076776345;-9.828510711577906;-10.024887507856874
600;-9.928287829396595;-9.82960182439001;-10.026974091807233
700;-9.92987547880108;-9.83077468376348;-10.028976725039968
800;-9.93146165210345;-9.831357774096602;-10.031561480975824
900;-9.93304597675916;-9.83121618355932;-10.034871765586729
1000;-9.934628080654875;-9.831131603853464;-10.038120603925563
1100;-9.936207592192716;-9.831106490200284;-10.041304797618977
1200;-9.937784140379847;-9.831143275106001;-10.044421172212253
1300;-9.93935735491516;-9.831244364958366;-10.04746658074555
1400;-9.940926866275618;-9.831412136616507;-10.050437907337141
1500;-9.942492305803285;-9.831648933997997;-10.053332070770296
1600;-9.944053305793204;-9.831957064667904;-10.0561460280789
1700;-9.945609499576847;-9.832338796429156;-10.058876778125637
1800;-9.947160521612545;-9.832796353928586;-10.06152136517477
1900;-9.948706007566614;-9.833331915268388;-10.064076882444795
2000;-9.950245594402702;-9.833947608641324;-10.066540475650072
2100;-9.951778920465927;-9.834645508985034;-10.068909346516364
2200;-9.953305625566486;-9.835427634659709;-10.07118075626903
2300;-9.954825351066518;-9.836295944160383;-10.07335202909502
2400;-9.95633773996343;-9.837252332859293;-10.07542055556695
2500;-9.95784243697301;-9.838298629787289;-10.077383796028585
2600;-9.959339088613945;-9.839436594457766;-10.079239283938705
2700;-9.960827343290987;-9.840147467476413;-10.081498710135577
2800;-9.962306851377832;-9.839690080610978;-10.084915100843602
2900;-9.963777265297665;-9.839298139962807;-10.088247868385338
3000;-9.965238239606549;-9.838974376267458;-10.091493591295489
3100;-9.966689431074371;-9.838721485185829;-10.094648887599817
3200;-9.968130498764992;-9.83854212362013;-10.097710418658608
3300;-9.969561104117872;-9.83843890603697;-10.100674893006783
3400;-9.970980911025265;-9.838414400802606;-10.103539070173667
