year,mean_C_degC,max_C_degC,min_C_degC
100,38.70898694701435,38.855870022162264,38.562101159972144
200,38.7074655917782,38.85395790745304,38.56097036743972
300,38.70594382124597,38.85193606926339,38.55994846989131
400,38.70442203827122,38.84980528450393,38.559035496997126
500,38.70290060032886,38.84756636792281,38.55823134910139
600,38.70137986481308,38.845220215118104,38.557535845534915
700,38.69986018895304,38.84276780204709,38.556948724936774
800,38.69834192972934,38.84117121992517,38.555516500954184
900,38.69682544379049,38.84059279604003,38.55306177375729
1000,38.69531108736743,38.83990919734816,38.55071647700976
1100,38.69379921619145,38.83912016245807,38.54848158370356
1200,38.69229018541017,38.83822550993972,38.546357985703594
1300,38.69078434950336,38.837225138637905,38.5443464932672
1400,38.68928206220079,38.8361190279245,38.542447834626614
1500,38.687783676398,38.83490723788941,38.54066265563
1600,38.686289544074214,38.83358990947244,38.538991519445176
1700,38.68480001620907,38.83216726453355,38.53743490632269
1800,38.683315442699666,38.83063960586077,38.53599321342182
1900,38.6818361722805,38.829007317121295,38.53466675469906
2000,38.68036255243874,38.827270862746786,38.53345576085371
2100,38.67889492933324,38.82543078776001,38.532360379339025
2200,38.67743364771536,38.82348771754317,38.53138067443473
2300,38.675979050845285,38.821442357541116,38.530516627377665
2400,38.674531480412156,38.81929549290595,38.52976813655573
2500,38.673091276454386,38.817047988083516,38.52913501776351
2600,38.67165877727962,38.81470078633674,38.528617004517
2700,38.67023431938435,38.81287030706551,38.52760640150939
2800,38.66881823737498,38.8124099244049,38.52523440996384
2900,38.66741086389112,38.81185108451814,38.522978285033616
3000,38.66601252952461,38.81119348754709,38.52083898793455
3100,38.664623562743316,38.810436911934005,38.518817397339944
3200,38.66324428981437,38.809581214749926,38.516914308899004
3300,38.661875034725085,38.80862633196364,38.51513043480986
3400,38.660516119111094,38.807572278650866,38.51346640346463
3500,38.659167862177185,38.80641914914378,38.511922759143545
3600,38.6578305806234,38.80516711711829,38.510499961778805
3700,38.65650458856925,38.80381643562214,38.50919838677487
3800,38.65519019748268,38.80236743704364,38.50801832489691
3900,38.65388771610537,38.800820533020385,38.506959982213914
4000,38.65259745037986,38.79917621428257,38.5060234801075
4100,38.651319703378874,38.79743505044269,38.50520885534286
4200,38.65005477523067,38.79559768971819,38.50451606019516
4300,38.64880296305449,38.79366485860254,38.50394496264937
4400,38.64756456088509,38.79163736146751,38.50349534664764
4500,38.64633985960654,38.78951608011073,38.50316691240761
4600,38.645129146882994,38.78757196933071,38.50269769110446
4700,38.643932707091665,38.7873489542298,38.50052752481355
4800,38.64275082125579,38.787033466978244,38.49847892780571
4900,38.64158376697793,38.78662514111522,38.496552822012404
5000,38.64043181837593,38.786123686996405,38.49475004558599
5100,38.63929524601798,38.78552889214831,38.49307135241776
5200,38.63817431685783,38.784840621559,38.49151741171676
5300,38.63706929417441,38.78405881791406,38.49008880765189
5400,38.63598043750716,38.78318350176784,38.48878603905246
5500,38.63490800260041,38.7822147716617,38.48760951917785
5600,38.633852241332704,38.78115280416773,38.48655957553126
5700,38.632813401673445,38.77999785389858,38.48563644976451
5800,38.63179172760664,38.77875025342445,38.48484029760863
5900,38.6307874590903,38.77741041315943,38.48417118890296
6000,38.62980083198761,38.77597882116709,38.48362910765616
6100,38.6288320780169,38.77445604291586,38.483213952186134
6200,38.62788142469884,38.77284272097853,38.48292553531735
6300,38.62694909529756,38.77113957465673,38.48276358463772
6400,38.62603530877493,38.769347399566016,38.482727742821226
6500,38.62514027973367,38.76746706714607,38.482817568004805
6600,38.62426421836682,38.76750633241704,38.481033974387
6700,38.62340733041657,38.76753468387449,38.479292288576005
6800,38.622569817111355,38.767474868908835,38.47767751109183
6900,38.62175187513668,38.76732650568488,38.47619041677723
7000,38.62095369657055,38.767089288368425,38.4748316952614
7100,38.620175468853574,38.76676298746821,38.47360195056348
7200,38.61941737473609,38.76634745008852,38.472501700731925
7300,38.61867959223417,38.76584260013561,38.471531377551
7400,38.61796229460015,38.76524843847318,38.47069132632549
7500,38.61726565026271,38.76456504299,38.46998180569619
7600,38.61658982280727,38.7637925686451,38.46940298755294
7700,38.61593497092127,38.762931247416645,38.4689549569772
7800,38.61530124836594,38.76198138822053,38.46863771227004
7900,38.614688803939714,38.760943376750845,38.468451165034196
8000,38.614097781439,38.759817675266106,38.46839514031245
8100,38.613528319629665,38.75860482232122,38.468469376798566
8200,38.61298055220976,38.75730543243043,38.46867352710018
8300,38.61245460778031,38.755920195678016,38.46900715806822
8400,38.61195060981794,38.75444987726996,38.46946975119283
8500,38.611468676638026,38.754536873160475,38.468407950630535
8600,38.611008921379096,38.754980385218175,38.46704522023913
8700,38.610571451961164,38.75533876508234,38.46581218850508
8800,38.61015637107363,38.75561152270029,38.46470955061716
8900,38.60976377614469,38.75579824327059,38.46373791599456
9000,38.60939375931747,38.75589858760037,38.46289780788254
9100,38.6090464074378,38.75591229241218,38.462189663019444
9200,38.60872180201699,38.75583917056764,38.46161383134222
9300,38.608420019232256,38.7556791112645,38.46117057578584
9400,38.60814112989061,38.755432080141304,38.46086007210977
9500,38.60788519942605,38.75509811935126,38.460682408817945
9600,38.607652287878295,38.75467734755625,38.460637587122164
9700,38.60744244987785,38.7541699598695,38.46072552096962
9800,38.6072557346385,38.7535762277426,38.46094603714175
9900,38.607092185937574,38.75289649877652,38.46129887540167
10000,38.6069518421113,38.75213119649533,38.46178368871563
10100,38.60683473604814,38.75128082004676,38.462400043534046
10200,38.60674089517261,38.75034594384283,38.46314742012254
10300,38.60667034145223,38.749327217155724,38.464025212978186
10400,38.60662309137382,38.749521911610145,38.463725711823145
10500,38.60659915595727,38.750419378632046,38.46278057765909
10600,38.6065985407468,38.75123286636847,38.461966061970486
10700,38.60662124580182,38.75196176774796,38.461282771788945
10800,38.60666726571122,38.75260555065381,38.46073122824777
10900,38.60673658958291,38.75316375830835,38.460311866181996
11000,38.60682920105563,38.753636009612876,38.46002503381152
11100,38.606945078293336,38.75402199941311,38.459870992461106
11200,38.607084193996286,38.75432149873075,38.45984991635578
11300,38.60724651540596,38.754534354904195,38.45996189248706
11400,38.60743200431972,38.7546604917095,38.46020692052247
11500,38.60764061708602,38.754699909368924,38.46058491278734
11600,38.607872304625005,38.754652684552184,38.46109569430598
11700,38.60812701243839,38.754518970283186,38.46173900291075
11800,38.60840468061423,38.75429899579933,38.462514489399666
11900,38.60870524386371,38.75399306636422,38.46342171778889
12000,38.60902863149994,38.7536015629849,38.46446016556064
12100,38.60937476749865,38.75312494212005,38.4656292240706
12200,38.609743570467685,38.752563735270144,38.46692819890251
12300,38.6101349537152,38.752870147350336,38.467394969562065
12400,38.61054882523047,38.75422364206372,38.466869417115674
12500,38.61098508772949,38.755492340992305,38.46647344602542
12600,38.6114436386672,38.75667551997799,38.46620757522146
12700,38.61192437026216,38.757772529984436,38.466072238030506
12800,38.612427169530974,38.75878279752129,38.4660677818311
12900,38.61295191830084,38.75970582501316,38.46619446770262
13000,38.61349849324836,38.76054119111427,38.46645247019205
13100,38.614066765920654,38.761288550958966,38.46684187710787
13200,38.6146566027773,38.76194763636113,38.46736268939685
13300,38.61526786520625,38.76251825594073,38.468014821059455
13400,38.61590040957367,38.76300029520098,38.46879809916305
13500,38.616554087233055,38.76339371653296,38.469712263865176
13600,38.617228744594684,38.76369855919148,38.4707569685645
13700,38.61792422312311,38.763914939158724,38.47193178004716
13800,38.61864035941534,38.7640430490174,38.47323617875554
13900,38.619376985196766,38.764083157682876,38.47466955906043
14000,38.620133927399024,38.764035610160306,38.47623122965024
14100,38.62091100817031,38.76390082716625,38.47792041393643
14200,38.62170804493826,38.76428592456068,38.479120561219986
14300,38.62252485044718,38.76606062204377,38.478979754998704
14400,38.62336123278868,38.767747815724874,38.478965614256595
14500,38.62421699547457,38.76934667302743,38.47907857840562
14600,38.62509193744842,38.770856437101145,38.479319001986084
14700,38.62598585316863,38.7722764273085,38.47968715435002
14800,38.62689853262333,38.77360603960801,38.480183219308685
14900,38.62782976140801,38.77484474692477,38.48080729491471
15000,38.628779320754745,38.7759920994086,38.48155939326318
15100,38.62974698760098,38.777047724691215,38.48243944037222
