year;mean_C_degC;max_C_degC;min_C_degC
100;-3.365593804455841;-1.06563591502686;-5.665555742580409
200;-3.365593943271449;-1.066814939493554;-5.664377126400609
300;-3.365594044953639;-1.0680601969391432;-5.663132198026403
400;-3.3655941458578695;-1.069370793570215;-5.661821925698632
500;-3.365594245909108;-1.0707457513713052;-5.66044728719055
600;-3.3655943450327754;-1.0721840442969324;-5.659009308310317
700;-3.365594443153043;-1.0736845990369943;-5.657509062128838
800;-3.365594540202835;-1.0752462958276965;-5.655947668192482
900;-3.3655946361007523;-1.0768679692631054;-5.654326291664859
1000;-3.365594730780515;-1.0785484091964008;-5.652646142478375
1100;-3.3655948241727742;-1.080286361620324;-5.6509084744281495
1200;-3.3655949162039747;-1.082080529605662;-5.649114584224662
1300;-3.3655950068076095;-1.083929574279523;-5.6472658105344635
1400;-3.3655950959159213;-1.0858321158143553;-5.645363532984675
1500;-3.365595183463199;-1.0877867344659649;-5.643409171124915
1600;-3.365595269382027;-1.0897919716202864;-5.641404183373197
1700;-3.365595353608626;-1.0918463308935884;-5.639350065923793
1800;-3.365595436084334;-1.0939482792534818;-5.637248351642597
1900;-3.365595516739461;-1.0960962481370302;-5.635100608900132
2000;-3.365595595519494;-1.098288634653727;-5.6329084404253535
2100;-3.3655956723640656;-1.1005238027636324;-5.630673482097336
2200;-3.365595747218208;-1.102800084502121;-5.628397401729217
2300;-3.365595820023259;-1.1051157812202064;-5.626081897809058
2400;-3.365595890727093;-1.1074691648577186;-5.6237286982602654
2500;-3.3655959592765043;-1.1098584792342194;-5.621339559128614
2600;-3.3655960256184585;-1.112281941351398;-5.618916263271387
2700;-3.3655960897061163;-1.1147377427319611;-5.616460619050656
2800;-3.3655961514916726;-1.1172240507667652;-5.613974458956818
2900;-3.3655962109238544;-1.1197390100703046;-5.611459638256804
3000;-3.365596267959006;-1.1222807438935547;-5.608918033600219
3100;-3.365596322557053;-1.1248473554982752;-5.6063515416281575
3200;-3.3655963746826387;-1.1274369295865085;-5.60376207756218
3300;-3.365596424294722;-1.13004753371996;-5.601151573751508
3400;-3.365596471350102;-1.132677219762968;-5.59852197824722
3500;-3.365596515813934;-1.135324025341788;-5.595875253357235
3600;-3.365596557656488;-1.137985975320646;-5.593213374166282
3700;-3.365596596848434;-1.1406610832515298;-5.5905383270684865
3800;-3.3655966333600986;-1.1433473528665559;-5.58785210828637
3900;-3.3655966671602755;-1.1460427795677788;-5.585156722369788
4000;-3.3655966982241807;-1.1487453519284259;-5.5824541807187416
4100;-3.3655967265284517;-1.15145305318498;-5.579746500075942
4200;-3.3655967520596732;-1.1541638627615498;-5.577035701015461
4300;-3.3655967747939144;-1.1568757577405222;-5.574323806436269
4400;-3.3655967947129852;-1.1595867144062026;-5.571612840053945
