year,mean_C_degC,max_C_degC,min_C_degC
100,-3.3644471015305157,-1.0615402215003655,-5.667353163096607
200,-3.3632384824287556,-1.0584795318388842,-5.667996608577994
300,-3.3620295338959636,-1.0554143892229604,-5.668643846116709
400,-3.360820576279764,-1.0523453468479147,-5.669294965043662
500,-3.3596118934985384,-1.0492729226384654,-5.669950015270729
600,-3.3584037694049584,-1.046197634596865,-5.670609046502761
700,-3.357196487719591,-1.043120000691033,-5.671272108212463
800,-3.355990331973203,-1.040040538750361,-5.671939249633681
900,-3.3547855854168915,-1.036959766327925,-5.6726105197176935
1000,-3.3535825309846246,-1.0338782006191423,-5.6732859671347455
1100,-3.3523814512097374,-1.0307963583265973,-5.673965640252504
1200,-3.3511826281561525,-1.027714755548459,-5.674649587102351
1300,-3.3499863433635255,-1.024633907677071,-5.675337855369548
1400,-3.3487928777738034,-1.0215543292762845,-5.676030492377606
1500,-3.3476025116684127,-1.0184765339777186,-5.676727545059464
1600,-3.346415524596239,-1.0154010343537152,-5.6774290599423125
1700,-3.3452321953161572,-1.0123283418191704,-5.67813508312571
1800,-3.3440528017318343,-1.009258966524044,-5.678845660274703
1900,-3.3428776208099293,-1.0061934172150018,-5.679560836575661
2000,-3.341706928542692,-1.0031322011589054,-5.680280656743776
2100,-3.3405409998593427,-1.0000758240110486,-5.681005164989074
2200,-3.339380108575483,-0.9970247897118156,-5.681734405004477
2300,-3.3382245273183457,-0.9939796003710626,-5.682468419931411
2400,-3.3370745274729074,-0.9909407561636954,-5.683207252368959
2500,-3.3359303791109483,-0.9879087552237706,-5.683950944332764
2600,-3.334792350928808,-0.9848840935268868,-5.684699537235133
2700,-3.333660710189804,-0.9818672647905373,-5.685453071890663
2800,-3.3325357226545407,-0.978858760364119,-5.6862115884720765
2900,-3.331417652515313,-0.9758590691102995,-5.686975126505445
3000,-3.3303067623471065,-0.9728686773282789,-5.687743724846257
3100,-3.329203313039841,-0.9698880686204916,-5.688517421669019
3200,-3.328107563739138,-0.9669177238018847,-5.689296254453836
3300,-3.3270197717745873,-0.9639581207859464,-5.690080259946001
3400,-3.3259401926023315,-0.9610097344821611,-5.690869474154056
3500,-3.3248690797572067,-0.95807303669784,-5.691663932343488
3600,-3.3238066847890195,-0.955148496050299,-5.692463669002052
3700,-3.322753257198144,-0.9522365778372546,-5.693268717829824
3800,-3.321709044377144,-0.9493377439491155,-5.6940791117255
3900,-3.320674291549892,-0.9464524527675167,-5.694894882755079
4000,-3.3196492417245054,-0.9435811590741423,-5.695716062159363
4100,-3.318634135629111,-0.9407243139407342,-5.696542680327639
4200,-3.317629211664382,-0.9378823646536603,-5.697374766776477
4300,-3.3166347058274255,-0.9350557545783431,-5.698212350135918
4400,-3.315650851672501,-0.9322449230998018,-5.699055458135319
4500,-3.3146778802469044,-0.9294503055040764,-5.699904117580843
4600,-3.313716020056006,-0.9266723329104707,-5.700758354366258
4700,-3.3127654969891296,-0.9239114321651982,-5.701618193434854
4800,-3.311826534272086,-0.9211680257427588,-5.702483658763015
4900,-3.3108993524163566,-0.9184425316561828,-5.70335477336431
5000,-3.3099841691644656,-0.9157353633806338,-5.70423155925323
5100,-3.3090811994364344,-0.9130469297472814,-5.705114037436886
5200,-3.3081906553047133,-0.9103776348870269,-5.706002227932231
5300,-3.3073127458943077,-0.9077278781043105,-5.706896149704335
5400,-3.306447677404151,-0.9050980538370936,-5.7077958206947415
5500,-3.3055956529626087,-0.9024885515041774,-5.708701257747293
5600,-3.3047568726682357,-0.8998997554914467,-5.709612476688562
5700,-3.303931533533614,-0.8973320450767233,-5.710529492259468
5800,-3.3031198293307966,-0.8947857942229689,-5.711452318052977
5900,-3.3023219507553563,-0.8922613717265335,-5.712380966665307
6000,-3.301538085123923,-0.8897591408741619,-5.713315449443428
6100,-3.300768416556025,-0.8872794595824871,-5.714255776713912
