year,mean_C_degC,max_C_degC,min_C_degC
100,-7.390185229603958,-5.188796964251878,-9.591577369673757
200,-7.390185371676637,-5.189925468060665,-9.590449275528783
300,-7.39018546900104,-5.191117357330086,-9.589257701227893
400,-7.39018556558068,-5.192371785533908,-9.588003583428247
500,-7.390185661344219,-5.193687816572265,-9.586687857999323
600,-7.390185756219864,-5.195064468372664,-9.585311506785445
700,-7.390185850134742,-5.196500713623607,-9.583875556868634
800,-7.3901859430251875,-5.197995480551867,-9.582381079815377
900,-7.390186034813439,-5.19954765369738,-9.580829190853422
1000,-7.390186125435378,-5.201156074776293,-9.579221048060447
1100,-7.390186214825235,-5.202819543525038,-9.57755785149834
1200,-7.390186302912241,-5.204536818596694,-9.575840842303478
1300,-7.390186389632731,-5.206306618498729,-9.574071301771255
1400,-7.390186474921904,-5.208127622538996,-9.572250550401975
1500,-7.390186558717346,-5.209998471819915,-9.570379946907735
1600,-7.3901866409540276,-5.211917770239211,-9.568460887202718
1700,-7.390186721570785,-5.213884085543555,-9.566494803358125
1800,-7.390186800511799,-5.215895950402228,-9.564483162546196
1900,-7.390186877710505,-5.217951863476742,-9.562427465921417
2000,-7.390186953114039,-5.22005029057118,-9.560329247523953
2100,-7.3901870266653304,-5.222189665762016,-9.558190073124308
2200,-7.390187098311628,-5.224368392569033,-9.55601153905792
2300,-7.3901871679963165,-5.226584845141986,-9.553795271019908
2400,-7.390187235669771,-5.228837369480516,-9.551542922880003
2500,-7.390187301281344,-5.23112428466942,-9.549256175425512
2600,-7.390187364780104,-5.233443884124483,-9.546936735105078
2700,-7.390187426121258,-5.235794436874528,-9.544586332779659
2800,-7.390187485259048,-5.238174188850962,-9.542206722404273
2900,-7.3901875421440195,-5.240581364184209,-9.53979967973413
3000,-7.390187596734847,-5.243014166557884,-9.537367000991424
3100,-7.390187648992878,-5.245470780522339,-9.534910501532295
3200,-7.390187698884745,-5.247949372864127,-9.532432014497942
3300,-7.390187746370657,-5.250448093963371,-9.529933389422126
3400,-7.390187791409346,-5.252965079175965,-9.527416490868006
3500,-7.3901878339673885,-5.255498450229709,-9.524883197044574
3600,-7.3901878740163625,-5.258046316637831,-9.522335398390112
3700,-7.390187911528926,-5.2606067770861955,-9.51977499616811
3800,-7.390187946475919,-5.263177920860699,-9.517203901048163
3900,-7.390187978827555,-5.265757829274662,-9.514624031670849
4000,-7.390188008560074,-5.2683445771056086,-9.51203731323335
4100,-7.39018803565142,-5.2709362340225425,-9.50944567604688
4200,-7.390188060088406,-5.273530866045917,-9.50685105408894
4300,-7.390188081848123,-5.276126536954109,-9.504255383562963
4400,-7.390188100913633,-5.278721309762773,-9.501660601454205
4500,-7.3901881172654384,-5.281313248147853,-9.499068644078363
4600,-7.390188130896718,-5.283900417911582,-9.496481445657366
4700,-7.390188141799115,-5.286480888417884,-9.49390093685929
4800,-7.390188149963535,-5.2890527340222775,-9.49132904335221
4900,-7.390188155384408,-5.291614035512168,-9.488767684385323
5000,-7.390188158056105,-5.2941628815505055,-9.486218771336837
5100,-7.390188157970158,-5.29669737008436,-9.483684206292537
5200,-7.390188155139754,-5.299215609795112,-9.481165880653862
5300,-7.390188149552557,-5.301715721470487,-9.478665673682656
5400,-7.390188141235853,-5.3041958394495055,-9.476185451138122
5500,-7.390188130170316,-5.30665411295405,-9.473727063827653
5600,-7.390188116368506,-5.309088707529327,-9.471292346309724
5700,-7.390188099864645,-5.311497806417719,-9.46888311547309
5800,-7.390188080624284,-5.3138796118073515,-9.466501169141793
5900,-7.390188058721549,-5.316232346367087,-9.464148284869736
6000,-7.3901880341206265,-5.31855425434793,-9.461826218410806
6100,-7.390188006866481,-5.320843603074309,-9.459536702612183
6200,-7.390187976981906,-5.323098684163256,-9.457281445988997
6300,-7.390187944459456,-5.32531781475609,-9.455062131473767
6400,-7.390187909378369,-5.3274993389032375,-9.45288041525572
6500,-7.390187871707667,-5.3296416286174235,-9.450737925355952
6600,-7.390187831516187,-5.33174308528055,-9.4486362606238
6700,-7.390187788812682,-5.333802140685577,-9.44657698936851
6800,-7.390187743612557,-5.335817258271334,-9.444561648292506
6900,-7.390187696003807,-5.337786934338567,-9.44259174136306
7000,-7.390187645953915,-5.339709698969045,-9.44066873854075
7100,-7.390187593564917,-5.3415841173893455,-9.438794074904422
7200,-7.390187538832606,-5.343408790796502,-9.436969149351398
7300,-7.390187481801661,-5.345182357548197,-9.435195323718858
7400,-7.390187422544557,-5.346903494183778,-9.433473921724271
7500,-7.390187361060043,-5.348570916278902,-9.431806227900779
7600,-7.390187297450723,-5.350183379590874,-9.43019348679968
7700,-7.390187231717221,-5.351739680797152,-9.428636901862717
7800,-7.39018716392053,-5.353238658538203,-9.427137634683959
7900,-7.390187094128294,-5.354679194236894,-9.42569680408161
8000,-7.390187022350801,-5.356060212869579,-9.424315485228306
