year;mean_C_degC;max_C_degC;min_C_degC
100;32.43912659038273;34.44163099756997;30.436621035864277
200;32.44028347550909;34.44199955981219;30.43856624518071
300;32.44144060651115;34.442368183772146;30.440511883060708
400;32.44259774626681;34.442736820164384;30.44245752628524
500;32.44375462302747;34.44310538241598;30.444402717929222
600;32.44491096510393;34.44347378397157;30.446347001170295
700;32.44606650093294;34.44384193831206;30.448289919399997
800;32.44722095914614;34.44420975898271;30.450231016336488
900;32.44837406861592;34.44457715959652;30.45216983611283
1000;32.449525558543314;34.44494405387087;30.454105923410168
1100;32.4506751585065;34.4453103556466;30.456038823545782
1200;32.451822598522995;34.44567597889676;30.457968082582
1300;32.452967609122936;34.44604083775499;30.459893247442153
1400;32.4541099214041;34.446404846537405;30.46181386600682
1500;32.455249267100385;34.44676791975792;30.463729487230125
1600;32.45638537863823;34.4471299721493;30.46563966123108
1700;32.45751798920696;34.447490918683;30.46754393941262
1800;32.458646832820875;34.447850674597646;30.4694418745687
1900;32.459771644368004;34.4482091553993;30.47133302096728
2000;32.46089215969613;34.448566276902966;30.473216934484185
2100;32.462008115654044;34.44892195523988;30.475093172689242
2200;32.46311925016727;34.44927610688461;30.47696129495796
2300;32.464225302286366;34.44962864865761;30.478820862565726
2400;32.46532601226187;34.4499794977728;30.480671438800357
2500;32.46642112159526;34.45032857183452;30.482512589062992
2600;32.46751037310315;34.45067578885738;30.484343880964786
2700;32.46859351098192;34.4510210673065;30.48616488443497
2800;32.46967028085919;34.45136432608996;30.487975171818505
2900;32.47074042985622;34.45170548459657;30.489774317969022
3000;32.47180370665302;34.452044462702986;30.491561900370414
3100;32.472859861544976;34.45238118080226;30.493337499214533
3200;32.47390864650322;34.45271555982504;30.495100697512328
3300;32.47494981522226;34.45304752123843;30.496851081182115
3400;32.475983123182175;34.453376987078116;30.498588239148773
3500;32.47700832771545;34.45370387997593;30.50031176344453
3600;32.478025188059746;34.45402812316149;30.502021249315362
3700;32.47903346541011;34.45434964048707;30.503716295292804
3800;32.48003292297659;34.454668356447655;30.505396503300346
3900;32.48102332603651;34.454984196187525;30.50706147874496
4000;32.482004441998356;34.455297085534994;30.508710830615257
4100;32.48297604045092;34.45560695101386;30.510344171565066
4200;32.483937893223526;34.45591371985324;30.51196111802011
4300;32.4848897744252;34.45621732000956;30.51356129023884
4400;32.48583146050947;34.45651768018217;30.515144312428504
4500;32.486762730320265;34.45681472982545;30.516709812816146
4600;32.487683365157125;34.45710839918411;30.518257423753084
4700;32.48859314881412;34.457398619294;30.519786781795176
4800;32.4894918676311;34.457685321994404;30.521297527778017
4900;32.490379310548235;34.457968439959586;30.522789306904258
5000;32.49125526915071;34.45824790669667;30.524261768836368
5100;32.49211953771811;34.45852365656651;30.52571456776576
5200;32.4929719132914;34.45879562482281;30.527147362517553
5300;32.493812195681016;34.4590637475884;30.528559816600193
5400;32.49464018756959;34.45932796190516;30.529951598316813
5500;32.4954556944852;34.45958820569979;30.53132238079553
5600;32.49625852490999;34.459844417868624;30.532671842111654
5700;32.49704849032764;34.4600965382549;30.53399966537802
5800;32.49782540517168;34.4603445076138;30.535305538709792
5900;32.49858908704448;34.46058826776613;30.53658915548681
6000;32.49933935654843;34.460827761411736;30.537850214208277
6100;32.50007603751061;34.461062932338166;30.53908841873738
6200;32.500798956926644;34.46129372530953;30.540303478300984
6300;32.50150794499359;34.4615200861021;30.541495107516027
6400;32.502202835259936;34.46174196160621;30.542663026578282
