year;mean_C_degC;max_C_degC;min_C_degC
100;-7.390182934622942;-5.186758339813707;-9.593605600605315
200;-7.390182973056369;-5.185774113286925;-9.594589898929371
300;-7.39018296747264;-5.184786149581896;-9.595577844259878
400;-7.390182961947858;-5.183794530607884;-9.596569445054456
500;-7.390182956483102;-5.1827992955135755;-9.597564662165723
600;-7.390182951078202;-5.181800483588461;-9.598563456305214
700;-7.390182945731567;-5.180798134261977;-9.59956578803957
800;-7.3901829404497335;-5.179792287111638;-9.600571617805087
900;-7.390182935223777;-5.1787829818371165;-9.601580905885896
1000;-7.390182930058984;-5.17777025829065;-9.602593612437545
1100;-7.390182924957401;-5.1767541564530575;-9.603609697485467
1200;-7.3901829199149915;-5.175734716434306;-9.60462912091316
1300;-7.390182914934201;-5.174711978482492;-9.60565184247423
1400;-7.390182910015199;-5.173685982972586;-9.606677821796666
1500;-7.390182905158724;-5.17265677041263;-9.607707018374754
1600;-7.390182900363072;-5.171624381429979;-9.60873939157824
1700;-7.390182895628698;-5.170588856780796;-9.60977490064738
1800;-7.39018289095992;-5.169550237353121;-9.610813504708744
1900;-7.3901828863490096;-5.168508564139927;-9.611855162752704
2000;-7.390182881801934;-5.167463878269359;-9.612899833659412
2100;-7.390182877316363;-5.166416220983763;-9.613947476187036
2200;-7.3901828728959345;-5.165365633645422;-9.614998048980965
2300;-7.3901828685374085;-5.164312157727011;-9.616051510557213
2400;-7.390182864243627;-5.163255834817903;-9.61710781933499
2500;-7.390182860013795;-5.162196706621955;-9.61816693361277
2600;-7.390182855846376;-5.161134814949662;-9.61922881157085
2700;-7.3901828517444415;-5.160070201723954;-9.620293411295904
2800;-7.390182847708047;-5.15900290897531;-9.621360690756319
2900;-7.390182843732248;-5.1579329788298764;-9.622430607818558
3000;-7.390182839817555;-5.156860453533739;-9.623503120239889
3100;-7.390182835966925;-5.155785375427797;-9.624578185680662
3200;-7.390182832186099;-5.15470778695817;-9.625655761707833
3300;-7.390182828472234;-5.153627730664198;-9.62673580577416
3400;-7.390182824819988;-5.152545249180662;-9.627818275237018
3500;-7.390182821229814;-5.151460385238181;-9.628903127367835
3600;-7.390182817705124;-5.150373181675377;-9.629990319337765
3700;-7.390182814248021;-5.149283681411646;-9.631079808226218
3800;-7.3901828108583345;-5.148191927456992;-9.632171551024783
3900;-7.39018280753163;-5.147097962908163;-9.633265504625058
4000;-7.390182804269159;-5.1460018309555835;-9.63436162584253
4100;-7.390182801070694;-5.144903574869431;-9.635459871408557
4200;-7.390182797944021;-5.143803238019586;-9.636560197968095
4300;-7.390182794884083;-5.1427008638351595;-9.637662562080493
4400;-7.390182791890368;-5.141596495838314;-9.638766920225123
4500;-7.390182788957475;-5.140490177620052;-9.639873228795693
4600;-7.390182786091032;-5.139381952859878;-9.640981444123156
4700;-7.390182783293369;-5.138271865316028;-9.642091522461214
4800;-7.390182780563578;-5.13715995881239;-9.643203419981376
4900;-7.390182777901998;-5.136046277239416;-9.64431709279387
5000;-7.390182775307039;-5.134930864565547;-9.645432496928777
5100;-7.390182772772448;-5.133813764816807;-9.646549588342623
5200;-7.39018277031181;-5.132695022106134;-9.647668322949642
5300;-7.390182767909948;-5.131574680592109;-9.648788656576642
5400;-7.390182765591646;-5.1304527845211965;-9.649910545006037
5500;-7.390182763330017;-5.129329378161231;-9.651033943918492
5600;-7.390182761128756;-5.128204505862811;-9.652158808982506
5700;-7.390182759015204;-5.127078212065555;-9.65328509580371
5800;-7.390182756937179;-5.125950541175769;-9.654412759879449
5900;-7.390182754961245;-5.124821537780235;-9.655541756754133
6000;-7.390182753029308;-5.123691246393264;-9.656672041794536
6100;-7.390182751172006;-5.1225597116598465;-9.65780357041723
6200;-7.390182749390135;-5.121426978265504;-9.658936297941352
6300;-7.390182747653171;-5.1202930908944495;-9.660070179623972
6400;-7.390182746020116;-5.119158094362774;-9.661205170759047
6500;-7.3901827444291825;-5.118022033421937;-9.66234122647694
6600;-7.390182742924196;-5.116884952963403;-9.663478301974237
6700;-7.390182741482988;-5.1157468978548195;-9.664616352327414
6800;-7.390182740086459;-5.114607913004818;-9.665755332604249
6900;-7.390182738795261;-5.113468043442367;-9.66689519788872
7000;-7.390182737533621;-5.11232733408707;-9.668035903116902
7100;-7.390182736373674;-5.111185830045713;-9.669177403324625
7200;-7.390182735267388;-5.110043576336068;-9.670319653395666
7300;-7.390182734218627;-5.108900618049233;-9.671462608245463
7400;-7.3901827332617245;-5.107757000354297;-9.672606222777915
7500;-7.390182732344613;-5.106612768344576;-9.673750451797844
7600;-7.3901827315322635;-5.105467967250092;-9.674895250196585
7700;-7.390182730770675;-5.104322642217198;-9.67604057272598
7800;-7.390182730074855;-5.103176838475008;-9.677186374185851
7900;-7.390182729462481;-5.102030601274123;-9.678332609350889
8000;-7.390182728888135;-5.10088397582075;-9.67947923293741
8100;-7.390182728420257;-5.0997370074533706;-9.68062619973648
8200;-7.390182727989952;-5.09858974137336;-9.68177346441729
8300;-7.390182727636784;-5.0974422229221545;-9.682920981711277
8400;-7.390182727357455;-5.096294497399867;-9.684068706311564
8500;-7.39018272713264;-5.095146610092627;-9.685216592895642
8600;-7.390182727009176;-5.093998606364153;-9.68636459619421
8700;-7.390182726925616;-5.092850531477495;-9.687512670821718
8800;-7.390182726930163;-5.091702430798421;-9.68866077150875
8900;-7.390182726991384;-5.090554349626814;-9.689808852885449
9000;-7.390182727108936;-5.089406333284558;-9.690956869633396
9100;-7.390182727330114;-5.088258427142989;-9.692104776468852
9200;-7.390182727589206;-5.087110676450152;-9.693252528031621
9300;-7.3901827279477175;-5.085963126577553;-9.69440007906013
9400;-7.390182728352784;-5.084815822778751;-9.695547384195947
9500;-7.390182728813329;-5.083668810353572;-9.696694398157149
9600;-7.39018272936454;-5.082522134624469;-9.697841075691883
9700;-7.390182729961339;-5.081375840811063;-9.698987371491228
9800;-7.390182730666822;-5.080229974230065;-9.700133240366313
9900;-7.390182731415109;-5.0790845800542;-9.701278637009352
10000;-7.390182732235701;-5.077939703530376;-9.70242351624222
10100;-7.3901827331284835;-5.076795389856386;-9.703567832850013
10200;-7.3901827340643536;-5.075651684179377;-9.704711541634197
