year,mean_C_degC,max_C_degC,min_C_degC
100,-37.27787071167856,-34.33081052128273,-40.22493089696633
200,-37.27787081339724,-34.330810620302344,-40.2249310064924
300,-37.27787081339753,-34.33081062030266,-40.22493100649231
400,-37.27787081339724,-34.3308106203022,-40.22493100649251
500,-37.27787081339736,-34.330810620302515,-40.224931006492056
600,-37.27787081339753,-34.33081062030294,-40.22493100649251
700,-37.27787081339548,-34.330810620300724,-40.22493100649018
800,-37.27787081339906,-34.330810620304106,-40.22493100649348
900,-37.27787081339724,-34.33081062030169,-40.22493100649376
1000,-37.27787081339599,-34.330810620301236,-40.224931006490635
1100,-37.277870813397584,-34.33081062030331,-40.22493100649129
1200,-37.2778708133969,-34.33081062030254,-40.224931006491914
1300,-37.27787081339662,-34.33081062030237,-40.22493100649061
1400,-37.27787081339656,-34.33081062030084,-40.22493100649115
1500,-37.27787081339795,-34.330810620303254,-40.22493100649211
1600,-37.27787081339804,-34.330810620303794,-40.22493100649356
1700,-37.27787081339696,-34.33081062030138,-40.224931006491545
1800,-37.27787081340054,-34.33081062030584,-40.22493100649484
1900,-37.27787081339804,-34.33081062030388,-40.224931006493534
2000,-37.2778708133969,-34.33081062030138,-40.22493100649146
2100,-37.27787081339477,-34.33081062029905,-40.224931006489385
2200,-37.27787081339514,-34.330810620299616,-40.2249310064924
2300,-37.27787081339406,-34.3308106202997,-40.22493100648896
2400,-37.277870813394685,-34.330810620299076,-40.22493100648924
2500,-37.27787081339605,-34.330810620300525,-40.22493100649325
2600,-37.277870813396135,-34.330810620301804,-40.22493100649109
2700,-37.27787081339841,-34.33081062030382,-40.22493100649271
2800,-37.277870813402615,-34.330810620308796,-40.22493100649393
2900,-37.277870813402046,-34.330810620304845,-40.22493100649589
3000,-37.27787081339753,-34.33081062030186,-40.224931006493364
3100,-37.27787081339258,-34.330810620298735,-40.224931006487765
3200,-37.27787081339443,-34.330810620300554,-40.224931006490664
3300,-37.27787081339963,-34.33081062030513,-40.224931006493875
3400,-37.27787081340014,-34.33081062030652,-40.22493100649115
3500,-37.27787081339673,-34.330810620299815,-40.22493100648998
3600,-37.27787081339409,-34.33081062029862,-40.2249310064895
3700,-37.2778708133942,-34.33081062030044,-40.224931006489385
3800,-37.27787081339693,-34.33081062030311,-40.22493100649319
3900,-37.27787081339656,-34.33081062030229,-40.224931006490465
4000,-37.277870813393946,-34.33081062030064,-40.224931006484354
4100,-37.27787081338931,-34.3308106202945,-40.22493100648151
4200,-37.27787081339193,-34.33081062029976,-40.224931006483075
4300,-37.277870813395765,-34.33081062030345,-40.22493100648799
4400,-37.27787081339952,-34.33081062030837,-40.22493100649427
4500,-37.277870813395936,-34.330810620304504,-40.224931006490834
4600,-37.27787081339281,-34.33081062029751,-40.224931006486685
4700,-37.2778708133923,-34.33081062029663,-40.22493100648654
4800,-37.277870813393434,-34.33081062030138,-40.22493100648458
4900,-37.27787081339659,-34.33081062030439,-40.22493100648879
5000,-37.27787081339946,-34.33081062030843,-40.224931006494046
5100,-37.27787081339366,-34.3308106203024,-40.22493100648819
5200,-37.27787081339673,-34.33081062030152,-40.224931006490806
5300,-37.277870813389114,-34.330810620296404,-40.224931006492
5400,-37.27787081340239,-34.33081062030897,-40.22493100650672
5500,-37.277870813402075,-34.33081062031019,-40.2249310064974
5600,-37.277870813392525,-34.33081062030047,-40.22493100648745
5700,-37.27787081340901,-34.33081062032048,-40.224931006494444
5800,-37.27787081338417,-34.33081062029592,-40.22493100646804
5900,-37.27787081340361,-34.33081062031442,-40.224931006489385
6000,-37.27787081339261,-34.33081062030331,-40.22493100647793
6100,-37.27787081338997,-34.33081062029149,-40.22493100648268
6200,-37.277870813397726,-34.33081062029862,-40.2249310064914
6300,-37.2778708133751,-34.330810620279834,-40.22493100647142
6400,-37.27787081339906,-34.33081062030274,-40.22493100649763
