year,mean_C_degC,max_C_degC,min_C_degC
100,72.16126142117139,74.89916668373797,69.42335059093614
200,72.16444021378663,74.90126886640013,69.42760599705196
300,72.16761966641172,74.90337145407977,69.43186231389762
400,72.17079914344646,74.90547407260186,69.43611865002782
500,72.17397789820376,74.90757622817358,69.44037400585961
600,72.1771551841644,74.90967742711263,69.44462738203782
700,72.18033025515314,74.91177717595752,69.4488777796712
800,72.18350236552408,74.91387498159804,69.45312420057763
900,72.18667077030847,74.91597035136402,69.45736564749052
1000,72.18983472542448,74.91806279316597,69.46160112432966
1100,72.19299348783119,74.92015181560856,69.46582963640981
1200,72.19614631570022,74.92223692808858,69.4700501906758
1300,72.19929246860528,74.92431764092458,69.47426179595038
1400,72.20243120768339,74.92639346547185,69.47846346315191
1500,72.20556179581502,74.92846391422984,69.4826542055394
1600,72.20868349779079,74.93052850096149,69.4868330389279
1700,72.21179558049118,74.93258674080278,69.49099898193327
1800,72.21489731306104,74.9346381503924,69.49515105620901
1900,72.21798796705974,74.93668224795499,69.49928828664343
2000,72.2210668166664,74.93871855344588,69.50340970162978
2100,72.22413313882237,74.94074658864696,69.5075143332694
2200,72.22718621341721,74.94276587728689,69.51160121760859
2300,72.23022532344368,74.94477594513239,69.51566939485406
2400,72.23324975518165,74.94677632013628,69.51971790961011
2500,72.23625879835424,74.9487665325181,69.52374581110126
2600,72.23925174629659,74.95074611487468,69.5277521533875
2700,72.24222789613015,74.95271460231874,69.53173599559591
2800,72.2451865489167,74.95467153255333,69.53569640213829
2900,72.2481270098221,74.95661644600256,69.53963244291742
3000,72.2510485882911,74.95854888590634,69.54354319357827
3100,72.25395059820482,74.96046839843933,69.54742773569438
3200,72.25683235804433,74.96237453282203,69.55128515700079
3300,72.25969319103575,74.96426684139846,69.55511455159461
3400,72.26253242531646,74.96614487976171,69.55891502015191
3500,72.2653493941038,74.96800820686849,69.56268567014291
3600,72.26814343584766,74.96985638512268,69.56642561605702
3700,72.27091389437953,74.97168898048642,69.57013397957962
3800,72.27366011906759,74.97350556258459,69.57380988981379
3900,72.27638146496605,74.97530570479,69.57745248348175
4000,72.27907729297851,74.97708898434973,69.58106090513724
4100,72.28174697000043,74.97885498247359,69.58463430735316
4200,72.28438986907594,74.98060328442386,69.58817185094318
4300,72.28700536952505,74.98233347961764,69.5916727051171
4400,72.28959285710664,74.98404516172388,69.59513604771541
4500,72.29215172415223,74.98573792875021,69.59856106537626
4600,72.29468136972872,74.98741138316518,69.60194695375225
4700,72.2971811997603,74.98906513196789,69.60529291768859
4800,72.29965062717082,74.99069878677739,69.60859817139823
4900,72.30208907202433,74.99231196394226,69.61186193864785
5000,72.30449596166005,74.99390428461044,69.61508345295715
5100,72.30687073082157,74.99547537482016,69.61826195775586
5200,72.30921282181868,74.99702486562421,69.62139670659724
5300,72.31152168460329,74.99855239312188,69.62448696329062
5400,72.31379677697481,75.00005759859215,69.62753200211807
5500,72.31603756460726,75.00154012851067,69.63053110793993
5600,72.31824352126199,75.00299963473009,69.63348357642604
5700,72.3204141289126,75.00443577450915,69.63638871423922
5800,72.32254887773763,75.00584821052848,69.63924583905032
5900,72.32464726647737,75.00723661115688,69.64205427995392
6000,72.32670880226641,75.00860065026166,69.64481337733389
6100,72.32873300099419,75.0099400075461,69.6475224832505
6200,72.3307193872896,75.0112543684582,69.65018096150118
6300,72.33266749461808,75.0125434242936,69.65278818770929
6400,72.33457686554482,75.01380687239123,69.65534354963995
6500,72.33644705159003,75.0150444159637,69.65784644711164
6600,72.33827761359555,75.01625576442905,69.66029629237397
6700,72.34006812163841,75.0174406332714,69.66269251006736
6800,72.34181815519906,75.01859874422024,69.66503453742303
6900,72.34352730336207,75.01972982535847,69.66732182450164
7000,72.3451951646511,75.02083361097931,69.66955383404792
7100,72.34682134745879,75.021909841943,69.67173004196763
7200,72.34840546982844,75.0229582654427,69.67384993713483
7300,72.34994715973556,75.02397863526761,69.67591302169228
7400,72.35144605516399,75.02497071182137,69.67791881119149
7500,72.35290180404098,75.02593426206164,69.67986683451443
