year;mean_C_degC;max_C_degC;min_C_degC
100;-37.277871541250505;-34.3305342012377;-40.22520595623382
200;-37.277871731354026;-34.33030940775549;-40.22543123060606
300;-37.2778718204888;-34.330139625883135;-40.225601291174996
400;-37.27787191028594;-34.33002620458009;-40.22571499732058
500;-37.277872000656885;-34.32997035140335;-40.22577114126909
600;-37.27787209151006;-34.32997322954776;-40.22576855959966
700;-37.27787218275046;-34.330035955900826;-40.22570613518249
800;-37.27787227429124;-34.33015959914226;-40.225582799108736
900;-37.277872366024866;-34.33034517783531;-40.22539753253932
1000;-37.27787245785933;-34.33059365862633;-40.225149368571124
1100;-37.277872549698344;-34.33090595441837;-40.22483739403654
1200;-37.27787264143592;-34.331282922614605;-40.22446075124128
1300;-37.27787273297301;-34.33172536342116;-40.2240186396902
1400;-37.277872824206185;-34.33223401816903;-40.22351031775568
1500;-37.277872915033385;-34.33280956771159;-40.22293510428213
1600;-37.27787300534655;-34.33345263084439;-40.222292380154016
1700;-37.27787309504035;-34.33416376281292;-40.22158158979914
1800;-37.27787318401468;-34.3349434538689;-40.220802242656845
1900;-37.27787327215154;-34.33579212784258;-40.219953914537285
2000;-37.27787335935122;-34.3367101408563;-40.219036248986356
2100;-37.2778734455039;-34.337697780031675;-40.218048958535974
2200;-37.277873530505275;-34.33875526229508;-40.21699182591388
2300;-37.27787361424308;-34.33988273323371;-40.215864705157884
2400;-37.27787369661311;-34.34108026604062;-40.2146675227211
2500;-37.27787377750633;-34.34234786051823;-40.21340027843422
2600;-37.277873856813386;-34.34368544214894;-40.21206304642885
2700;-37.277873934431;-34.34509286125575;-40.21065597601577
2800;-37.27787401025179;-34.34656989222799;-40.20917929242094
2900;-37.27787408416373;-34.348116232813055;-40.20763329750267
3000;-37.27787415606255;-34.349731503536105;-40.20601837035272
3100;-37.2778742258474;-34.35141524713299;-40.20433496784506
3200;-37.277874293422116;-34.35316692811443;-40.20258362509284
3300;-37.2778743586816;-34.354985932383755;-40.20076495578962
3400;-37.277874421517225;-34.35687156695272;-40.1988796525163
3500;-37.27787448183028;-34.35882305974664;-40.19692848695419
3600;-37.277874539527744;-34.36083955950613;-40.19491230997906
3700;-37.277874594515765;-34.36292013572603;-40.192832051698105
3800;-37.277874646699416;-34.365063778729564;-40.190688721392604
3900;-37.27787469598056;-34.36726939981537;-40.18848340735468
4000;-37.277874742270086;-34.369535831503924;-40.18621727667738
4100;-37.27787478547995;-34.37186182784913;-40.183891574918505
4200;-37.277874825532905;-34.374246064880225;-40.18150762567535
4300;-37.27787486233956;-34.37668714106107;-40.17906683008465
4400;-37.27787489581783;-34.37918357792958;-40.17657066622644
4500;-37.27787492588172;-34.381733820756125;-40.174020688429806
4600;-37.27787495246335;-34.38433623934816;-40.171418526527106
4700;-37.27787497549187;-34.386989128905356;-40.168765884961175
4800;-37.27787499489571;-34.389690710961816;-40.166064541824795
4900;-37.27787501060905;-34.39243913443843;-40.16331634783933
5000;-37.27787502256555;-34.39523247679091;-40.16052322519144
5100;-37.27787503069598;-34.39806874521162;-40.1576871663174
5200;-37.27787503496074;-34.400945877981854;-40.15481023262956
5300;-37.27787503528717;-34.403861745819114;-40.1518945530581
5400;-37.277875031654645;-34.406814153415866;-40.14894232261784
5500;-37.27787502398408;-34.40980084093411;-40.14595580076622
5600;-37.27787501223557;-34.412819485732626;-40.142937309855114
5700;-37.27787499640476;-34.41586770412036;-40.13988923333261
5800;-37.2778749763913;-34.4189430530229;-40.13681401386117
5900;-37.277874952245725;-34.4220430321505;-40.133714151610235
6000;-37.27787492386986;-34.42516508566936;-40.13059220199645
6100;-37.277874891275246;-34.42830660450372;-40.12745077390454
6200;-37.277874854447646;-34.43146492837312;-40.12429252737775
6300;-37.27787481332973;-34.43463734793286;-40.12112017144065
6400;-37.27787476798656;-34.43782110723521;-40.117936461954116
6500;-37.27787471833429;-34.441013405827874;-40.114744199006765
6600;-37.27787466442399;-34.444211401430124;-40.11154622478321
6700;-37.27787460623139;-34.44741221221841;-40.10834542084848
6800;-37.27787454373808;-34.45061291945299;-40.10514470573199
6900;-37.277874477030906;-34.45381057019134;-40.10194703235368
7000;-37.27787440603174;-34.45700217967365;-40.09875538514268
7100;-37.277874330848675;-34.46018473441589;-40.09557277761965
7200;-37.277874251448026;-34.46335519465683;-40.09240224930312
7300;-37.277874167861995;-34.46651049738509;-40.08924686309987
7400;-37.27787408016738;-34.46964755923659;-40.0861097023716
7500;-37.277873988338484;-34.47276327923015;-40.08299386789372
7600;-37.27787389249525;-34.47585454200134;-40.07990247511054
7700;-37.27787379262182;-34.47891822055382;-40.07683865084948
7800;-37.27787368878492;-34.48195117950502;-40.07380553048722
7900;-37.277873581065364;-34.4849502781106;-40.070806254786675
8000;-37.27787346946536;-34.48791237328899;-40.06784396672569
8100;-37.27787335413541;-34.49083432299659;-40.064921808521234
8200;-37.27787323506047;-34.49371298906584;-40.06204291821044
8300;-37.27787311236219;-34.49654524073949;-40.05921042668311
8400;-37.27787298611477;-34.49932795766466;-40.05642745434409
8500;-37.27787285637828;-34.502058033157425;-40.05369710791109
8600;-37.27787272329445;-34.504732377552955;-40.051022477253014
8700;-37.27787258688181;-34.507347921247856;-40.048406631937894
8800;-37.27787244729254;-34.50990161819567;-40.045852618250905
8900;-37.2778723045885;-34.51239044897014;-40.04336345567717
9000;-37.27787215887227;-34.51481142412587;-40.04094213382385
9100;-37.27787201030699;-34.51716158748678;-40.038591609144504
9200;-37.277871858926574;-34.51943801918617;-40.036314801564544
9300;-37.27787170491774;-34.521637839193914;-40.03411459144962
9400;-37.277871548337686;-34.523758210252424;-40.03199381615778
9500;-37.27787138931683;-34.52579634126718;-40.0299552670389
9600;-37.277871228025134;-34.52774949046591;-40.02800168620897
9700;-37.2778710645355;-34.52961496839416;-40.026135763280735
9800;-37.27787089905735;-34.531390141287744;-40.02436013246037
9900;-37.2778707316462;-34.53307243386914;-40.022677369163034
10000;-37.27787056247749;-34.53465933267145;-40.02108998725663
10100;-37.27787039169016;-34.53614838890161;-40.019600435840374
10200;-37.27787021939628;-34.53753722142264;-40.01821109634085
10300;-37.27787004582558;-34.53882351982358;-40.01692427968763
10400;-37.2778698710392;-34.54000504700525;-40.01574222319957
10500;-37.2778696952156;-34.54107964229476;-40.0146670879835
10600;-37.27786951856399;-34.54204522414591;-40.01370095608161
10700;-37.277869341144196;-34.54289979262694;-40.01284582766246
10800;-37.27786916319272;-34.54364143243603;-40.01210361860248
10900;-37.27786898480454;-34.54426831513234;-40.011476157655096
11000;-37.27786880623492;-34.54477870196189;-40.01096518423219
11100;-37.27786862757259;-34.54517094598805;-40.01057234554975
11200;-37.27786844901172;-34.545443494684775;-40.010299194728674
11300;-37.277868270658104;-34.545594892095096;-40.01014718801409
11400;-37.27786809275753;-34.54562378119127;-40.01011768317389
11500;-37.27786791546339;-34.54552890584648;-40.01021193672989
11600;-37.277867738924755;-34.54530911288509;-40.01043110242773
11700;-37.27786756335536;-34.54496335416667;-40.01077622893186
11800;-37.277867388800445;-34.544490688158106;-40.01124825815259
11900;-37.27786721562231;-34.54389028222383;-40.01184802359029
12000;-37.277867043791304;-34.54316141355693;-40.0125762482314
12100;-37.27786687368177;-34.542303471568005;-40.01343354362996
12200;-37.27786670527766;-34.541315958546534;-40.0144204076791
12300;-37.27786653885539;-34.540198491695946;-40.0155372240186
12400;-37.27786637457393;-34.53895080403737;-40.01678426011128
12500;-37.277866212555665;-34.53757274557856;-40.01816166652276
12600;-37.27786605304303;-34.536064284583205;-40.01966947565032
12700;-37.27786589609153;-34.534425508141936;-40.02130760086459
12800;-37.27786574199172;-34.53265662347067;-40.023075835710586
12900;-37.27786559084288;-34.53075795814965;-40.02497385317548
13000;-37.27786544283458;-34.52872996106109;-40.02700120496749
13100;-37.2778652980721;-34.52657320259553;-40.02915732121633
13200;-37.27786515677164;-34.52428837536172;-40.03144151003593
13300;-37.277865019024574;-34.52187629404858;-40.03385295722694
13400;-37.27786488512331;-34.51933789597419;-40.03639072635062
13500;-37.277864755063206;-34.51667424055239;-40.03905375827861
13600;-37.277864629106375;-34.513886509739905;-40.041840871945425
13700;-37.27786450727902;-34.510976007351275;-40.04475076382087
13800;-37.27786438982994;-34.50794415908226;-40.04778200911363
13900;-37.27786427689469;-34.50479251177791;-40.05093306148663
14000;-37.27786416853198;-34.50152273279909;-40.05420225411285
14100;-37.277864065016985;-34.498136609649634;-40.05758780027705
14200;-37.277863966271894;-34.494636048521556;-40.06108779405116
14300;-37.27786387265317;-34.49102307414799;-40.064700211682805
14400;-37.277863784090044;-34.487299827828224;-40.06842291209384
14500;-37.277863700841095;-34.48346856700664;-40.07225363868616
14600;-37.27786362294549;-34.47953166336572;-40.076190020185635
14700;-37.277863550525126;-34.475316176805165;-40.08040201278769
14800;-37.27786348371592;-34.47059544784048;-40.085122413417906
14900;-37.277863422586364;-34.46581080323119;-40.08990674721838
15000;-37.2778633672294;-34.46096579465956;-40.094751462911205
15100;-37.27786331775221;-34.45606405411098;-40.09965292893176
15200;-37.277863274265854;-34.4511092911909;-40.10460743610304
15300;-37.277863236823464;-34.44610528990569;-40.10961120073259
15400;-37.277863205541536;-34.44105590594671;-40.114660367555985
15500;-37.27786318038446;-34.43596506309271;-40.11975101289434
15600;-37.277863161569684;-34.4308367506234;-40.12487914810532
15700;-37.2778631489966;-34.42567501930773;-40.13004072239997
15800;-37.277863142921916;-34.42048397867305;-40.13523162692377
15900;-37.27786314318715;-34.41526779290831;-40.140447697350425
16000;-37.277863149994346;-34.41003067790953;-40.14568471833448
16100;-37.27786316326555;-34.40477689727763;-40.15093842627874
16200;-37.27786318308972;-34.39951075883437;-40.15620451368156
16300;-37.27786320953791;-34.394236610961315;-40.16147863244342
16400;-37.27786324250948;-34.38895883842309;-40.166756397735895
16500;-37.27786328219;-34.38368185916124;-40.17203339210056
16600;-37.277863328407335;-34.37841011962041;-40.177305168887045
16700;-37.277863381298715;-34.37314809154594;-40.182567256696785
16800;-37.27786344077404;-34.36790026745689;-40.187815162980996
16900;-37.277863506895415;-34.362671156872096;-40.19304437838511
