year,mean_C_degC,max_C_degC,min_C_degC
100,-37.27486359918919,-34.32645026628114,-40.22327956355329
200,-37.27168510947442,-34.32196949587711,-40.22140345154304
300,-37.26850574773411,-34.317542265487134,-40.21947205384873
400,-37.26532636227816,-34.31317092733147,-40.21748471996008
500,-37.26214769970284,-34.30885769348674,-40.21544073096729
600,-37.25897050643081,-34.3046047326998,-40.213339410940165
700,-37.25579552853682,-34.30041416821663,-40.211180128745156
800,-37.252623511583266,-34.29628807565024,-40.208962299854164
900,-37.24945520041618,-34.292228480838816,-40.20668538807652
1000,-37.24629133902761,-34.28823735780995,-40.204348907312436
1100,-37.24313267035913,-34.28431662671363,-40.20195242324044
1200,-37.23997993612372,-34.28046815182526,-40.19949555494938
1300,-37.23683387664752,-34.27669373960339,-40.19697797655999
1400,-37.2336952306845,-34.27299513676422,-40.19439941879253
1500,-37.230564735248464,-34.26937402842913,-40.19175967047411
1600,-37.22744312543372,-34.26583203629227,-40.18905858001381
1700,-37.224331134249866,-34.262370716872994,-40.186296056815024
1800,-37.22122949245238,-34.25899155981364,-40.1834720726568
1900,-37.21813892834879,-34.2556959861937,-40.180586662971024
2000,-37.21506016766281,-34.252485346979114,-40.17763992812618
2100,-37.21199393333583,-34.24936092146618,-40.174632034602325
2200,-37.208940945372575,-34.246323915819005,-40.17156321612708
2300,-37.205901920659244,-34.2433754616585,-40.16843377472151
2400,-37.20287757281005,-34.24051661473513,-40.16524408173808
2500,-37.19986861198743,-34.237748353660976,-40.16199457876078
2600,-37.19687574473974,-34.23507157870574,-40.15868577846899
2700,-37.19389967384163,-34.2324871106824,-40.15531826545913
2800,-37.190941098118714,-34.22999568989516,-40.15189269692766
2900,-37.18800071228239,-34.227597975153,-40.14840980333773
3000,-37.18507920678044,-34.22529454291106,-40.14487038897411
3100,-37.182177267629385,-34.22308588642258,-40.14127533244687
3200,-37.17929557625507,-34.22097241502249,-40.13762558710775
3300,-37.17643480931858,-34.218954453463,-40.133922181351465
3400,-37.17359563856334,-34.21703224134882,-40.130166218888064
3500,-37.170778730670236,-34.2152059326593,-40.12635887892151
3600,-37.167984747097194,-34.21347559536875,-40.122501416212685
3700,-37.16521434391731,-34.21184121110343,-40.11859516108751
3800,-37.162468171664244,-34.210302674934184,-40.11464151935286
3900,-37.15974687517715,-34.20885979524286,-40.110641972107715
4000,-37.157051093462,-34.207512293688836,-40.10659807551116
4100,-37.15438145953354,-34.20625980524213,-40.10251146042492
4200,-37.151738600275735,-34.205101878347136,-40.09838383196728
4300,-37.14912313627181,-34.20403797510568,-40.09421696899523
4400,-37.146535681678216,-34.20306747164278,-40.09001272349141
