year,mean_C_degC,max_C_degC,min_C_degC
100,-39.84620136533337,-37.02481042360091,-42.66759660949532
200,-39.843159071993,-37.02117892314729,-42.66514364390707
300,-39.84011593282767,-37.01758981491801,-42.6626465886055
400,-39.83707276904397,-37.014043810547946,-42.66010637964163
500,-39.834030295291086,-37.01054148611172,-42.657523870157775
600,-39.83098922605552,-37.00708338589848,-42.654899944758256
700,-39.827950275492555,-37.00367002247788,-42.65223551910191
800,-39.8249141572708,-37.000301876800194,-42.649531539494944
900,-39.82188158437552,-36.99697939827723,-42.64678898241738
1000,-39.818853268977506,-36.99370300495417,-42.64400885407963
1100,-39.81582992224432,-36.990473083638534,-42.64119218993096
1200,-39.81281225417035,-36.98728999008017,-42.63834005413045
1300,-39.80980097342504,-36.984154049184895,-42.63545353902589
1400,-39.806796787175244,-36.98106555522264,-42.63253376460261
1500,-39.80380040092473,-36.97802477208276,-42.6295818778988
1600,-39.80081251834193,-36.975031933520995,-42.626599052415
1700,-39.79783384110206,-36.9720872434597,-42.623586487493725
1800,-39.79486506872516,-36.96919087630067,-42.62054540770015
1900,-39.79190689838967,-36.96634297721778,-42.61747706213586
2000,-39.78896002480289,-36.96354366254553,-42.61438272379712
2100,-39.78602514001065,-36.960793020121315,-42.61126368886573
2200,-39.78310293324998,-36.95809110967812,-42.608121276005164
2300,-39.78019409077356,-36.95543796324131,-42.60495682561188
2400,-39.77729929570458,-36.95283358556213,-42.6017716991075
2500,-39.77441922786326,-36.95027795455806,-42.5985672781442
2600,-39.77155456361166,-36.94777102176505,-42.595344963826705
2700,-39.76870597570064,-36.945312712823295,-42.592106175946725
2800,-39.765874133102784,-36.942902927968674,-42.588852352138446
2900,-39.76305970085329,-36.94054154252939,-42.58558494707481
3000,-39.760263339906686,-36.938228407486946,-42.582305431614856
3100,-39.75748570697701,-36.9359633499875,-42.57901529196408
3200,-39.75472745438435,-36.933746173915694,-42.575716028811286
3300,-39.75198922988946,-36.931576660456244,-42.572409156422225
3400,-39.74927167654508,-36.92945456868131,-42.56909620176731
3500,-39.7465754325591,-36.92737963615778,-42.56577870363165
3600,-39.74390113114006,-36.92535157957687,-42.56245821168048
3700,-39.741249400341616,-36.923370095347735,-42.5591362855433
3800,-39.73862086291584,-36.92143486025165,-42.55581449388379
3900,-39.7360161361637,-36.919545532089785,-42.552494413440144
4000,-39.73343583180156,-36.91770175035347,-42.54917762810018
4100,-39.73088055581081,-36.91590313688323,-42.54586572793295
4200,-39.72835090830449,-36.91414929657421,-42.54256030821304
4300,-39.725847483363424,-36.91243981802256,-42.539262968452306
4400,-39.72337086891591,-36.91077427426626,-42.53597531142128
4500,-39.72092164658872,-36.909152223466634,-42.532698942157566
4600,-39.71850039159145,-36.907573209650366,-42.52943546700595
4700,-39.71610767256118,-36.906036763420786,-42.526186492601056
4800,-39.71374405143126,-36.904542402673314,-42.52295362486731
4900,-39.711410083303804,-36.903089633333366,-42.519738468042675
5000,-39.709106316315825,-36.901677950111576,-42.516542623653436
5100,-39.7068332915062,-36.90030683722466,-42.51336768951819
5200,-39.70459154272021,-36.8989757691821,-42.51021525878298
5300,-39.702381596423834,-36.89768421148878,-42.50708691886172
5400,-39.70020397166297,-36.896431621450006,-42.50398425048567
5500,-39.69805917983214,-36.895217448851696,-42.50090882663244
5600,-39.69594772465189,-36.89404113679106,-42.49786221163512
5700,-39.69387010204494,-36.89290212244617,-42.49484596012627
5800,-39.691826799891516,-36.89179983768483,-42.491861615987574
5900,-39.68981829815746,-36.890733710084305,-42.48891071155265
6000,-39.687845068485586,-36.889703163382876,-42.485994766349705
6100,-39.685907574341655,-36.88870761847784,-42.48311528640008
6200,-39.684006270767895,-36.88774649407773,-42.48027376307229
6300,-39.68214160426419,-36.88681920739046,-42.477471672153314
6400,-39.680314012841194,-36.88592517504213,-42.47471047302247
6500,-39.67852392565325,-36.88506381357226,-42.471991607452765
6600,-39.676771763176816,-36.884234540422256,-42.46931649895558
6700,-39.6750579369029,-36.8834367744677,-42.46668655162543
6800,-39.67338284932262,-36.882669936819866,-42.46410314935562
6900,-39.67174689392837,-36.8819334516418,-42.461567654965876
7000,-39.670150454856326,-36.881226746577454,-42.45908140910305
7100,-39.66859390714259,-36.88054925381388,-42.45664572966322
7200,-39.66707761631042,-36.87990041044094,-42.45426191061571
7300,-39.66560193849034,-36.87927965932761,-42.45193122136959
7400,-39.66416722031519,-36.878686449807304,-42.44965490588345
7500,-39.66277379869268,-36.87812023814948,-42.44743418172939
7600,-39.661422000973516,-36.87758048846959,-42.44527023950948
7700,-39.66011214459249,-36.8770666731067,-42.44316424179084
7800,-39.658844537214435,-36.87657827344623,-42.441117322548365
7900,-39.657619476589986,-36.876114780468725,-42.43913058632518
8000,-39.656437250397744,-36.87567569526368,-42.43720510744302
8100,-39.655298136398216,-36.87526052983836,-42.43534192944577
8200,-39.654202402059354,-36.87486880736151,-42.43354206415367
8300,-39.65315030479326,-36.87450006305835,-42.43180649120359
8400,-39.65214209171222,-36.874153844534334,-42.43013615726255
8500,-39.6511779996047,-36.87382971233737,-42.42853197541237
8600,-39.65025825497517,-36.87352724057578,-42.426994824607874
8700,-39.64938307378438,-36.873246017202405,-42.42552554887479
8800,-39.64855266165955,-36.87298564473278,-42.4241249570089
8900,-39.64776721361784,-36.87274574050434,-42.422793821760166
9000,-39.6470269141538,-36.87252593722201,-42.421532879481475
9100,-39.646331937216814,-36.872325883415385,-42.42034282959881
9200,-39.64568244597706,-36.87214524363506,-42.41922433399333
9300,-39.64507859307392,-36.87198369913298,-42.41817801674733
9400,-39.64452052029344,-36.8718409479406,-42.41720446347492
9500,-39.644008358741615,-36.87171670540749,-42.416304221114245
9600,-39.6435422287764,-36.87161070450304,-42.415477797489785
9700,-39.643122239846406,-36.87152269596618,-42.41472566084036
9800,-39.642748490696505,-36.87145244883456,-42.414048239702026
9900,-39.642421069054876,-36.871399750412934,-42.413445922307034
10000,-39.642140051885804,-36.87136440678077,-42.41291905660216
10100,-39.64190550521812,-36.87134624286122,-42.412467949789715
10200,-39.64171748413392,-36.87134510262186,-42.41209286816522
10300,-39.641576032907466,-36.87136084939982,-42.41179403702435
10400,-39.64148118470078,-36.87139336575464,-42.41157164024821
10500,-39.64143296184798,-36.87144255389467,-42.411425820385034
10600,-39.64143137576187,-36.87150833571522,-42.41135667844543
10700,-39.64147642674925,-36.87159065265999,-42.411364273714184
10800,-39.64156810433917,-36.87168946615611,-42.41144862391235
10900,-39.64170638696655,-36.87180475730031,-42.41160970491745
11000,-39.64189124228048,-36.87193652719378,-42.41184745104786
11100,-39.6421226268225,-36.87208479662419,-42.41216175466732
11200,-39.642400486309924,-36.87224960626028,-42.41255246670843
11300,-39.64272475545735,-36.87243101648218,-42.41301939624742
11400,-39.64309535821613,-36.87262910744744,-42.41356231122373
11500,-39.64351220756589,-36.87284397885017,-42.41418093792643
11600,-39.64397520561499,-36.87307574980815,-42.41487496165681
11700,-39.64448424370241,-36.87332455885894,-42.41564402657377
