year,mean_C_degC,max_C_degC,min_C_degC
100,-39.849078045280436,-37.02765423309182,-42.670500092130084
200,-39.84907814883874,-37.02698285498235,-42.67117167605468
300,-39.84907814586302,-37.026308852836905,-42.67184566566465
400,-39.8490781429183,-37.02563235700106,-42.67252214909797
500,-39.849078140006014,-37.024953394183484,-42.67320109964734
600,-39.849078137125474,-37.024271991187305,-42.673882490510096
700,-39.849078134274805,-37.023588174910856,-42.67456629478281
800,-39.84907813146182,-37.02290197235803,-42.67525248547827
900,-39.8490781286757,-37.02221341060758,-42.67594103549811
1000,-39.849078125922375,-37.02152251685047,-42.67663191765948
1100,-39.84907812320424,-37.02082931836239,-42.677325104694376
1200,-39.84907812051654,-37.02013384250478,-42.678020569233354
1300,-39.84907811786198,-37.01943611673687,-42.678718283818824
1400,-39.84907811524013,-37.01873616860186,-42.679418220909696
1500,-39.84907811265268,-37.01803402573756,-42.68012035287239
1600,-39.84907811009694,-37.017329715857926,-42.68082465198813
1700,-39.84907810757295,-37.016623266766516,-42.6815310904482
1800,-39.849078105086846,-37.01591470636279,-42.68223964037256
1900,-39.849078102627914,-37.015204062606045,-42.68295027377897
2000,-39.849078100203855,-37.014491363557426,-42.683662962616694
2100,-39.84907809781214,-37.01377663735346,-42.68437767875068
2200,-39.849078095456576,-37.01305991221329,-42.685094393970274
2300,-39.849078093133016,-37.01234121642827,-42.68581307996925
2400,-39.849078090844955,-37.01162057837132,-42.68653370838521
2500,-39.8490780885912,-37.0108980264946,-42.68725625076874
2600,-39.849078086370156,-37.010173589321084,-42.68798067858583
2700,-39.84907808418552,-37.009447295451565,-42.688706963247085
2800,-39.84907808203661,-37.008719173560365,-42.68943507607548
2900,-39.849078079917405,-37.00798925238155,-42.69016498832778
3000,-39.849078077828466,-37.007257560740214,-42.69089667118311
3100,-39.84907807577352,-37.00652412752174,-42.69163009575752
3200,-39.8490780737595,-37.00578898168527,-42.69236523310735
3300,-39.84907807178308,-37.00505215225124,-42.693102054203166
3400,-39.849078069836764,-37.00431366830253,-42.69384052995025
3500,-39.84907806792137,-37.00357355898876,-42.694580631202285
3600,-39.84907806604147,-37.00283185354121,-42.695322328740446
3700,-39.849078064199034,-37.00208858123858,-42.69606559328341
3800,-39.84907806239411,-37.001343771422086,-42.69681039549195
3900,-39.84907806062088,-37.000597453491025,-42.697556705952024
4000,-39.849078058880536,-36.99984965691161,-42.698304495203985
4100,-39.8490780571733,-36.99910041120202,-42.69905373373285
4200,-39.84907805550836,-36.99834974595643,-42.699804391960896
4300,-39.849078053879595,-36.99759769079739,-42.700556440252484
4400,-39.84907805228633,-36.996844275417544,-42.701309848916225
4500,-39.84907805072112,-36.99608952955052,-42.702064588197885
4600,-39.849078049191604,-36.99533348299778,-42.70282062831032
4700,-39.84907804770046,-36.99457616561628,-42.70357793941139
4800,-39.84907804624606,-36.99381760730233,-42.7043364915975
4900,-39.84907804482933,-36.99305783799605,-42.70509625493048
5000,-39.84907804344803,-36.99229688769424,-42.705857199411156
5100,-39.84907804209391,-36.99153478642714,-42.70661929498675
5200,-39.849078040784065,-36.990771564295784,-42.70738251159
5300,-39.84907803949977,-36.99000725142224,-42.70814681908132
5400,-39.8490780382715,-36.98924187800111,-42.70891218730105
5500,-39.84907803706611,-36.98847547422028,-42.70967858599778
5600,-39.84907803588749,-36.98770807033594,-42.71044598493768
5700,-39.8490780347702,-36.98693969668372,-42.71121435384259
5800,-39.849078033648766,-36.986170383525405,-42.711983662329516
5900,-39.849078032606485,-36.98540016131747,-42.712753880106504
6000,-39.84907803157071,-36.98462906039612,-42.71352497668818
6100,-39.849078030579136,-36.98385711123112,-42.71429692168056
6200,-39.84907802963417,-36.983084344317405,-42.715069684597324
6300,-39.84907802869566,-36.98231079011802,-42.715843234898415
6400,-39.84907802783857,-36.9815364792378,-42.71661754211857
6500,-39.849078026985694,-36.980761442174924,-42.71739257561197
6600,-39.8490780261906,-36.979985709577704,-42.718168304837974
6700,-39.84907802542696,-36.979209312043935,-42.71894469913141
6800,-39.849078024669325,-36.97843228019843,-42.71972172783518
6900,-39.84907802399505,-36.977654644798235,-42.720499360336476
7000,-39.84907802330841,-36.97687643644153,-42.72127756585451
7100,-39.84907802269984,-36.97609768594279,-42.722056313753484
7200,-39.84907802210975,-36.975318423987744,-42.722835573225495
7300,-39.84907802154157,-36.97453868133496,-42.72361531351751
7400,-39.84907802103956,-36.973758488827826,-42.72439550388029
7500,-39.84907802053797,-36.97297787719776,-42.7251761134533
7600,-39.849078020118014,-36.97219687733397,-42.72595711149904
7700,-39.84907801971269,-36.97141552000895,-42.72673846711871
7800,-39.849078019339686,-36.970633836085455,-42.727520149483524
7900,-39.849078019022244,-36.969851856444734,-42.7283021277467
8000,-39.8490780187027,-36.969069611900295,-42.729084370995736
8100,-39.84907801846677,-36.968287133423445,-42.72986684842138
8200,-39.84907801822871,-36.96750445180709,-42.73064952906989
8300,-39.849078018037716,-36.966721598011276,-42.731432382071716
8400,-39.849078017889184,-36.96593860293905,-42.73221537651466
8500,-39.849078017760036,-36.96515549747252,-42.73299848147272
8600,-39.84907801770805,-36.96437231258551,-42.73378166608876
8700,-39.84907801765658,-36.96358907912449,-42.7345648993641
8800,-39.84907801766565,-36.962805828061676,-42.73534815044562
8900,-39.84907801769694,-36.96202259028817,-42.73613138835702
9000,-39.84907801774841,-36.96123939672049,-42.73691458218329
9100,-39.849078017880146,-36.96045627834053,-42.73769770105358
9200,-39.8490780180102,-36.95967326597787,-42.73848071399814
9300,-39.84907801821461,-36.958890390619445,-42.73926359016673
9400,-39.8490780184286,-36.95810768311043,-42.74004629858487
9500,-39.8490780186622,-36.95732517435772,-42.7408288083663
9600,-39.84907801895994,-36.95654289530435,-42.74161108865732
9700,-39.84907801926488,-36.955760876771336,-42.742393108523714
9800,-39.84907801965667,-36.95497914971091,-42.74317483717488
9900,-39.8490780200531,-36.954197744904235,-42.74395624366099
10000,-39.84907802049051,-36.953416693235084,-42.74473729718309
10100,-39.84907802096882,-36.95263602553831,-42.745517966885416
10200,-39.84907802145173,-36.95185577259781,-42.74629822192003
10300,-39.849078022028294,-36.95107596530764,-42.74707803156306
10400,-39.84907802260443,-36.95029663435491,-42.74785736496261
10500,-39.84907802320774,-36.949517810528874,-42.74863619137702
10600,-39.84907802389685,-36.94873952464812,-42.74941448008667
10700,-39.84907802457056,-36.947961807325555,-42.75019220029287
10800,-39.84907802530918,-36.94718468935423,-42.75096932135219
10900,-39.84907802604468,-36.94640820134009,-42.75174581252435
11000,-39.84907802687471,-36.9456323740302,-42.75252164327665
11100,-39.849078027722015,-36.94485723799042,-42.753296782849645
11200,-39.84907802861429,-36.9440828238271,-42.75407120075519
11300,-39.84907802949104,-36.94330916207733,-42.75484486625166
11400,-39.84907803043032,-36.94253628333843,-42.755617748986
11500,-39.84907803142127,-36.941764218131055,-42.756389818326994
11600,-39.84907803243743,-36.94099299689455,-42.75716104387678
11700,-39.849078033531214,-36.94022265013891,-42.757931395133056
11800,-39.849078034564485,-36.939453208129294,-42.75870084164714
11900,-39.84907803574288,-36.93868470145452,-42.75946935317333
12000,-39.849078036853626,-36.93791716023463,-42.76023689919106
12100,-39.849078038111315,-36.93715061499182,-42.761003449603265
12200,-39.84907803932103,-36.93638509579645,-42.7617689739335
12300,-39.84907804059051,-36.93562063295815,-42.76253344214541
12400,-39.849078041914225,-36.93485725667455,-42.76329682394879
12500,-39.849078043237824,-36.93409499700803,-42.764059089254545
12600,-39.849078044644415,-36.93333388415161,-42.76482020795143
12700,-39.84907804601224,-36.93257394801944,-42.765580149971555
12800,-39.849078047476524,-36.93181521875664,-42.76633888534704
12900,-39.84907804896537,-36.93105772623417,-42.76709638415926
13000,-39.84907805051094,-36.930301500412014,-42.7678526164388
13100,-39.84907805205114,-36.92954657103684,-42.76860755233767
13200,-39.8490780536481,-36.928792968019934,-42.7693611620671
13300,-39.84907805523048,-36.928040721018846,-42.77011341583423
13400,-39.84907805694627,-36.92728985988742,-42.77086428407421
13500,-39.84907805862841,-36.92654041410384,-42.771613736959495
13600,-39.84907806039632,-36.92579241335446,-42.772361745100994
13700,-39.84907806212456,-36.925045887070496,-42.773108278728984
13800,-39.8490780639178,-36.924300864803854,-42.7738533085911
13900,-39.849078065777434,-36.923557375987485,-42.77459680516813
14000,-39.84907806761518,-36.9228154498723,-42.775338739124265
14100,-39.84907806958327,-36.92207511590928,-42.77607908122067
14200,-39.84907807145976,-36.92133640309683,-42.77681780210361
14300,-39.84907807348563,-36.9205993408452,-42.77755487277793
14400,-39.84907807546085,-36.919863958045596,-42.77829026397856
14500,-39.849078077526286,-36.91913028387884,-42.77902394679822
14600,-39.849078079607494,-36.918398347234984,-42.77975589218772
14700,-39.849078081711724,-36.917668176999825,-42.780486071328596
14800,-39.849078083874616,-36.9169398020577,-42.781214455328126
14900,-39.84907808605894,-36.91621325110549,-42.781941015497864
15000,-39.849078088260285,-36.9154885528379,-42.78266572304892
15100,-39.84907809049389,-36.914765735875875,-42.78338854947643
15200,-39.84907809278491,-36.91404482878096,-42.78410946618126
15300,-39.8490780951017,-36.91332585997381,-42.784828444774234
15400,-39.849078097488444,-36.91260885789842,-42.78554545681129
15500,-39.84907809982951,-36.91189385072178,-42.78626047395906
15600,-39.84907810228182,-36.9111808668504,-42.78697346808298
15700,-39.84907810467928,-36.910469934253285,-42.78768441089983
15800,-39.84907810722612,-36.909761081207705,-42.78839327453585
15900,-39.84907810971393,-36.90905433549341,-42.78910003077735
16000,-39.84907811229638,-36.90834972514429,-42.78980465195812
16100,-39.849078114862095,-36.90764727789252,-42.790507110035975
16200,-39.8490781174589,-36.906947021494176,-42.791207377437786
16300,-39.84907812014083,-36.90624898366656,-42.79190542646785
16400,-39.84907812277743,-36.905553191833405,-42.792601229531186
16500,-39.84907812554414,-36.90485967362437,-42.79329475925408
16600,-39.84907812825864,-36.904168456256144,-42.79398598815962
16700,-39.84907813105349,-36.90347956713282,-42.7946748890098
16800,-39.849078133845865,-36.90279303337894,-42.795361434581565
16900,-39.8490781367002,-36.90210888215458,-42.79604559779395
17000,-39.84907813957571,-36.90142714044259,-42.79672735161395
17100,-39.84907814248652,-36.90074783514254,-42.79740666917465
17200,-39.84907814541967,-36.90007099309568,-42.798083523585575
17300,-39.84907814840804,-36.89939664102323,-42.79875788822454
17400,-39.849078151394934,-36.89872480550264,-42.79942973634283
17500,-39.8490781544275,-36.898055513121164,-42.80009904152104
17600,-39.84907815749298,-36.89738879026348,-42.80076577726339
17700,-39.849078160572645,-36.89672466324856,-42.80142991731654
17800,-39.8490781637465,-36.896063158363404,-42.802091435446584
17900,-39.849078166868594,-36.89540430158897,-42.80275030548006
18000,-39.84907817009608,-36.894748119080816,-42.80340650148838
18100,-39.849078173259585,-36.894094636586345,-42.8040599974446
18200,-39.84907817654562,-36.8934438800797,-42.804710767703966
18300,-39.84907817982173,-36.89279587513619,-42.80535878645307
