year,mean_C_degC,max_C_degC,min_C_degC
100,-39.84619901353082,-37.02374547692236,-42.66865610767405
200,-39.84315666487876,-37.019000985238335,-42.66731590184628
300,-39.84011347164744,-37.014252769253005,-42.66597772462342
400,-39.83707025508389,-37.0095019153776,-42.66464213744146
500,-39.83402772987631,-37.004749406459155,-42.6633095868296
600,-39.83098661054893,-36.999996225288214,-42.66198051904814
700,-39.82794761129455,-36.99524335437519,-42.660655379972184
800,-39.824911445817435,-36.99049177573659,-42.65933461499634
900,-39.82187882713819,-36.98574247064073,-42.658018668897114
1000,-39.81885046746095,-36.980996419421274,-42.6567079857476
1100,-39.815827077986256,-36.97625460122606,-42.65540300880633
1200,-39.81280936873998,-36.97151799379472,-42.65410418038951
1300,-39.80979804842187,-36.96678757324855,-42.652811941774644
1400,-39.80679382422784,-36.96206431385335,-42.65152673309399
1500,-39.80379740168962,-36.957349187808546,-42.650248993215854
1600,-39.80080948450188,-36.95264316500658,-42.64897915964181
1700,-39.79783077436579,-36.94794721282656,-42.64771766839354
1800,-39.79486197082505,-36.943262295918316,-42.64646495392063
1900,-39.79190377108054,-36.9385893759478,-42.645221448961934
2000,-39.78895686986144,-36.9339294114196,-42.64398758447112
2100,-39.78602195923307,-36.92928335743227,-42.64276378949211
2200,-39.78309972845122,-36.92465216546765,-42.641550491061224
2300,-39.780190863785975,-36.92003678316419,-42.64034811407927
2400,-39.777296048376,-36.91543815411009,-42.63915708124517
2500,-39.774415962056,-36.910857217626415,-42.63797781291879
2600,-39.771551281201056,-36.90629490854457,-42.63681072701752
2700,-39.768702678573476,-36.90175215700046,-42.635656238941294
2800,-39.765870823155666,-36.8972298882189,-42.63451476143595
2900,-39.76305637999181,-36.892729022289245,-42.63338670451097
3000,-39.76026001004257,-36.88825047398612,-42.632272475323845
3100,-39.75748237002867,-36.883795152532684,-42.631172478094584
3200,-39.754724112274204,-36.87936396140532,-42.63008711400553
3300,-39.75198588454194,-36.87495779811681,-42.62901678107505
3400,-39.74926832988638,-36.87057755401338,-42.62796187407815
3500,-39.74657208651459,-36.866224114075294,-42.626922784459765
3600,-39.7438977876335,-36.86189835673227,-42.625899900216325
3700,-39.74124606129348,-36.85760115362882,-42.624893605807415
3800,-39.73861753024218,-36.85333336944123,-42.62390428206362
3900,-39.73601281177375,-36.84909586167666,-42.62293230607284
4000,-39.73343251759675,-36.84488948048755,-42.62197805111478
4100,-39.730877253683616,-36.84071506846399,-42.62104188655715
4200,-39.7283476201369,-36.836573460466184,-42.62012417775432
4300,-39.725844211025134,-36.83246548338718,-42.61922528595986
4400,-39.723367614263026,-36.82839195600758,-42.618345568237146
4500,-39.72091841146198,-36.82435368878035,-42.61748537736156
4600,-39.71849717781561,-36.82035148367484,-42.61664506176186
4700,-39.71610448194312,-36.81638613398118,-42.615824965407825
4800,-39.71374088575854,-36.812458424116585,-42.615025427718535
4900,-39.71140694434371,-36.80856912945006,-42.61424678350113
5000,-39.70910320581325,-36.80471901614143,-42.61348936284011
5100,-39.70683021118285,-36.80090884094395,-42.61275349101999
5200,-39.70458849427362,-36.797139351071365,-42.612039488482395
5300,-39.70237858152461,-36.79341128397775,-42.61134767068464
5400,-39.70020099195642,-36.78972536724481,-42.610678348073435
5500,-39.69805623693324,-36.78608231833513,-42.610031825930974
5600,-39.69594482014648,-36.78248284450851,-42.609408404409294
5700,-39.69386723748934,-36.77892764267267,-42.60880837838923
5800,-39.69182397680706,-36.77541739907008,-42.60823203734307
5900,-39.689815518035886,-36.77195278939709,-42.607679665459415
6000,-39.68784233278117,-36.7685344783321,-42.607151541281155
6100,-39.685904884475434,-36.76516311964227,-42.60664793792179
6200,-39.68400362812338,-36.76183935592826,-42.606169122808666
6300,-39.68213901018669,-36.75856381842095,-42.60571535765334
6400,-39.68031146864021,-36.75533712701662,-42.605286898513526
6500,-39.678521432595886,-36.75215988988484,-42.60488399546628
6600,-39.67676932249131,-36.749032703594054,-42.60450689283488
6700,-39.67505554977569,-36.74595615277312,-42.60415582888959
6800,-39.673380516896145,-36.742930810060386,-42.603831035921246
6900,-39.67174461730613,-36.73995723608189,-42.60353274021648
7000,-39.67014823509274,-36.73703597903034,-42.60326116178217
7100,-39.66859174525271,-36.73416757492532,-42.603016514606225
7200,-39.66707551326019,-36.73135254714114,-42.60279900627657
7300,-39.66559989519999,-36.72859140649717,-42.60260883815886
7400,-39.66416523766074,-36.725884651156235,-42.60244620528985
7500,-39.662771877498585,-36.72323276631283,-42.60231129620735
7600,-39.66142014202194,-36.72063622436187,-42.60220429313932
7700,-39.660110348612335,-36.718095484513185,-42.602125371664016
7800,-39.65884280488703,-36.71561099290139,-42.60207470089773
7900,-39.65761780854828,-36.71318318241558,-42.60205244336066
8000,-39.65643564722234,-36.71081247251445,-42.60205875488134
8100,-39.65529659862298,-36.70849926936552,-42.60209378472763
8200,-39.65420093016368,-36.70624396541271,-42.60215767531159
8300,-39.65314889920808,-36.70404693964315,-42.60225056238326
8400,-39.65214075281719,-36.70190855727637,-42.6023725748631
8500,-39.651176727726266,-36.69982916972077,-42.602523834833875
8600,-39.650257050392355,-36.69780911461379,-42.60270445759133
8700,-39.64938193671955,-36.69584871552422,-42.60291455139452
8800,-39.64855159228645,-36.69394828214189,-42.60315421772805
8900,-39.647766212057064,-36.692108109999594,-42.603423550996894
9000,-39.64702598047276,-36.690328480518986,-42.60372263868635
9100,-39.6463310714357,-36.68860966099217,-42.60405156131799
9200,-39.645681648058826,-36.68695190430208,-42.60441039227757
9300,-39.6450778629343,-36.685355449186346,-42.60479919801472
9400,-39.64451985779297,-36.683820519882374,-42.60521803777263
9500,-39.6440077636901,-36.68234732628795,-42.60566696378348
9600,-39.643541700934975,-36.68093606389334,-42.606146021194576
9700,-39.64312177892225,-36.67958691357933,-42.60665524793427
9800,-39.642748096350516,-36.678300041839975,-42.6071946749268
9900,-39.64242074089404,-36.67707560044161,-42.60776432576881
10000,-39.642139789467734,-36.675913726672036,-42.60836421703408
10100,-39.641905308052515,-36.67481454316109,-42.6089943580518
10200,-39.64171735167815,-36.67377815785517,-42.60965475096302
10300,-39.64157596457687,-36.67280466416338,-42.61034539083391
10400,-39.64148117985653,-36.671894140617354,-42.61106626539157
10500,-39.64143301980553,-36.671046651175885,-42.61181735526526
10600,-39.64143149579431,-36.67026224514103,-42.6125986338937
10700,-39.641476608077,-36.66954095691264,-42.61341006742168
10800,-39.64156834614164,-36.66888280638176,-42.614251614941765
10900,-39.641706688374825,-36.66828779855632,-42.615123228239696
11000,-39.64189160238698,-36.667755923901495,-42.616024852109945
11100,-39.64212304467344,-36.66728715801969,-42.61695642391925
11200,-39.64240096090904,-36.66688146188821,-42.61791787412355
11300,-39.64272528576464,-36.66653878176302,-42.61890912574137
11400,-39.643095943153725,-36.66625904933019,-42.61993009502311
11500,-39.64351284601801,-36.66604218158821,-42.62098069078138
11600,-39.6439758964228,-36.6658880808688,-42.62206081493008
11700,-39.64448498567637,-36.665796635022105,-42.623170362155236
11800,-39.64503999407955,-36.66576771712519,-42.6243092200946
11900,-39.64564079150168,-36.665801186101845,-42.62547726951186
12000,-39.64628723663057,-36.665896885950104,-42.626674383828714
12100,-39.64697917787058,-36.66605464667589,-42.627900429862365
12200,-39.6477164525227,-36.666274283465896,-42.629155267029546
12300,-39.64849888755177,-36.66655559744518,-42.63043874821207
12400,-39.64932629920028,-36.66689837536944,-42.63175071907435
12500,-39.65019849309837,-36.66730238965806,-42.63309101855887
12600,-39.65111526450028,-36.66776739872657,-42.63445947869022
12700,-39.65207639798132,-36.66829314662971,-42.63585592467405
12800,-39.653081667961516,-36.66887936364992,-42.637280174990565
12900,-39.65413083828426,-36.66952576585027,-42.63873204137886
13000,-39.65522366258878,-36.670232055518795,-42.640211328772125
13100,-39.65635988416656,-36.67099792093546,-42.64171783551376
13200,-39.657539236244105,-36.67182303683808,-42.643251353334506
13300,-39.65876144178242,-36.6727070640776,-42.64481166733066
13400,-39.660026213903194,-36.67364965016358,-42.6463985562452
13500,-39.66133325540878,-36.674650428768786,-42.64801179201183
13600,-39.6626822594684,-36.67570902041882,-42.649651140519865
13700,-39.664072909145375,-36.67682503211293,-42.65131636082404
13800,-39.665504877958625,-36.67799805780746,-42.653007206114125
13900,-39.666977829617394,-36.67922767827238,-42.65472342296442
14000,-39.66849141811511,-36.68051346113177,-42.656464751847466
14100,-39.67004528814695,-36.6818549613611,-42.658230927099765
14200,-39.67163907456674,-36.68325172073327,-42.6600216767626
14300,-39.67327240332543,-36.68470326881254,-42.66183672312147
14400,-39.67494489063938,-36.686209122124154,-42.66367578212552
14500,-39.676656143874965,-36.68776878509641,-42.66553856408666
14600,-39.678405761075396,-36.68938174959308,-42.667424773232426
14700,-39.68019333135783,-36.69104749533085,-42.66933410814937
14800,-39.68201843495504,-36.69276549001029,-42.67126626153615
14900,-39.68388064321118,-36.69453518925792,-42.67322092055366
15000,-39.68577951878942,-36.69635603694863,-42.67519776658119
15100,-39.687714615762275,-36.69822746527029,-42.67719647567745
15200,-39.68968547970573,-36.700148894877515,-42.679216718264456
15300,-39.69169164773845,-36.702119734951424,-42.68125815950893
15400,-39.693732648764836,-36.70413938351115,-42.683320459124246
15500,-39.695808003346656,-36.70620722725661,-42.68540327161364
15600,-39.697917224254894,-36.708322642243814,-42.68750624643394
15700,-39.70005981597902,-36.710484993349496,-42.68962902771864
15800,-39.70223527554742,-36.71269363518411,-42.691771254922315
15900,-39.704443091850436,-36.71494791143121,-42.69393256213749
16000,-39.7066827465479,-36.71724715577167,-42.6961125790767
16100,-39.70895371355286,-36.71959069148144,-42.69831093021352
16200,-39.71125545958628,-36.72197783192749,-42.70052723572448
16300,-39.71358744414809,-36.7244078806722,-42.70276111097036
16400,-39.715949119448084,-36.72688013138318,-42.705012166806284
16500,-39.71833993103485,-36.72939386851391,-42.70728000979091
16600,-39.720759317251094,-36.73194836684925,-42.70956424194205
16700,-39.723206710048174,-36.73454289229102,-42.71186446117116
16800,-39.725681534582236,-36.73717670156361,-42.71418026114492
16900,-39.72818320971564,-36.73984904271302,-42.716511231502125
17000,-39.730711147899314,-36.742559155075895,-42.718856957850306
17100,-39.73326475547151,-36.74530626955783,-42.721217021974695
17200,-39.735843432715,-36.7480896088467,-42.723591001739095
17300,-39.73844657407088,-36.750908387538004,-42.72597847147375
17400,-39.741073568144856,-36.7537618123022,-42.72837900166991
17500,-39.74372379804598,-36.756649082232855,-42.73079215953598
17600,-39.746396641365465,-36.759569388825014,-42.73321750868138
17700,-39.74909147037826,-36.762521916310874,-42.73565460953668
17800,-39.7518076522955,-36.765505841890814,-42.738103019224155
17900,-39.754544549085495,-36.76852033565618,-42.7405622916971
18000,-39.7573015181581,-36.77156456127642,-42.74303197802567
18100,-39.76007791187939,-36.77463767561241,-42.74551162614844
18200,-39.76287307841264,-36.77773882956157,-42.74800078145765
18300,-39.76568636119126,-36.78086716763332,-42.75049898634481
18400,-39.76851709958464,-36.784021828595996,-42.75300578080365
18500,-39.77136462878198,-36.78720194550374,-42.75552070211057
18600,-39.77422828002477,-36.79040664589394,-42.758043285278205
18700,-39.77710738087342,-36.79363505216651,-42.760573062971474
18800,-39.78000125510434,-36.796886281531556,-42.763109565606555
18900,-39.78290922318888,-36.80015944647511,-42.76565232156409
19000,-39.78583060211156,-36.80345365472948,-42.76820085718984
19100,-39.78876470585763,-36.80676800973714,-42.77075469691266
19200,-39.79171084532129,-36.81010161064344,-42.773313363449745
19300,-39.79466832866811,-36.813453552731886,-42.77587637780235
19400,-39.79763646127378,-36.81682292739404,-42.7784432593798
19500,-39.80061454618317,-36.82020882262353,-42.781013526244465
19600,-39.80360188389514,-36.823610322929966,-42.78358669490527
19700,-39.80659777294923,-36.82702650987494,-42.78616228090482
19800,-39.80960150966894,-36.83045646198565,-42.78873979830826
19900,-39.81261238871559,-36.8338992552645,-42.79131876050374
20000,-39.81562970298478,-36.83735396321711,-42.79389867970309
20100,-39.81865274381872,-36.84081965708586,-42.79647906744924
20200,-39.821680801384474,-36.844295406269566,-42.79905943456936
20300,-39.82471316439049,-36.84778027814954,-42.801639291210876
20400,-39.82774912088462,-36.851273338876126,-42.80421814722243
20500,-39.83078795769768,-36.854773652938235,-42.80679551184019
20600,-39.833828961324826,-36.85828028404498,-42.80937089430003
20700,-39.83687141750647,-36.86179229481462,-42.811943803494245
20800,-39.83991461177246,-36.86530874730846,-42.81451374843638
20900,-39.84295782944835,-36.868828703173904,-42.81708023809304
21000,-39.84600035580033,-36.87235122380727,-42.81964278161283
21100,-39.849041476410065,-36.87587537076402,-42.822200888607625
21200,-39.852080476925494,-36.879400205592475,-42.82475406875835
21300,-39.855116643671636,-36.882924790537515,-42.82730183264189
21400,-39.85814926386945,-36.886448188739706,-42.829843691397684
21500,-39.861177624977245,-36.88996946369437,-42.83237915648516
21600,-39.864201015960504,-36.89348768054006,-42.83490774068272
21700,-39.86721872681184,-36.8970019056801,-42.83742895763618
21800,-39.87023004881564,-36.90051120706926,-42.83994232187618
21900,-39.87323427468348,-36.90401465441812,-42.84244734914748
22000,-39.87623069905018,-36.90751131972547,-42.84494355669881
22100,-39.87921861813621,-36.91100027706395,-42.84743046291871
22200,-39.882197330109506,-36.914480602881156,-42.849907587718064
22300,-39.88516613561498,-36.9179513767391,-42.85237445275658
22400,-39.88812433744616,-36.92141168090137,-42.85483058138391
22500,-39.89107124073061,-36.92486060064152,-42.857275498511456
22600,-39.89400615345656,-36.92829722485541,-42.85970873138979
22700,-39.89692838654187,-36.931720646111984,-42.86212980911611
22800,-39.89983725344874,-36.93512996037717,-42.86453826268735
22900,-39.902732071192446,-36.93852426804625,-42.86693362572035
23000,-39.90561215989558,-36.94190267359687,-42.86931543403995
23100,-39.90847684326232,-36.945264286076764,-42.871683225924755
23200,-39.911325448324845,-36.94860821892763,-42.87403654202001
23300,-39.91415730638346,-36.95193359095657,-42.87637492611967
23400,-39.91697175220642,-36.95523952562104,-42.878697924254965
23500,-39.919768124771196,-36.9585251517905,-42.881005085593074
23600,-39.922545767589696,-36.961789604189875,-42.88329596234402
23700,-39.92530402816601,-36.96503202282216,-42.885570109526526
23800,-39.92804225878493,-36.968251553850536,-42.88782708548379
23900,-39.93075981635897,-36.97144734954847,-42.89006645193575
24000,-39.93345606278149,-36.9746185686075,-42.89228777378139
