year;mean_C_degC;max_C_degC;min_C_degC
100;-9.920414808861722;-8.940092309901729;-10.90073602118008
200;-9.922004175328823;-8.94169951448248;-10.902307549084469
300;-9.923593910633087;-8.943307091244833;-10.903879442783818
400;-9.925183641430863;-8.944914662655037;-10.905451333124574
500;-9.926772994380201;-8.946521851181501;-10.90702285095432
600;-9.928361596227546;-8.948128279381649;-10.908593627208916
700;-9.9299490738955;-8.949733569992304;-10.910163292996117
800;-9.931535054571953;-8.95133734601717;-10.911731479687546
900;-9.933119165793471;-8.952939230814536;-10.913297818998444
1000;-9.934701035539717;-8.954538848189884;-10.914861943081576
1100;-9.936280292313768;-8.956135822477677;-10.916423484608345
1200;-9.937856565232437;-8.957729778634302;-10.91798207685548
1300;-9.939429484114896;-8.95932034232635;-10.91953735379468
1400;-9.94099867956686;-8.960907140014797;-10.921088950174635
1500;-9.94256378306926;-8.962489799048058;-10.922636501609077
1600;-9.944124427062434;-8.964067947742251;-10.924179644660853
1700;-9.945680245035874;-8.96564121547675;-10.925718016929807
1800;-9.947230871611794;-8.9672092327761;-10.92725125713406
1900;-9.948775942630562;-8.968771631395441;-10.928779005197782
2000;-9.950315095238864;-8.970328044412838;-10.930300902336455
2100;-9.951847967972412;-8.97187810631084;-10.931816591136851
2200;-9.953374200841893;-8.973421453061974;-10.933325715646731
2300;-9.954893435417205;-8.974957722219074;-10.93482792145278
2400;-9.956405314912104;-8.976486552993606;-10.9363228557674
2500;-9.957909484267361;-8.978007586345313;-10.937810167512623
2600;-9.95940559023461;-8.979520465067253;-10.939289507397916
2700;-9.960893281459278;-8.981024833863728;-10.94076052800699
2800;-9.962372208562158;-8.982520339440612;-10.942222883873
2900;-9.963842024222288;-8.984006630581973;-10.943676231569839
3000;-9.965302383259939;-8.98548335823881;-10.945120229784038
3100;-9.966752942715573;-8.986950175610275;-10.946554539397539
3200;-9.968193361931128;-8.988406738217634;-10.947978823569656
3300;-9.969623302629202;-8.989852703992597;-10.94939274781325
3400;-9.9710424289932;-8.991287733355875;-10.950795980069529
3500;-9.972450407746237;-8.992711489294493;-10.952188190797585
3600;-9.973846908230655;-8.994123637445682;-10.953569053041804
3700;-9.975231602483916;-8.995523846174933;-10.954938242511503
3800;-9.976604165316076;-8.99691178664608;-10.956295437658866
3900;-9.977964274385556;-8.998287132906626;-10.9576403197525
4000;-9.979311610275602;-8.99964956196186;-10.958972572948028
4100;-9.980645856568515;-9.000998753849387;-10.960291884372737
4200;-9.98196669992393;-9.00233439171717;-10.961597944192931
4300;-9.983273830146004;-9.003656161897709;-10.962890445685446
4400;-9.984566940259242;-9.004963753976938;-10.964169085309607
4500;-9.985845726581772;-9.006256860870963;-10.965433562780902
4600;-9.987109888796851;-9.007535178899047;-10.966683581145844
4700;-9.988359130019546;-9.008798407853874;-10.967918846837392
4800;-9.989593156871877;-9.010046251070264;-10.9691390697609
4900;-9.9908116795458;-9.01127841549777;-10.97034396335198
5000;-9.992014411875687;-9.012494611766783;-10.971533244644434
5100;-9.993201071404599;-9.013694554257313;-10.97270663433926
5200;-9.994371379451309;-9.014877961167997;-10.973863856874743
5300;-9.995525061171463;-9.016044554580105;-10.975004640475447
5400;-9.996661845629717;-9.017194060525071;-10.976128717237543
5500;-9.997781465856349;-9.018326209045597;-10.977235823177296
5600;-9.99888365890996;-9.019440734258751;-10.97832569828779
5700;-9.999968165949724;-9.020537374426794;-10.979398086621131
5800;-10.00103473227665;-9.021615872001803;-10.980452736328914
5900;-10.002083107416581;-9.022675973707067;-10.98148939973305
6000;-10.003113045159864;-9.023717430579381;-10.982507833374768
6100;-10.004124303629794;-9.02473999803533;-10.983507798079586
6200;-10.005116645339228;-9.025743435934203;-10.98448905901165
6300;-10.006089837236914;-9.02672750861558;-10.98545138572274
6400;-10.007043650775927;-9.02769198498163;-10.986394552216836
6500;-10.007977861955112;-9.028636638525313;-10.987318336994633
6600;-10.008892251376949;-9.029561247397055;-10.988222523105435
6700;-10.009786604303827;-9.030465594457723;-10.989106898209627
6800;-10.01066071069647;-9.031349467322457;-10.98997125460778
6900;-10.011514365279425;-9.032212658421486;-10.990815389314207
7000;-10.01234736756885;-9.033054965031567;-10.991639104084982
7100;-10.013159521941702;-9.033876189344369;-10.992442205476266
7200;-10.01395063766438;-9.034676138496366;-10.993224504880402
7300;-10.014720528946214;-9.035454624620968;-10.993985818578096
7400;-10.015469014984376;-9.036211464899282;-10.994725967779857
7500;-10.016195919996221;-9.036946481583527;-10.995444778661636
7600;-10.016901073274312;-9.037659502065367;-10.996142082416043
7700;-10.017584309214442;-9.038350358891364;-10.996817715283953
7800;-10.018245467359577;-9.039018889815225;-10.997471518591794
7900;-10.018884392442772;-9.039664937836847;-10.998103338801968
8000;-10.0195009344107;-9.040288351231652;-10.998713027526094
8100;-10.020094948476014;-9.040888983597881;-10.999300441586286
8200;-10.020666295129729;-9.041466693870802;-10.99986544303033
8300;-10.021214840197956;-9.042021346385411;-11.000407899167158
8400;-10.021740454858275;-9.04255281088274;-11.0009276826068
8500;-10.022243015668721;-9.043060962547372;-11.001424671278357
8600;-10.022722404606839;-9.043545682043487;-11.001898748466942
8700;-10.02317850908696;-9.044006855535542;-11.002349802834033
8800;-10.023611221997214;-9.044444374714601;-11.002777728455158
8900;-10.024020441717767;-9.044858136841071;-11.003182424831834
9000;-10.024406072143336;-9.04524804473914;-11.003563796922435
9100;-10.024768022713886;-9.045614006843323;-11.003921755168221
9200;-10.025106208420254;-9.045955937203871;-11.004256215497264
9300;-10.025420549843318;-9.046273755521327;-11.0045670993631
9400;-10.025710973161324;-9.046567387157666;-11.004854333757521
9500;-10.02597741016774;-9.046836763153408;-11.00511785122194
9600;-10.026219798296381;-9.047081820251378;-11.005357589876269
9700;-10.02643808061822;-9.047302500895398;-11.005573493415682
9800;-10.026632205872488;-9.04749875326172;-11.005765511136929
9900;-10.02680212846775;-9.047670531260337;-11.005933597942317
10000;-10.026947808498221;-9.047817794545495;-11.006077714360913
10100;-10.027069211755304;-9.04794050854349;-11.006197826546156
10200;-10.027166309725374;-9.04803864442971;-11.00629390628967
10300;-10.027239079608933;-9.048112179160285;-11.006365931032462
10400;-10.027287504310095;-9.048161095461012;-11.006413883853156
10500;-10.027311572454039;-9.048185381841904;-11.006437753483397
10600;-10.027311278403033;-9.048185032607194;-11.006437534340876
10700;-10.02728662220602;-9.048160047834699;-11.006413226445204
10800;-10.02723760967666;-9.048110433394186;-11.0063648355424
10900;-10.027164252302896;-9.048036200936906;-11.006292372956295
11000;-10.027066567330394;-9.047937367891734;-11.006195855747364
11100;-10.026944577688482;-9.04781395747898;-11.006075306547586
