year,mean_C_degC,max_C_degC,min_C_degC
100,-9.920393865915628,-8.933464614682123,-10.907332498794744
200,-9.92198431510866,-8.929199274224061,-10.914780266642879
300,-9.92357514790018,-8.92567537692662,-10.921487349644053
400,-9.925165990127141,-8.92289633417397,-10.927449586953458
500,-9.926756467617167,-8.920865001299774,-10.932663373766559
600,-9.928346206276956,-8.919583675313845,-10.93712566376962
700,-9.929934832180038,-8.919054093049454,-10.940833971168502
800,-9.931521971656991,-8.91927742972473,-10.943786372307272
900,-9.933107251379226,-8.920254297926249,-10.945981506856072
1000,-9.934690298453404,-8.92198474701462,-10.947418578592988
1100,-9.936270740504881,-8.924468262944288,-10.948097355751258
1200,-9.937848205764794,-8.927703768507229,-10.948018170952253
1300,-9.939422323162546,-8.931689624001933,-10.94718192072213
1400,-9.940992722410158,-8.93642362831281,-10.94559006457962
1500,-9.942559034089129,-8.941903020415793,-10.943244623709347
1600,-9.944120889739565,-8.948124481296816,-10.940148179217601
1700,-9.945677921945673,-8.955084136289258,-10.936303869969379
1800,-9.947229764424947,-8.962777557828588,-10.93171539001139
1900,-9.948776052110702,-8.969921034141692,-10.927596689121742
2000,-9.950316421240643,-8.964748777171678,-10.935850912488036
2100,-9.951850509445023,-8.960305862016753,-10.943363257524254
2200,-9.953377955827307,-8.95659635673286,-10.950128933443466
2300,-9.95489840105273,-8.953623778739995,-10.956143703196688
2400,-9.95641148743249,-8.951391092069684,-10.961403886401797
2500,-9.957916859007241,-8.949900705013192,-10.965906361856128
2600,-9.959414161632537,-8.949154468198174,-10.969648569635126
2700,-9.960903043061478,-8.949153673075386,-10.972628512772133
2800,-9.96238315302844,-8.949899050820363,-10.974844758523261
2900,-9.96385414333048,-8.951390771663398,-10.976296439198848
3000,-9.965315667912193,-8.953628444624599,-10.976983252603361
3100,-9.96676738294724,-8.956611117689363,-10.976905462023637
3200,-9.96820894691433,-8.960337278372322,-10.976063895814377
3300,-9.96964002068421,-8.964804854728072,-10.97445994656448
3400,-9.971060267596329,-8.970011216764533,-10.972095569836029
3500,-9.972469353539623,-8.975953178278814,-10.968973282491163
3600,-9.97386694702982,-8.98262699910316,-10.965096160604617
3700,-9.975252719292541,-8.990028387770906,-10.960467836960788
3800,-9.97662634433425,-8.998152504591587,-10.9550924981246
3900,-9.977987499022277,-8.993775374534778,-10.962124174078099
4000,-9.979335863161054,-8.989024417765677,-10.96957345492035
4100,-9.980671119569138,-8.984999391338079,-10.976270646692626
4200,-9.981992954152645,-8.9817039525131,-10.982211462693726
4300,-9.983301055976426,-8.979141207676548,-10.987392173375497
4400,-9.984595117344327,-8.977313709900955,-10.991809608936876
4500,-9.985874833866035,-8.97622345694009,-10.995461161474168
4600,-9.987139904533308,-8.975871889610687,-10.998344786738926
4700,-9.988390031784263,-8.976259890617598,-11.000459005453763
4800,-9.989624921580514,-8.97738778378158,-11.001802904236229
4900,-9.990844283473223,-8.979255333691867,-11.002376136074702
5000,-9.99204783067347,-8.981861745768072,-11.002178920416554
5100,-9.993235280117574,-8.985205666752108,-11.001212042806287
5200,-9.994406352536942,-8.989285185600693,-10.999476854127238
5300,-9.995560772517877,-8.994097834807349,-10.99697526940696
5400,-9.996698268577802,-8.99964059214608,-10.993709766226175
5500,-9.99781857321517,-9.005909882805668,-10.989683382682983
5600,-9.998921422984779,-9.01290158196133,-10.984899714978894
5700,-10.000006558552116,-9.020611017737735,-10.979362914556987
5800,-10.001073724756168,-9.018190365210785,-10.983850513905566
5900,-10.002122670674453,-9.013016531013136,-10.991124701584397
6000,-10.003153149674006,-9.008562271122628,-10.997642460881082
6100,-10.004164919477262,-9.004831412418639,-11.003399478425933
6200,-10.005157742213044,-9.001827233082452,-11.008391998302557
6300,-10.00613138447676,-8.999552460098357,-11.012616824666338
6400,-10.007085617385258,-8.99800926711248,-11.01607132399613
6500,-10.008020216623038,-8.997199272732644,-11.018753426895671
6600,-10.00893496251473,-8.99712353925537,-11.02066162950149
6700,-10.009829640048906,-8.997782571774167,-11.021794994437244
6800,-10.010704038953008,-8.999176317731838,-11.022153151399039
6900,-10.011557953727618,-9.001304166882335,-11.0217362972827
7000,-10.012391183703073,-9.004164951666382,-11.020545195900013
7100,-10.013203533083981,-9.007756948003419,-11.018581177296255
7200,-10.013994810992756,-9.01207787650452,-11.015846136612879
7300,-10.014764831524019,-9.017124904096761,-11.012342532582466
7400,-10.015513413770634,-9.022894646056898,-11.008073385550915
7500,-10.016240381886234,-9.029383168477693,-11.003042275130554
7600,-10.016945565113076,-9.036585991106278,-10.997253337420034
7700,-10.017628797824841,-9.03609018045654,-10.99910921402494
7800,-10.018289919576375,-9.030396810563559,-11.00612131951749
7900,-10.018928775120798,-9.025418213437547,-11.012374164510447
8000,-10.019545214461402,-9.021158414245633,-11.017863426470512
8100,-10.020139092884904,-9.01762089123281,-11.022585340314436
8200,-10.020710270990207,-9.014808573076039,-11.026536701116697
8300,-10.021258614728765,-9.012723836665032,-11.02971486641053
8400,-10.02178399542197,-9.01136850526791,-11.03211775803993
8500,-10.022286289807539,-9.010743847137917,-11.033743863659652
8600,-10.022765380061458,-9.010850574519168,-11.034592237767129
8700,-10.023221153823272,-9.01168884307424,-11.034662502317303
8800,-10.023653504230026,-9.013258251734669,-11.033954846948234
