year,mean_C_degC,max_C_degC,min_C_degC
100,38.70897526864559,40.262536262040555,37.15543476839798
200,38.70745311718713,40.28769059327783,37.127233446648574
300,38.70593053450938,40.31192392771089,37.09995218915304
400,38.704407877763515,40.3351915375502,37.07363643993733
500,38.702885504186895,40.35744903318192,37.04833130512958
600,38.70136377102102,40.378652419358104,37.02408149660329
700,38.69984303542981,40.39875815154596,37.00093127546404
800,38.698323654412434,40.417723192384074,36.97892439541954
900,38.69680598472894,40.435505068169164,36.958104046137464
1000,38.6952903828053,40.452061925304974,36.93851279660868
1100,38.693777204659284,40.467352586664674,36.920192538635376
1200,38.69226680581818,40.481336607778076,36.90318443047494
1300,38.69075954122803,40.49397433277744,36.88752884070982
1400,38.68925576517637,40.505226950057136,36.87326529243643
1500,38.687755831209756,40.5150565475472,36.8604324078151
1600,38.686260092048144,40.52342616756118,36.849067853057875
1700,38.684768899505684,40.530299861129606,36.83920828392746
1800,38.68328260440211,40.535642741754714,36.830889291807466
1900,38.68180155648889,40.5418540088271,36.82184609347769
2000,38.68032610436177,40.57153369452942,36.78921455067518
2100,38.678856595375294,40.60009744517305,36.75771071468819
2200,38.67739337556918,40.62749584102397,36.72738469675255
2300,38.67593678958207,40.653679967472726,36.69828610030282
2400,38.674487180569315,40.678601475917674,36.67046395991474
2500,38.67304489012514,40.70221264467108,36.64396668025779
2600,38.67161025819854,40.72446643976741,36.618841975112446
2700,38.67018362301502,40.74531657564012,36.595136806537425
2800,38.66876532099462,40.7647175755917,36.57289732424181
2900,38.66735568667576,40.78262483195732,36.55216880527212
3000,38.66595505262882,40.798994665941166,36.53299559399744
3100,38.664563749378715,40.81378438698056,36.515421042589935
3200,38.663182105335636,40.82695235167438,36.49948745196639
3300,38.66181044670526,40.83845802208282,36.48523601330362
3400,38.66044909741555,40.84826202341486,36.47270675021059
3500,38.65909837903888,40.85632620099392,36.4619384616048
3600,38.657758610716826,40.86261367644818,36.45296866536671
3700,38.6564301090736,40.86708890303589,36.445833542848504
3800,38.655113188154985,40.869717720052336,36.44056788433835
3900,38.6538081593456,40.90064754918717,36.407187370020495
4000,38.652515331294296,40.93268028018173,36.37256842179096
4100,38.651235009836626,40.96328627365199,36.33940100219945
4200,38.64996749792397,40.9924128449444,36.30773839961927
4300,38.64871309555758,41.02000811945243,36.27763308668693
4400,38.647472099699826,41.04602109755922,36.249136655198186
4500,38.64624480421588,41.070401719209485,36.2222997514005
4600,38.64503149979231,41.093100928145304,36.19717201162973
4700,38.643832473881446,41.11407073560133,36.17380199848367
4800,38.64264801061705,41.13326428348313,36.15223713748168
4900,38.64147839075076,41.15063590690306,36.132523654423494
5000,38.64032389158132,41.16614119603565,36.11470651336822
5100,38.63918478689084,41.17973705716889,36.09882935546756
5200,38.63806134687155,41.191381772948716,36.08493443859106
5300,38.63695383807459,41.201035061672485,36.07306257791754
5400,38.63586252331589,41.208658135567816,36.06325308747131
5500,38.634787661647465,41.21421375807006,36.0555437227971
5600,38.6337295082638,41.217666299896905,36.0499706246822
5700,38.63268831445754,41.21898179396567,36.04656826417744
5800,38.631664327553665,41.246982234322786,36.016704908742554
5900,38.63065779083678,41.28249324426571,35.97917862671028
6000,38.62966894351149,41.316302307299395,35.94338930330389
6100,38.62869802062306,41.34835342985059,35.909393400274894
6200,38.62774525301512,41.37859168552137,35.87724630415744
6300,38.626810867262066,41.40696328325345,35.84700225797718
6400,38.62589508561297,41.43341563504828,35.81871429342789
6500,38.624998125956495,41.457897422939936,35.792434163811606
6600,38.62412020171422,41.4803586651866,35.76821227766965
6700,38.62326152186307,41.50075078172739,35.74609763333825
6800,38.622422290816644,41.51902665866277,35.72613775427112
6900,38.62160270841645,41.53514071177051,35.70837862545619
7000,38.62080296985846,41.54904894897675,35.692864630867234
7100,38.62002326565238,41.56070903169234,35.679638491990886
7200,38.61926378158074,41.570080334930765,35.66874120766977
7300,38.61852469862475,41.57712400615475,35.660211995082534
7400,38.61780619297036,41.581803022781685,35.654088232245556
7500,38.617108435905436,41.584082248207096,35.65040540180598
7600,38.616431593815435,41.58392848644189,35.649197036395094
7700,38.61577582813533,41.606721077315115,35.62490268215009
7800,38.61514129527416,41.645679803900634,35.584688113338984
7900,38.61452814663761,41.682651569908955,35.546503362924796
8000,38.613936528545025,41.717577562262136,35.51040752472869
8100,38.61336658219551,41.7504003011436,35.47645834888874
8200,38.61281844364976,41.781063710844876,35.44471217096839
8300,38.612292243769105,41.80951318968965,35.41522384191279
8400,38.61178810822901,41.83569567909967,35.388046659067186
8500,38.61130615743485,41.85955973154347,35.36323229802292
8600,38.61084650651071,41.88105557742614,35.34083074573289
8700,38.61040926528079,41.90013519077411,35.32089023481825
8800,38.6099945382129,41.91675235362993,35.303457179045154
8900,38.60960242444446,41.930862719217885,35.2885761102288
9000,38.60923301769185,41.942423873510165,35.27628961652755
9100,38.608886406285365,41.951395395461816,35.266638282268275
9200,38.60856267308827,41.9577389155682,35.2596606292434
9300,38.608261895517046,41.96141817287082,35.25539305976099
9400,38.60798414551749,41.96239907015905,35.25386980139166
9500,38.60772948952223,41.96064972748093,35.25512285340386
9600,38.607497988477064,41.97659997284336,35.23847566857836
9700,38.60728969776761,42.01887326486445,35.195795820794785
9800,38.60710466724328,42.058867260597594,35.15544182223448
9900,38.606942941203556,42.096520877747366,35.11747483459976
10000,38.60680455834489,42.131774640484934,35.08195440185739
10100,38.60668955183007,42.16457075209121,35.04893837766224
10200,38.60659794919519,42.19485316644352,35.01848285375456
10300,38.606529772402894,42.222567658244316,34.9906420898123
10400,38.60648503777793,42.24766189199369,34.965468444402916
10500,38.60646375603562,42.27008548947282,34.9430123074992
10600,38.60646593236214,42.28979009595923,34.923322034450166
10700,38.60649156619036,42.30672944451396,34.90644388133518
10800,38.606540651480884,42.32085941915085,34.89242194226978
10900,38.60661317644434,42.3321381157308,34.88129808798561
11000,38.606709123793394,42.34052590167727,34.873111906706924
11100,38.60682847056313,42.34598547313027,34.867900646470105
11200,38.60697118818467,42.3484819110966,34.86569915939663
11300,38.60713724254617,42.34798273450997,34.86653984844298
11400,38.60732659386804,42.344457952312155,34.87045261542107
11500,38.607539196917,42.351571309057135,34.86350007776139
11600,38.607775000690424,42.39697236547727,34.81857694282252
11700,38.60803394887722,42.439798881232264,34.7762747005537
11800,38.60831597935049,42.47998807823268,34.73665599947725
11900,38.608621024744195,42.517479061332835,34.69978159457173
12000,38.608949011912216,42.55221289137381,34.665710273214245
12100,38.60929986245054,42.584132657819,34.634498783500135
12200,38.60967349227144,42.61318354914067,34.60620176312926
12300,38.61006981197244,42.639312922172394,34.580871670664294
12400,38.61048872666896,42.6624703692969,34.55855871813071
12500,38.610930136071886,42.68260778435376,34.53931080519675
12600,38.61139393455511,42.69967942617086,34.523173455808376
12700,38.611880011010726,42.71364198065851,34.51018975583685
12800,38.61238824918502,42.72445462073853,34.500400293735254
12900,38.61291852731853,42.73207906396766,34.493843102351434
13000,38.61347071859643,42.73647962858655,34.490553603581986
13100,38.6140446907458,42.737623286739506,34.49056455459964
13200,38.61464030652297,42.7354797160296,34.493905997039406
13300,38.61525742325847,42.730021348096045,34.50060520771052
13400,38.61589589342367,42.7263003986738,34.50530994169566
13500,38.61655556409352,42.77457143730328,34.458362131435194
13600,38.61723627754844,42.819973803350706,34.4143252659652
13700,38.61793787086481,42.86244362544841,34.373262888769545
13800,38.618660176265564,42.90191919048789,34.335236374917315
13900,38.619403020964626,42.938341017234734,34.30030485761131
14000,38.62016622725827,42.97165192856801,34.26852515576917
14100,38.62094961269406,43.00179712190379,34.23995170417294
14200,38.62175298985858,43.02872423732015,34.21463648478368
14300,38.62257616681558,43.05238342452162,34.19262896070967
14400,38.62341894663297,43.07272740677257,34.17397601141158
14500,38.6242811280099,43.08971154358608,34.158721871028206
14600,38.62516250474829,43.10329389059541,34.14690806780794
14700,38.626062866356676,43.113435257625724,34.138573366804735
14800,38.626981997613086,43.12009926401612,34.13375371418806
14900,38.62791967905895,43.123252392040456,34.13248218429112
15000,38.62887568664598,43.122864037163936,34.134788929160266
15100,38.629849792113134,43.11890655657271,34.140701130341824
15200,38.6308417628631,43.1113553144491,34.15024295367391
15300,38.63185136208767,43.10018872492088,34.16343550641193
15400,38.63287834879617,43.14568205409984,34.11967539488057
15500,38.633922477903354,43.19333980601181,34.074110600895665
15600,38.63498350037179,43.23777567905728,34.031801843952564
15700,38.63606116296904,43.27892776265594,33.9928105263084
15800,38.63715520881095,43.31673664903565,33.95719553976164
15900,38.63826537687078,43.35114550427073,33.92501319363521
16000,38.63939140263756,43.38210013769674,33.89631714660106
16100,38.64053301757821,43.409549068440356,33.8711583392826
16200,38.641689949800195,43.43344359082175,33.84958492983452
16300,38.64286192355331,43.45373783601855,33.83164223170456
16400,38.64404865974137,43.47038883269789,33.81737265359658
16500,38.64524987574816,43.483356564410144,33.80681564214524
16600,38.64646528559689,43.49260402443139,33.80000762699723
16700,38.64769460003947,43.49809726857637,33.79698196850745
16800,38.648937526487714,43.49980546472193,33.79776890796978
16900,38.65019376933509,43.4977009399509,33.80239552095156
17000,38.6514630297126,43.491759224895134,33.810885672774305
17100,38.65274500591437,43.481959095103775,33.823259977690384
17200,38.65403939311369,43.46828260960996,33.83953576007036
17300,38.655345883804955,43.50386104196224,33.80622938863013
17400,38.65666416750474,43.553396628352914,33.75933930292325
17500,38.65799393120517,43.59943113421929,33.715973817135705
17600,38.659334859056116,43.641903083604916,33.67619377086288
17700,38.66068663285847,43.680753765536736,33.64005723310095
17800,38.66204893170652,43.71592730342633,33.607619432977515
17900,38.66342143252615,43.74737072204812,33.57893269292828
18000,38.664803809783734,43.77503401254319,33.55404636392046
18100,38.6661957356896,43.79887019444482,33.53300676326228
18200,38.667596880391216,43.81883537531269,33.51585711575768
18300,38.669006911812176,43.83488880785558,33.502637495968486
18400,38.670425496085386,43.846992944196245,33.49338477498111
18500,38.67185229714994,43.85511348709582,33.48813256846449
18600,38.673286977413056,43.85921943917447,33.48691118844283
18700,38.67472919723849,43.85928314795609,33.48974759774228
18800,38.67617861555112,43.85528034923334,33.4966653672235
18900,38.67763488949146,43.847190206590994,33.507684636276
19000,38.67909767489101,43.83499534807828,33.52282207638825
19100,38.68056662598417,43.81868189992946,33.542090857505286
19200,38.68204139579933,43.84239351485763,33.52147125759154
19300,38.68352163602134,43.893382225162895,33.473421796301125
19400,38.68500699720221,43.94060502403261,33.42914855833533
19500,38.68649712881046,43.984001505081494,33.38871126773216
19600,38.68799167927256,44.02351427668043,33.35216663192017
19700,38.68949029620552,44.059089029016036,33.31956827466388
19800,38.69099262621393,44.09067459807312,33.29096667212838
19900,38.69249831540617,44.118223028005616,33.26640909105828
20000,38.69400700891151,44.14168962923321,33.24593953005456
20100,38.69551835161076,44.16103303533487,33.229598663933416
20200,38.69703198758964,44.17621525573088,33.217423789998804
20300,38.698547560804855,44.187201726223236,33.20944877881601
20400,38.70006471465638,44.193961356029945,33.205704026202056
20500,38.70158309245534,44.19646657225803,33.20621640995273
20600,38.7031023372798,44.19469336052168,33.211009248487585
20700,38.704622092159696,44.18862130326107,33.220102263356864
20800,38.706142000195996,44.1782336141049,33.23351154459766
20900,38.70766170441419,44.16351716917188,33.25124951969792
21000,38.709180848376434,44.14446253552097,33.273324925758345
21100,38.71069907557097,44.154521210222754,33.26668579693853
21200,38.712216029788465,44.20650374313095,33.21772225099568
21300,38.71373135563471,44.254474049502335,33.17276776708343
21400,38.715244697829405,44.29837342007653,33.13188035716729
21500,38.71675570213199,44.338146394496334,33.09511478645999
21600,38.71826401464358,44.373740824801246,33.062522508329266
21700,38.71976928225706,44.40510793615823,33.034151604362876
21800,38.72127115267989,44.4322023850944,33.01004672661679
21900,38.7227692747785,44.45498231441235,32.99024904286898
22000,38.724263298356504,44.47340940484344,32.97479618488984
22100,38.72575287430789,44.48744892375885,32.96372219976905
22200,38.72723765459983,44.4970697711002,32.95705750421962
22300,38.72871729233111,44.502244520835575,32.95482884286969
22400,38.73019144221189,44.502949461239325,32.957059249251415
22500,38.73165976030367,44.49916462990012,32.963768010009744
