year,mean_C_degC,max_C_degC,min_C_degC
100,-3.3655930026756664,21.87110689590753,-28.602292901258863
200,-3.3655930026752685,21.871106895908156,-28.60229290126074
300,-3.3655930026770307,21.87110689590685,-28.602292901260626
400,-3.3655930026752117,21.871106895909918,-28.602292901261706
500,-3.365593002674757,21.871106895907587,-28.602292901255595
600,-3.3655930026777128,21.871106895905484,-28.602292901264747
700,-3.3655930026737337,21.8711068959081,-28.60229290125511
800,-3.365593002684534,21.871106895903438,-28.602292901272648
900,-3.3655930026679357,21.871106895920605,-28.602292901260057
1000,-3.3655930026737337,21.87110689590827,-28.60229290125534
1100,-3.3655930026803844,21.871106895901107,-28.602292901259716
1200,-3.365593002671517,21.871106895908042,-28.602292901254458
1300,-3.365593002676178,21.8711068959027,-28.602292901252923
1400,-3.3655930026708347,21.871106895919752,-28.6022929012492
1500,-3.365593002680896,21.871106895904177,-28.602292901264008
1600,-3.36559300267146,21.871106895907417,-28.602292901258494
1700,-3.3655930026724263,21.871106895919013,-28.602292901252383
1800,-3.365593002684193,21.871106895902358,-28.602292901270516
1900,-3.3655930026715737,21.871106895907587,-28.602292901258693
2000,-3.3655930026724263,21.871106895919183,-28.60229290125261
2100,-3.3655930026709484,21.871106895921912,-28.602292901251587
2200,-3.3655930026704937,21.871106895922367,-28.60229290127549
2300,-3.3655930026713463,21.87110689591117,-28.6022929012575
2400,-3.3655930026710053,21.87110689592214,-28.602292901251815
2500,-3.3655930026705505,21.871106895922537,-28.602292901275632
2600,-3.365593002674757,21.871106895909293,-28.602292901264235
2700,-3.365593002685614,21.871106895902756,-28.602292901279753
2800,-3.3655930026944247,21.871106895887294,-28.602292901265372
2900,-3.3655930026849887,21.87110689592464,-28.602292901268754
3000,-3.3655930026766328,21.8711068959214,-28.602292901274325
3100,-3.3655930026680494,21.871106895912646,-28.602292901256135
3200,-3.365593002676519,21.871106895903836,-28.602292901278815
3300,-3.365593002685614,21.871106895903154,-28.60229290128015
3400,-3.365593002694254,21.87110689588775,-28.6022929012654
3500,-3.3655930026846477,21.871106895925266,-28.602292901268555
3600,-3.3655930026763485,21.87110689592197,-28.602292901274126
3700,-3.3655930026680494,21.871106895913044,-28.60229290125656
3800,-3.365593002676462,21.871106895904234,-28.602292901279185
3900,-3.365593002683511,21.87110689590486,-28.60229290127654
4000,-3.3655930026912415,21.871106895889966,-28.60229290126017
4100,-3.36559300266822,21.871106895916796,-28.602292901230726
4200,-3.36559300267146,21.871106895897412,-28.60229290122831
4300,-3.365593002684193,21.871106895886157,-28.602292901259318
4400,-3.365593002683852,21.87110689587786,-28.60229290128038
4500,-3.365593002668504,21.8711068958861,-28.602292901249797
4600,-3.3655930026665146,21.871106895927085,-28.602292901245704
4700,-3.3655930026596366,21.87110689593021,-28.60229290123135
4800,-3.36559300267146,21.87110689589781,-28.602292901228736
4900,-3.365593002684136,21.871106895886555,-28.602292901259688
5000,-3.365593002683852,21.871106895878313,-28.602292901280805
5100,-3.3655930026682768,21.871106895886612,-28.602292901249797
5200,-3.365593002667481,21.871106895926857,-28.60229290124792
5300,-3.3655930026579313,21.87110689592197,-28.60229290131909
5400,-3.3655930026581586,21.871106895920775,-28.602292901318236
5500,-3.365593002694993,21.87110689588468,-28.60229290131562
5600,-3.36559300267362,21.871106895896617,-28.602292901273472
5700,-3.3655930027231307,21.871106895831645,-28.602292901273472
5800,-3.365593002704429,21.871106895841933,-28.60229290123644
5900,-3.365593002705566,21.87110689584,-28.60229290123732
6000,-3.365593002697949,21.871106895843525,-28.602292901221546
6100,-3.3655930026400256,21.87110689597199,-28.602292901183176
6200,-3.3655930026458236,21.87110689596733,-28.60229290119318
6300,-3.365593002619846,21.87110689596767,-28.602292901187695
6400,-3.365593002630419,21.87110689596011,-28.60229290120685
6500,-3.3655930026747,21.871106895922765,-28.602292901319885
6600,-3.3655930026581586,21.87110689592157,-28.602292901319004
6700,-3.36559300269505,21.871106895885475,-28.602292901316474
6800,-3.365593002673563,21.871106895897412,-28.602292901274268
6900,-3.3655930027231307,21.87110689583244,-28.602292901274296
7000,-3.365593002704429,21.87110689584273,-28.60229290123732
7100,-3.365593002705566,21.87110689584074,-28.602292901238144
7200,-3.3655930026980627,21.871106895844207,-28.602292901222683
7300,-3.3655930026399687,21.871106895972787,-28.602292901183944
7400,-3.3655930026459373,21.87110689596807,-28.602292901194232
7500,-3.3655930026205283,21.87110689596807,-28.602292901189685
7600,-3.365593002630419,21.87110689596085,-28.602292901207647
7700,-3.365593002676576,21.871106895922424,-28.60229290132426
7800,-3.365593002658045,21.871106895922424,-28.602292901319686
7900,-3.3655930026964143,21.87110689588542,-28.602292901319885
8000,-3.365593002679873,21.871106895894343,-28.602292901287058
8100,-3.3655930027231875,21.871106895833236,-28.602292901275064
8200,-3.365593002701985,21.87110689590088,-28.602292901307067
8300,-3.36559300265543,21.8711068959567,-28.602292901245164
8400,-3.3655930026728242,21.871106895929415,-28.602292901244084
8500,-3.365593002671801,21.87110689592896,-28.602292901240787
8600,-3.365593002684193,21.87110689592032,-28.60229290126361
8700,-3.365593002677599,21.871106895913044,-28.602292901282
8800,-3.3655930026305327,21.87110689599166,-28.60229290128109
8900,-3.3655930026306464,21.871106895990522,-28.602292901280208
9000,-3.365593002619221,21.87110689599632,-28.602292901257215
9100,-3.365593002692833,21.871106895919752,-28.60229290126449
9200,-3.365593002719095,21.871106895893433,-28.602292901342935
9300,-3.3655930027203453,21.871106895891558,-28.60229290134427
9400,-3.3655930027213685,21.871106895889795,-28.602292901345123
9500,-3.3655930026553165,21.871106895957723,-28.60229290124593
9600,-3.3655930026728242,21.871106895930154,-28.602292901244937
9700,-3.365593002671744,21.871106895929756,-28.602292901241583
9800,-3.365593002684193,21.87110689592106,-28.602292901264406
9900,-3.365593002694368,21.871106895913783,-28.602292901282794
10000,-3.3655930026305327,21.871106895992455,-28.60229290128177
10100,-3.365593002630817,21.871106895991204,-28.602292901281288
10200,-3.365593002619221,21.871106895997116,-28.602292901257982
10300,-3.365593002692833,21.871106895920605,-28.60229290126526
10400,-3.3655930027192085,21.871106895894172,-28.60229290134393
10500,-3.365593002605067,21.871106895998082,-28.602292901240986
10600,-3.365593002683056,21.87110689597222,-28.602292901376558
10700,-3.365593002578123,21.871106896012293,-28.60229290118707
10800,-3.3655930026832834,21.871106895969888,-28.602292901374568
10900,-3.365593002630817,21.871106895941807,-28.6022929011651
11000,-3.3655930026793044,21.87110689597006,-28.60229290136496
11100,-3.365593002773153,21.871106895818002,-28.6022929013225
11200,-3.3655930026683905,21.871106895965852,-28.602292901368912
11300,-3.3655930027744034,21.871106895815046,-28.602292901322556
11400,-3.365593002566186,21.87110689602588,-28.602292901170586
11500,-3.3655930027787804,21.871106895836192,-28.602292901318947
11600,-3.365593002565845,21.871106896023832,-28.602292901167658
11700,-3.3655930028109537,21.871106895814478,-28.602292901378462
11800,-3.365593002577782,21.871106896014396,-28.60229290118832
11900,-3.365593002683511,21.87110689597165,-28.602292901376984
12000,-3.3655930025704492,21.87110689601667,-28.60229290117212
12100,-3.365593002679418,21.871106895971877,-28.60229290136698
12200,-3.3655930027732097,21.87110689581982,-28.60229290132449
12300,-3.3655930026650935,21.871106895969717,-28.602292901364592
12400,-3.3655930027771888,21.871106895815274,-28.602292901329804
12500,-3.3655930025925613,21.871106896011725,-28.60229290122308
12600,-3.365593002779576,21.871106895837613,-28.60229290132233
12700,-3.365593002566186,21.871106896025594,-28.602292901170216
12800,-3.365593002778496,21.87110689583608,-28.60229290131815
12900,-3.3655930026052943,21.871106895999503,-28.60229290124309
13000,-3.3655930027301224,21.871106895814137,-28.60229290137812
13100,-3.3655930025780663,21.871106896013885,-28.60229290118866
13200,-3.3655930026832266,21.87110689597148,-28.60229290137616
13300,-3.3655930025678344,21.871106896017864,-28.60229290116669
13400,-3.365593002679418,21.871106895971593,-28.60229290136661
13500,-3.365593002773096,21.87110689581965,-28.602292901323892
13600,-3.3655930026683905,21.871106895967444,-28.60229290137056
13700,-3.3655930027744034,21.87110689581658,-28.602292901324176
13800,-3.365593002566186,21.87110689602747,-28.60229290117212
13900,-3.3655930027791783,21.871106895837556,-28.60229290132125
14000,-3.3655930025649354,21.871106896025992,-28.602292901167544
