year,mean_C_degC,max_C_degC,min_C_degC
100,-3.365595753078594,21.86119999784205,-28.592437652318324
200,-3.365596634131805,21.85048980829822,-28.58173124087139
300,-3.3655975124773363,21.83902810976315,-28.5702732790713
400,-3.3655983874537583,21.826823455392287,-28.558072317281756
500,-3.365599258413397,21.813884952746207,-28.545137460309235
600,-3.36560012470801,21.800222257026235,-28.531478360651505
700,-3.3656009856810556,21.78584556385232,-28.517105211206598
800,-3.3656018407119177,21.770765601639596,-28.502028737802846
900,-3.365602689119555,21.754993623650364,-28.48626019101252
1000,-3.36560353032138,21.738541399474457,-28.469811337954326
1100,-3.3656043636682966,21.721421206412174,-28.45269445338019
1200,-3.365605188521556,21.703645820202496,-28.43492231053156
1300,-3.3656060042944205,21.68522850547879,-28.41650817166132
1400,-3.365606810355473,21.666183005964626,-28.39746577808421
1500,-3.365607606127412,21.646523534073083,-28.377809339967996
1600,-3.3656083909832546,21.626264760488027,-28.357553525645415
1700,-3.3656091643654804,21.605421803055947,-28.336713450783293
1800,-3.365609925698152,21.584010215536296,-28.315304667051805
1900,-3.3656106743781606,21.562045976107754,-28.293343150433657
2000,-3.3656114098837975,21.53954547529412,-28.270845289470543
2100,-3.365612131651119,21.516525503796686,-28.247827872909113
2200,-3.365612839145058,21.493003239987274,-28.22430807722762
2300,-3.365613531837198,21.468996237051726,-28.200303453713275
2400,-3.3656142092086725,21.44452240994832,-28.175831915569375
2500,-3.3656148707551097,21.419600021932126,-28.150911724391904
2600,-3.3656155159871446,21.394247671020082,-28.125561476497012
2700,-3.365616144425246,21.36848427610761,-28.09980008925166
2800,-3.3656167555924412,21.342329062786973,-28.07364678671118
2900,-3.365617349016077,21.31580154912274,-28.047121085498276
3000,-3.365617924272499,21.28892153084655,-28.020242780069935
3100,-3.365618480932028,21.26170906686832,-27.993031927998175
3200,-3.3656190185949413,21.234184464156726,-27.965508835105567
3300,-3.3656195368442354,21.206368262607157,-27.93769404009248
3400,-3.3656200352925794,21.178281219691826,-27.909608299409996
3500,-3.3656205135509367,21.149944295077603,-27.881272571720558
3600,-3.365620971279668,21.12137863475266,-27.85270800219095
3700,-3.365621408137656,21.092605555514183,-27.82393590675065
3800,-3.3656218238152746,21.063646528917616,-27.79497775627476
3900,-3.3656222179836277,21.034523165284895,-27.765855160358996
4000,-3.365622590350938,21.005257197535514,-27.73658985138482
4100,-3.365622940609512,20.975870465088178,-27.707203668225958
4200,-3.3656232685530654,20.94638489733717,-27.67771853999068
4300,-3.365623573918981,20.916822497573435,-27.648156469591555
4400,-3.3656238564594787,20.887205326360515,-27.618539517313764
4500,-3.3656241159610545,20.857555485154137,-27.588889784394723
4600,-3.3656243522581804,20.827895099793352,-27.559229396654786
4700,-3.365624565156736,20.798246303900726,-27.529580487749598
4800,-3.365624754518933,20.76863122252354,-27.49996518282512
4900,-3.36562492018777,20.73907195559832,-27.47040558195664
5000,-3.365625062026595,20.709590561337848,-27.440923743580356
5100,-3.3656251799265533,20.68020903988105,-27.411541668112733
5200,-3.3656252738288117,20.65094931682978,-27.382281281633
5300,-3.365625343640943,20.62183322681625,-27.35316441938292
5400,-3.3656253893282724,20.592882497404673,-27.324212809318993
5500,-3.3656254108826147,20.56411873267416,-27.295448056283362
5600,-3.365625408196877,20.535563397307214,-27.266891625573635
5700,-3.365625381396569,20.507237800243104,-27.238564827149986
5800,-3.3656253303691983,20.479163079250725,-27.2104887994561
5900,-3.3656252552368073,20.451360184655073,-27.182684493946482
6000,-3.3656251560290116,20.42384986403067,-27.155172659181204
6100,-3.365625032777473,20.39665264672874,-27.127973825517927
6200,-3.365624885685122,20.36978882808728,-27.101108289816437
6300,-3.3656247147703766,20.34327845502463,-27.074596100083966
6400,-3.365624520225481,20.317141310559464,-27.04845704074546
6500,-3.365624302191634,20.291396899189635,-27.022710617810304
6600,-3.365624060745006,20.26606443242372,-26.997376044037225
6700,-3.3656237961714055,20.241162814231018,-26.97247222513508
6800,-3.3656235085639423,20.216710627205885,-26.948017745228924
6900,-3.3656231982583336,20.192726118373628,-26.92403085324821
7000,-3.365622865355874,20.16922718601228,-26.90052944903323
7100,-3.365622510187279,20.146231365829635,-26.877531070287773
7200,-3.3656221329908362,20.12375581817929,-26.85505287920742
7300,-3.365621734009494,20.101817315271603,-26.833111649858694
7400,-3.3656213136470683,20.080432228200323,-26.811723755676127
7500,-3.3656208721291136,20.0596165154422,-26.790905157044136
7600,-3.365620409846258,20.03938571045518,-26.770671389618883
7700,-3.365619927144735,20.019754910202494,-26.751037552667896
7800,-3.365619424291424,20.000738763987272,-26.732018297492914
7900,-3.365618901775349,19.98235146229507,-26.71362781708683
8000,-3.365618359878681,19.964606726503632,-26.695879835082962
8100,-3.365617799116478,19.947517798289255,-26.678787595742847
