year,mean_C_degC,max_C_degC,min_C_degC
100,-7.389029108138288,16.774661931164815,-31.552697817243313
200,-7.387872236019518,16.784424941349755,-31.560147075409873
300,-7.386715097519925,16.79419020684435,-31.567598061366397
400,-7.385557964383622,16.80395543431922,-31.57504902528032
500,-7.384401108363875,16.813718330438405,-31.582498217313002
600,-7.383244801145622,16.823476602428343,-31.58994388807173
700,-7.3820893142735144,16.833227958600332,-31.597384288936354
800,-7.380934919130027,16.842970108873942,-31.604817672601058
900,-7.379781886779767,16.8527007653704,-31.612242293309095
1000,-7.37863048805599,16.86241764283261,-31.619656407452993
1100,-7.377480993339702,16.872118459322223,-31.6270582738575
1200,-7.376333672569501,16.881800936648006,-31.634446154204426
1300,-7.375188795217184,16.891462800891645,-31.64181831349117
1400,-7.374046630130238,16.90110178303462,-31.649173020388304
1500,-7.372907445566284,16.910715619345524,-31.656508547691004
1600,-7.371771509024882,16.92030205210108,-31.663823172641116
1700,-7.370639087305108,16.929858829954014,-31.671115177445927
1800,-7.369510446352308,16.93938370849628,-31.678382849629628
1900,-7.3683858511896005,16.94887445089455,-31.685624482354996
2000,-7.367265565960622,16.95832882826909,-31.692838374986593
2100,-7.3661498537445596,16.967744620280882,-31.700022833368507
2200,-7.3650389765653586,16.97711961567336,-31.707176170276966
2300,-7.363933195308732,16.98645161275539,-31.714296705713963
2400,-7.362832769660827,16.995738419975567,-31.72138276750087
2500,-7.361737958053368,17.004977856331266,-31.7284326915198
2600,-7.3606490176032935,17.01416775197282,-31.7354448220604
2700,-7.359566204046075,17.0233059487079,-31.742417512410526
2800,-7.358489771667962,17.032390300450686,-31.74934912500555
2900,-7.357419973249364,17.041418673835608,-31.756238032028563
3000,-7.356357060047003,17.050388948493094,-31.763082615631163
3100,-7.355301281680738,17.059299017822127,-31.76988126836372
3200,-7.354252886112761,17.06814678933239,-31.776632393650942
3300,-7.353212119538966,17.07693018516619,-31.78333440595665
3400,-7.352179226378496,17.085647142554194,-31.78998573134399
3500,-7.3511544491848895,17.094295614417888,-31.79658480780722
3600,-7.35013802864222,17.102873569605777,-31.80313008556351
3700,-7.349130203451693,17.111378993651726,-31.80962002745443
3800,-7.348131210313511,17.119809889094995,-31.8160531094033
3900,-7.347141283819781,17.128164275980623,-31.822427820561757
4000,-7.346160656453094,17.136440192288717,-31.828742663864517
