year,mean_C_degC,max_C_degC,min_C_degC
100,72.16141589347916,101.82906026531566,42.49379801283783
200,72.1645946306466,101.8204835587469,42.50873220297274
300,72.16777410264473,101.8119048644964,42.5236698442219
400,72.17095356277997,101.80332619724186,42.53860742852993
500,72.17413226437412,101.7947495716408,42.55354144787344
600,72.17730946092354,101.7861770019075,42.568468395048455
700,72.1804844062637,101.77761050123763,42.5833847645124
800,72.18365635479614,101.76905208149475,42.59828705322707
900,72.18682456155074,101.76050375252288,42.61317176141233
1000,72.18998828254615,101.75196752191147,42.6280353935129
1100,72.19314677476751,101.74344539436117,42.642874458818255
1200,72.1962992964369,101.73493937124005,42.65768547242152
1300,72.19944510723087,101.72645145017174,42.67246495604377
1400,72.20258346833873,101.7179836245025,42.68720943873791
1500,72.20571364275958,101.70953788289694,42.70191545788293
1600,72.2088348953418,101.70111620875679,42.71657955976548
1700,72.21194649310758,101.69272057990554,42.73119830059102
1800,72.21504770530913,101.68435296805262,42.74576824724517
1900,72.21813780359736,101.67601533823517,42.760285977972785
2000,72.22121606232042,101.66770964855812,42.77474808335984
2100,72.22428175854083,101.65943784957875,42.78915116705207
2200,72.22733417229614,101.65120188392092,42.80349184653335
2300,72.2303725867385,101.64300368569133,42.81776675396031
2400,72.23339628830485,101.63484518026985,42.831972536885075
2500,72.23640456689253,101.62672828367027,42.846105859173235
2600,72.23939671602324,101.61865490203786,42.86016340167072
2700,72.24237203300498,101.61062693145186,42.87414186299128
2800,72.24532981908618,101.60264625717997,42.8880379603695
2900,72.24826937962291,101.5947147535112,42.90184843028487
3000,72.2511900242933,101.58683428311019,42.9155700295114
3100,72.25409106719218,101.57900669664411,42.92919953554065
3200,72.2569718270417,101.57123383246915,42.9427337475297
3300,72.25983162728727,101.56351751593786,42.95616948701053
3400,72.26266979631504,101.55585955920628,42.96950359867935
3500,72.26548566757089,101.54826176075608,42.98273295099045
3600,72.26827857978077,101.54072590488221,42.99585443719104
3700,72.27104787703735,101.53325376132108,43.00886497570707
3800,72.27379290900205,101.52584708495294,43.02176151105732
3900,72.27651303099304,101.51850761512861,43.03454101452854
4000,72.27920760420369,101.51123707551096,43.04720048493374
4100,72.28187599578638,101.50403717355869,43.059736949176
4200,72.28451757914519,101.49690960018631,43.07214746321773
4300,72.28713173389593,101.48985602928616,43.08442911243418
4400,72.28971784608797,101.48287811731285,43.09657901253075
4500,72.29227530838023,101.47597750295267,43.108594310136596
4600,72.29480352019385,101.46915580687846,43.12047218348175
4700,72.2973018877691,101.46241463109868,43.13220984318036
4800,72.29976982439882,101.45575555877713,43.14380453268046
4900,72.30220675047951,101.44918015379795,43.15525352895128
5000,72.30461209369116,101.44268996032014,43.1665541432576
5100,72.30698528914547,101.43628650249065,43.177703721680075
5200,72.30932577953985,101.42997128423059,43.18869964576078
5300,72.31163301519592,101.42374578869715,43.19953933324746
5400,72.31390645428394,101.41761147775452,43.21022023841317
5500,72.31614556293033,101.41156979210626,43.2207398529373
5600,72.31834981517687,101.40562215057247,43.23109570623171
5700,72.32051869351261,101.39976995003212,43.24128536640626
5800,72.32265168842747,101.39401456475923,43.25130644028758
5900,72.32474829909376,101.38835734647017,43.261156574560005
6000,72.3268080331016,101.38279962368102,43.27083345594275
6100,72.32883040667701,101.37734270159075,43.28033481171036
6200,72.33081494500891,101.37198786181932,43.28965841081356
6300,72.33276118192595,101.36673636186038,43.29880206347735
6400,72.33466866043699,101.3615894350487,43.30776362236253
6500,72.33653693258037,101.35654829020979,43.31654098290937
6600,72.33836555948375,101.35161411098596,43.32513208370841
6700,72.34015411183628,101.34678805628681,43.333534907256535
6800,72.34190216947337,101.34207125944624,43.34174748008604
6900,72.34360932201832,101.33746482828371,43.34976787364752
7000,72.34527516839665,101.33296984450959,43.35759420421243
7100,72.34689931748784,101.32858736383912,43.365224633891444
7200,72.34848138783872,101.32431841542189,43.37265737069367
7300,72.35002100785215,101.32016400179185,43.37989066892209
7400,72.35151781609005,101.31612509868125,43.38692283017184
7500,72.35297146092324,101.3122026545413,43.39375220280402
7600,72.35438160104201,101.30839759057937,43.400377182977934
7700,72.35574790528682,101.30471080049784,43.40679621487311
7800,72.35707005266352,101.30114314986031,43.41300779092035
7900,72.35834773281397,101.29769547666774,43.419010452443615
8000,72.35958064555132,101.29436859054823,43.4248027896449
8100,72.36076850145963,101.29116327287016,43.43038344234617
8200,72.36191102144056,101.2880802764206,43.43575109973301
8300,72.3630079372121,101.28512032506478,43.4409045013785
8400,72.36405899127737,101.28228411411754,43.44584243712046
8500,72.36506393670521,101.27957230957895,43.450563747175124
8600,72.3660225375234,101.27698554833819,43.45506732279887
8700,72.3669345685758,101.27452443786024,43.4593521063361
8800,72.3677998156407,101.27218955609379,43.463417091417114
8900,72.36861807562462,101.26998145140715,43.467261323592766
9000,72.36938915629378,101.26790064233899,43.470883899957585
9100,72.37011287667303,101.26594761761987,43.47428396986527
9200,72.37078906665198,101.26412283596142,43.47746073467323
9300,72.37141756745035,101.26242672573056,43.480413448357126
9400,72.37199823149797,101.2608596853434,43.4831414175124
9500,72.37253092234931,101.25942208269777,43.485644001402534
9600,72.37301551507682,101.25811425563683,43.48792061249594
9700,72.37345189576257,101.25693651118371,43.48997071600536
9800,72.37383996195848,101.25588912595958,43.49179383050745
9900,72.3741796225151,101.25497234591256,43.49338952784228
10000,72.37447079757322,101.2541863863114,43.494757433162135
10100,72.37471341891472,101.25353143176653,43.4958972254168
10200,72.3749074294729,101.2530076360639,43.496808636828064
10300,72.37505278379575,101.25261512227638,43.49749145345635
10400,72.37514944760017,101.25235398263544,43.49794551479579
10500,72.37519739807448,101.25222427817448,43.49817071411866
10600,72.37519662433243,101.25222603983622,43.49816699882359
10700,72.37514712614478,101.25235926656183,43.4979343695922
10800,72.37504891555983,101.25262392786271,43.49747288118169
10900,72.37490201524798,101.25301996070618,43.49678264190453
11000,72.37470645997809,101.25354727299566,43.49586381377003
11100,72.37446229564256,101.25420574017522,43.494716612877994
11200,72.37416957926746,101.25499520794415,43.49334130804402
11300,72.37382838010114,101.25591549073846,43.49173822299116
