year,mean_C_degC,max_C_degC,min_C_degC
100,-39.8460699920158,-8.97951637986273,-70.7125994641936
200,-39.84302786695923,-8.972822113018196,-70.71321097314402
300,-39.83998502471309,-8.96657407978887,-70.713374818821
400,-39.83694217965649,-8.960769679966972,-70.71309502912172
500,-39.833900046189655,-8.955405979711998,-70.71237596559743
600,-39.83085933854986,-8.950479715361496,-70.71122231932202
700,-39.827820770633025,-8.945987297551312,-70.70963910635012
800,-39.82478505587949,-8.941924815581217,-70.70763166320296
900,-39.82175290698902,-8.938288041934698,-70.70520564171989
1000,-39.8187250359471,-8.935072437258953,-70.70236700413895
1100,-39.81570215365397,-8.932273155224834,-70.69912201753334
1200,-39.81268496985422,-8.92988504796324,-70.69547724820353
1300,-39.809674193018935,-8.927902671600464,-70.69143955588436
1400,-39.806670530058994,-8.92632029188809,-70.68701608760026
1500,-39.803674686283756,-8.925131890352134,-70.68221427142817
1600,-39.80068736510228,-8.924331170234723,-70.67704180987914
1700,-39.79770926801052,-8.923911563085369,-70.67150667332936
1800,-39.794741094311775,-8.923866235307685,-70.6656170930332
1900,-39.791783540944635,-8.924188094810347,-70.65938155390467
2000,-39.78883730245357,-8.924869798174655,-70.65280878741893
2100,-39.78590307066921,-8.925903757740116,-70.64590776396255
2200,-39.782981534636406,-8.927282148927816,-70.63868768523187
2300,-39.78007338042377,-8.928996917808604,-70.63115797625537
2400,-39.77717929096457,-8.931039788723638,-70.62332827763476
2500,-39.77429994590409,-8.933402272274918,-70.61520843717548
2600,-39.77143602143772,-8.93607567321692,-70.60680850150067
2700,-39.76858819014754,-8.93905109862601,-70.59813870783279
2800,-39.76575712083343,-8.94231946628372,-70.5892094750655
2900,-39.76294347835861,-8.945871512968324,-70.58003139528958
3000,-39.7601479235482,-8.949697803322863,-70.57061522469871
3100,-39.75737111296385,-8.953788738195328,-70.56097187465048
3200,-39.754613698797925,-8.958134563644819,-70.55111240267601
3300,-39.75187632865686,-8.96272537982469,-70.54104800297992
3400,-39.74915964546915,-8.967551150041118,-70.53078999736317
3500,-39.746464287293776,-8.972601709724756,-70.52034982574725
3600,-39.7437908872362,-8.977866775936945,-70.50973903658178
3700,-39.74114007323115,-8.983335956305154,-70.49896927731223
3800,-39.73851246794041,-8.9889987585683,-70.48805228484821
3900,-39.73590868854191,-8.994844599956537,-70.47699987558593
4000,-39.733329346653136,-9.0008628167202,-70.46582393589125
4100,-39.73077504812048,-9.00704267350892,-70.45453641217907
4200,-39.72824639302641,-9.013373373226727,-70.44314930111528
4300,-39.725743975349786,-9.01984406627895,-70.43167463964676
4400,-39.72326838291136,-9.026443860454776,-70.4201244950711
4500,-39.7208201972642,-9.033161830481617,-70.40851095516791
4600,-39.71839999357178,-9.03998702770133,-70.39684611841534
4700,-39.716008340378494,-9.046908489854047,-70.38514208376324
4800,-39.713645799580405,-9.053915250531986,-70.37341094091721
4900,-39.71131292619896,-9.060996348864364,-70.3616647603601
5000,-39.70901026829827,-9.068140839295268,-70.34991558337254
5100,-39.70673836686868,-9.075337801056776,-70.33817541226395
5200,-39.70449775572436,-9.08257634777658,-70.32645620069107
5300,-39.70228896127648,-9.089845637115104,-70.31476984369885
5400,-39.70011250251693,-9.097134879966745,-70.30312816780241
5500,-39.69796889086652,-9.104433350149122,-70.29154292182852
5600,-39.69585862988686,-9.111730393484663,-70.2800257669229
5700,-39.6937822155885,-9.119015437489338,-70.26858826732524
5800,-39.691740135714696,-9.126277999976423,-70.25724188058618
5900,-39.68973287022425,-9.133507698789288,-70.24599794861578
6000,-39.687760890768544,-9.140694260408793,-70.23486768809951
6100,-39.68582466069495,-9.147827528847245,-70.22386218157988
6200,-39.68392463515795,-9.154897475060125,-70.21299236847474
6300,-39.682061260555884,-9.161894204672535,-70.20226903591413
6400,-39.68023497488255,-9.1688079672154,-70.19170281025424
6500,-39.67844620734331,-9.175629164382826,-70.18130414836111
6600,-39.67669537822209,-9.182348358207264,-70.1710833287296
6700,-39.67498289915241,-9.188956279491606,-70.16105044386123
6800,-39.67330917249103,-9.195443835455649,-70.1512153914957
6900,-39.67167459178859,-9.20180211801329,-70.14158786691132
7000,-39.67007954108308,-9.208022410881767,-70.13217735470454
7100,-39.668524395403466,-9.21409619770236,-70.12299312148775
7200,-39.66700952027227,-9.22001516898547,-70.11404420802009
7300,-39.66553527173721,-9.225771229249176,-70.1053394220979
7400,-39.66410199649911,-9.231356504591986,-70.09688733144927
7500,-39.66271003138408,-9.236763348527234,-70.08869625652903
7600,-39.66135970371121,-9.241984349222548,-70.08077426406558
7700,-39.660051330947255,-9.247012335723525,-70.07312916045444
7800,-39.65878522057949,-9.25184038399243,-70.06576848501825
7900,-39.65756167044324,-9.256461823164955,-70.05869950468664
8000,-39.65638096809286,-9.260870240912595,-70.05192920749582
8100,-39.65524339129789,-9.265059489410305,-70.04546429723732
8200,-39.65414920741088,-9.269023690007089,-70.0393111878829
8300,-39.65309867378582,-9.27275723907701,-70.03347599823084
8400,-39.65209203759056,-9.276254812362936,-70.02796454751319
8500,-39.6511295354716,-9.279511369427553,-70.02278235005724
8600,-39.650211393849986,-9.282522158404447,-70.01793461120442
8700,-39.64933782864878,-9.285282719876022,-70.01342622290744
8800,-39.648509045330826,-9.287788890683998,-70.00926175986424
8900,-39.64772523897446,-9.290036807942556,-70.00544547583723
9000,-39.646986593916154,-9.292022911772108,-70.00198130012026
9100,-39.64629328406872,-9.293743948921644,-69.99887283448226
9200,-39.64564547242199,-9.295196975115402,-69.99612335016306
9300,-39.64504331146085,-9.296379358091087,-69.99373578499262
9400,-39.64448694295004,-9.297288779721328,-69.99171274151033
9500,-39.643976497785246,-9.297923237940438,-69.99005648437017
9600,-39.6435120963354,-9.298281048924707,-69.98876893906973
9700,-39.64309384784761,-9.298360847975516,-69.98785168965958
9800,-39.64272185088711,-9.2981615912974,-69.98730597796228
9900,-39.642396193092594,-9.297682556720076,-69.98713270233614
10000,-39.642116951150086,-9.296923344369475,-69.98733241700981
10100,-39.641884191090895,-9.295883877487597,-69.98790533164794
10200,-39.6416979677675,-9.294564401986861,-69.98885131105874
10300,-39.641558325305226,-9.292965486845958,-69.99016987543465
10400,-39.64146529660877,-9.291088023253565,-69.99186020059989
10500,-39.64141890367668,-9.288933224277514,-69.9939211183148
10600,-39.64141915805729,-9.286502624285617,-69.99635111835372
10700,-39.64146605949273,-9.283798076794653,-69.99914834770078
10800,-39.64155959768206,-9.280821753955138,-70.00231061472735
10900,-39.641699750452545,-9.27757614413673,-70.00583538761026
11000,-39.641886485428785,-9.274064050255731,-70.00971980004249
11100,-39.64211975891041,-9.270288587804032,-70.01396064984141
11200,-39.64239951603474,-9.26625318113554,-70.01855440441216
11300,-39.64272569180039,-9.26196156280281,-70.0234972018034
11400,-39.64309820917205,-9.257417767741686,-70.028784854554
11500,-39.64351698174005,-9.25262613318398,-70.034412853346
11600,-39.643981910321486,-9.247591291522042,-70.0403763689026
11700,-39.64449288696619,-9.242318170264525,-70.04667025851845
11800,-39.64504979071111,-9.236811984180179,-70.05328906697076
11900,-39.64565249191185,-9.231078234688084,-70.06022703441411
12000,-39.646300848501625,-9.225122702383317,-70.06747809724277
12100,-39.64699470888908,-9.21895144404715,-70.07503589670674
12200,-39.64773390996709,-9.212570786859544,-70.0828937803415
12300,-39.64851827803679,-9.205987322845829,-70.09104481017019
12400,-39.64934762951239,-9.199207905134529,-70.09948176651315
12500,-39.65022176910793,-9.192239639581373,-70.10819715449944
12600,-39.65114049243502,-9.185089882021543,-70.11718321019657
12700,-39.652103582891215,-9.177766228774829,-70.12643190559336
12800,-39.653110815372855,-9.170276513872977,-70.1359349570869
12900,-39.65416195242554,-9.162628798980052,-70.14568382961951
13000,-39.65525674807736,-9.154831370217153,-70.15566974590544
13100,-39.65639494457676,-9.146892727799411,-70.16588369112984
13200,-39.65757627531164,-9.138821582324283,-70.1763164228233
13300,-39.658800462302366,-9.130626844727487,-70.18695847493723
13400,-39.66006721862155,-9.122317620630724,-70.19780016911966
13500,-39.661376246492495,-9.113903201903042,-70.20883161876816
13600,-39.662727238284475,-9.105393058630625,-70.22004273986983
13700,-39.664119877209686,-9.096796832881637,-70.2314232572603
13800,-39.66555383557008,-9.088124327953892,-70.24296271366103
13900,-39.66702877747102,-9.07938550337667,-70.25465047832023
14000,-39.66854435547168,-9.070590462995142,-70.26647575381605
14100,-39.67010021468107,-9.061749450260947,-70.2784275874111
14200,-39.671695988524476,-9.05287283581265,-70.29049487656997
14300,-39.67333130317991,-9.043971112475333,-70.30266638143621
14400,-39.675005773859226,-9.03505488347156,-70.31493073007147
14500,-39.67671900776239,-9.026134855300768,-70.3272764312891
14600,-39.67847060221234,-9.017221827954188,-70.3396918803875
14700,-39.68026014550881,-9.008326685426198,-70.3521653710745
14800,-39.68208721779911,-8.999460388310865,-70.36468510331613
14900,-39.68395138933249,-8.990633961842718,-70.37723919360693
15000,-39.68585222281956,-8.981858489503566,-70.38981568410847
15100,-39.68778927106675,-8.973145100851013,-70.40240255199873
15200,-39.68976207986691,-8.964504964710613,-70.41498772027998
15300,-39.6917701847849,-8.955949276850049,-70.4275590653443
15400,-39.69381311511776,-8.947489253830156,-70.44010442949215
15500,-39.69589038991924,-8.939136119700095,-70.45261162747528
15600,-39.69800152206878,-8.930901100158167,-70.46506845988745
15700,-39.700146014962826,-8.922795409981973,-70.47746271918535
15800,-39.70232336535841,-8.914830245282701,-70.48978220336403
15900,-39.70453306142653,-8.907016773055432,-70.50201472203545
16000,-39.70677458383281,-8.89936612134079,-70.51414810926278
16100,-39.70904740647077,-8.891889371340426,-70.52617023152592
16200,-39.71135099473398,-8.88459754516839,-70.53806899831403
16300,-39.71368480833425,-8.877501599584434,-70.54983237224693
16400,-39.71604829794981,-8.870612413010065,-70.56144837694728
16500,-39.71844090932939,-8.863940779366487,-70.57290510975929
16600,-39.720862079414786,-8.857497396099347,-70.58419074803172
16700,-39.72331124006041,-8.85129285675498,-70.59529356134382
16800,-39.72578781542347,-8.845337640606715,-70.60620191947964
16900,-39.72829122405679,-8.839642103934807,-70.61690430298691
17000,-39.730820877547444,-8.834216470939623,-70.62738931122772
17100,-39.733376181555855,-8.829070824082407,-70.63764567307243
17200,-39.73595653589413,-8.824215096732644,-70.64766225474577
17300,-39.73856133401284,-8.819659062150436,-70.65742806997369
17400,-39.741189964382016,-8.815412327160914,-70.66693228856414
17500,-39.74384180893651,-8.811484321691182,-70.6761642448493
17600,-39.74651624526962,-8.807884291427627,-70.68511344769215
17700,-39.74921264418424,-8.804621288501266,-70.69376958705993
17800,-39.751930373124196,-8.801704164830994,-70.70212254511702
17900,-39.75466879262686,-8.799141562083207,-70.71016240167043
