year,mean_C_degC,max_C_degC,min_C_degC
100,-39.84606467636476,-8.972714562617,-70.71936748691476
200,-39.84302294637587,-8.959336868478033,-70.72666318783232
300,-39.83998051409995,-8.946566588336225,-70.73335012700343
400,-39.836938093332265,-8.9344174155151,-70.73941603789618
500,-39.833896397864834,-8.922902518299622,-70.74484917892119
600,-39.830856141303656,-8.912034520411225,-70.74963835263671
700,-39.82781803689031,-8.901825481973276,-70.75377292436315
800,-39.824782797389275,-8.892286880931238,-70.7572428406153
900,-39.82175113480341,-8.883429594866584,-70.76003864666058
1000,-39.818723760400985,-8.875263883539617,-70.76215150403888
1100,-39.81570138434586,-8.867799371609749,-70.76357320713959
1200,-39.81268471562774,-8.8610450322588,-70.7642961994087
1300,-39.80967446194552,-8.855009171268307,-70.76431358901624
1400,-39.806671329421164,-8.849699411574022,-70.76361916378832
1500,-39.80367602255981,-8.845122678750386,-70.76220740563724
1600,-39.80068924395178,-8.841285186725486,-70.76007350417146
1700,-39.7977116942607,-8.838192424611009,-70.75721336989108
1800,-39.79474407194536,-8.835849143978578,-70.75362364647373
1900,-39.79178707308836,-8.834259346757051,-70.74930172231117
2000,-39.78884139136824,-8.83342627419023,-70.7442457416252
2100,-39.785907717740315,-8.833352396279054,-70.73845461446308
2200,-39.78298674036668,-8.834039402053122,-70.73192802615111
2300,-39.780079144425855,-8.835488190702335,-70.72466644575593
2400,-39.77718561195607,-8.83769886339934,-70.71667113412872
2500,-39.774306821702595,-8.840670716150669,-70.70794415067633
2600,-39.77144344895814,-8.844402233232813,-70.69848835943566
2700,-39.7685961653996,-8.848891081605473,-70.68830743461461
2800,-39.76576563892152,-8.854134106264553,-70.6774058646983
2900,-39.762952533481695,-8.860127326239478,-70.66578895627157
3000,-39.76015750900183,-8.866865931933717,-70.65346283645854
3100,-39.75738122114316,-8.874344282707284,-70.64043445474246
3200,-39.754624321201504,-8.882555905922686,-70.62671158394198
3300,-39.75188745589239,-8.891493496677356,-70.61230281986386
3400,-39.74917126725998,-8.901148918532613,-70.59721758056196
3500,-39.746476392487125,-8.91151320499631,-70.58146610435233
3600,-39.74380346381125,-8.922576562387405,-70.56505944686685
3700,-39.74115310831027,-8.934328372995196,-70.54800947730399
3800,-39.738525947801094,-8.94675719971923,-70.53032887380473
