year,mean_C_degC,max_C_degC,min_C_degC
100,-39.846046456835694,-8.965502099773857,-70.72654227584954
200,-39.84300393210677,-8.944272898220959,-70.74168632391331
300,-39.83996070428512,-8.923013828117064,-70.7568588411695
400,-39.83691748804958,-8.901728519029348,-70.77205762742659
500,-39.833874998088845,-8.880420601844321,-70.78728048117225
600,-39.83083394891773,-8.859093707931777,-70.80252520008759
700,-39.827795054697816,-8.83775146836814,-70.8177895814008
800,-39.82475902912347,-8.816397513158677,-70.83307142251624
900,-39.821726585136844,-8.795035470370067,-70.8483685212505
1000,-39.818698434953035,-8.77366896548466,-70.86367867653826
1100,-39.81567528968989,-8.75230162039901,-70.87899968872904
1200,-39.81265785929699,-8.73093705276915,-70.89432936006938
1300,-39.80964685243774,-8.709578875227749,-70.90966549522628
1400,-39.80664297620157,-8.688230694473873,-70.92500590168157
1500,-39.80364693606444,-8.666896110669256,-70.94034839024954
1600,-39.800659435587505,-8.64557871640693,-70.95569077542484
1700,-39.797681176406485,-8.624282096132674,-70.9710308759872
1800,-39.79471285794992,-8.603009825314814,-70.98636651538857
1900,-39.79175517726841,-8.581765469523987,-71.0016955221046
2000,-39.78880882900489,-8.56055258384032,-71.0170157302966
2100,-39.78587450507362,-8.53937471199356,-71.03232498010524
2200,-39.78295289458978,-8.518235385563003,-71.04762111817217
2300,-39.78004468367831,-8.497138123250977,-71.06290199795507
2400,-39.77715055531439,-8.476086430041562,-71.07816548043195
2500,-39.77427118917058,-8.455083796570534,-71.09340943434967
2600,-39.77140726145649,-8.434133698244239,-71.10863173661087
2700,-39.76855944475335,-8.413239594487834,-71.12383027297557
2800,-39.765728407845444,-8.392404928067151,-71.1390029381921
2900,-39.76291481556677,-8.37163312419267,-71.15414763671362
3000,-39.760119328699346,-8.350927590066533,-71.16926228292294
3100,-39.75734260374642,-8.330291713784163,-71.18434480162935
3200,-39.7545852928296,-8.309728863795783,-71.1993931286257
3300,-39.751848043468584,-8.28924238813164,-71.2144052108419
3400,-39.74913149849115,-8.26883561371693,-71.2293790070133
3500,-39.74643629584179,-8.248511845495727,-71.24431248805217
3600,-39.74376306849919,-8.228274366028643,-71.25920363736867
3700,-39.741112444255464,-8.208126434416727,-71.27405045133534
3800,-39.738485045617125,-8.188071285793399,-71.28885093982427
3900,-39.735881489592686,-8.168112130580653,-71.30360312634141
4000,-39.73330238761699,-8.148252153841895,-71.31830504869305
4100,-39.73074834533938,-8.128494514444924,-71.33295475927528
4200,-39.72821996263505,-8.10884234466522,-71.34755032553701
4300,-39.72571783326123,-8.089298749147645,-71.36208983028479
4400,-39.72324254480199,-8.069866804487958,-71.37657137205298
4500,-39.72079467856372,-8.050549558473449,-71.39099306555607
4600,-39.718374809450864,-8.031350029441967,-71.40535304222192
4700,-39.715983505735124,-8.012271205749016,-71.4196494502778
4800,-39.71362132903141,-7.993316044918686,-71.43388045534326
4900,-39.711288834063026,-7.974487473035708,-71.44804424072953
5000,-39.708986568587505,-7.955788384275365,-71.46213900772503
5100,-39.70671507327711,-7.937221640151847,-71.47616297604188
5200,-39.70447488161892,-7.9187900689397,-71.49011438433035
5300,-39.70226651968221,-7.900496465191452,-71.50399149033217
5400,-39.700090506111536,-7.882343588858305,-71.51779257103581
5500,-39.69794735196817,-7.864334164976185,-71.53151592353768
5600,-39.69583756044071,-7.846470882817073,-71.54515986497026
5700,-39.69376162716631,-7.828756395732853,-71.55872273312983
5800,-39.691720039493134,-7.811193319981555,-71.57220288645067
5900,-39.689713276988215,-7.793784234818077,-71.58559870473132
6000,-39.68774181089498,-7.776531681519316,-71.59890858909836
6100,-39.68580610414827,-7.759438162841775,-71.61213096254542
6200,-39.683906611485185,-7.742506143109665,-71.62526427028405
6300,-39.68204377887139,-7.725738046705999,-71.63830697978116
6400,-39.68021804386956,-7.70913625825915,-71.65125758135883
6500,-39.67842983524301,-7.6927031219630635,-71.6641145884031
6600,-39.676679572821854,-7.6764409409594805,-71.6768765372544
6700,-39.67496766779303,-7.66035197714433,-71.68954198826191
6800,-39.673294522046945,-7.644438450323889,-71.70210952545756
6900,-39.671660528677904,-7.628702538212167,-71.71457775717789
7000,-39.67006607124597,-7.613146375365318,-71.72694531597122
7100,-39.66851152431232,-7.5977720533891215,-71.73921085926204
7200,-39.66699725292054,-7.58258162007661,-71.75137306924947
7300,-39.665523612634644,-7.5675770789804915,-71.76343065337733
7400,-39.664090949679576,-7.552760389624041,-71.77538234462438
7500,-39.66269960038815,-7.538133466102863,-71.7872269014679
7600,-39.66134989159619,-7.5236981773949765,-71.79896310841463
7700,-39.66004214027953,-7.509456346806246,-71.81058977615646
7800,-39.6587766534268,-7.495409751462205,-71.82210574135186
7900,-39.657553728387825,-7.4815601222579176,-71.83350986767144
8000,-39.65637365221849,-7.467909143120551,-71.84480104534796
8100,-39.6552367022,-7.454458451128858,-71.85597819170704
8200,-39.654143145183724,-7.441209635535699,-71.86704025120713
8300,-39.65309323803322,-7.42816423827793,-71.87798619545805
8400,-39.652087227431,-7.415323753167229,-71.88881502398928
8500,-39.6511253495288,-7.402689625441383,-71.89952576377013
8600,-39.650207830260115,-7.390263251905196,-71.91011746977591
8700,-39.649334885060426,-7.378045980420154,-71.92058922496204
8800,-39.64850671890636,-7.366039109602582,-71.93094014050465
8900,-39.64772352640355,-7.354243889001964,-71.94116935599101
9000,-39.64698549140621,-7.342661518214527,-71.95127603945534
9100,-39.646292787362114,-7.331293147212364,-71.96125938766724
9200,-39.6456455767825,-7.320139875623113,-71.97111862615301
9300,-39.64504401168878,-7.309202753013267,-71.98085300908576
9400,-39.64448823338907,-7.298482778499931,-71.99046181994012
9500,-39.64397837231945,-7.287980900452283,-71.99994437108273
9600,-39.64351454841233,-7.27769801675214,-72.0093000044856
9700,-39.6430968704656,-7.2676349739718376,-72.01852809105648
9800,-39.642725436610135,-7.257792567799527,-72.02762803127666
9900,-39.64240033405747,-7.248171542656507,-72.03659925504564
10000,-39.642121639061855,-7.238772591536531,-72.04544122184024
10100,-39.641889417253566,-7.229596356327647,-72.05415342082574
10200,-39.641703723071686,-7.220643427064488,-72.0627353708056
10300,-39.64156460025097,-7.211914342404327,-72.07118662043354
10400,-39.64147208129634,-7.203409589046487,-72.07950674814819
10500,-39.641426187814915,-7.1951296020261,-72.0876953618475
10600,-39.64142693101107,-7.187074765038233,-72.09575210017067
10700,-39.64147431023545,-7.179245409402483,-72.10367663039293
10800,-39.64156831485843,-7.171641815026817,-72.11146865133651
10900,-39.64170892234162,-7.16426420970339,-72.11912788986328
11000,-39.641896099987775,-7.157112769433411,-72.1266541048006
11100,-39.642129803780364,-7.150187618797702,-72.13404708305345
11200,-39.642409978508596,-7.14348882963418,-72.14130664269652
11300,-39.642736558916994,-7.137016423466491,-72.14843263109358
11400,-39.64310946762052,-7.130770368466358,-72.15542492568221
11500,-39.64352861800285,-7.12475058304841,-72.16228343434344
11600,-39.64399391053374,-7.118956932078163,-72.16900809345069
11700,-39.64450523708422,-7.113389230962866,-72.17559887083013
11800,-39.64506247636629,-7.108047241722488,-72.18205576217144
11900,-39.645665498562806,-7.102930676998426,-72.18837879485017
12000,-39.64631416134975,-7.098039197072865,-72.19456802385602
