year,mean_C_degC,max_C_degC,min_C_degC
100,44.79922248803831,49.4723353122111,40.12610966386541
200,44.79922248803831,49.472335312211044,40.12610966386541
300,44.799222488038254,49.47233531221133,40.12610966386535
400,44.79922248803831,49.47233531221116,40.12610966386541
500,44.79922248803831,49.4723353122111,40.12610966386552
600,44.79922248803831,49.472335312210646,40.126109663865634
700,44.7992224880382,49.47233531221093,40.12610966386535
800,44.79922248803774,49.47233531221116,40.12610966386512
900,44.79922248803905,49.4723353122115,40.12610966386552
1000,44.799222488038254,49.47233531221099,40.126109663865236
1100,44.799222488037856,49.47233531221201,40.12610966386495
1200,44.79922248803871,49.472335312211555,40.126109663864725
1300,44.79922248803808,49.47233531221184,40.12610966386444
1400,44.79922248803848,49.47233531221133,40.126109663864895
1500,44.79922248803774,49.47233531221087,40.12610966386535
1600,44.79922248803854,49.4723353122119,40.12610966386586
1700,44.799222488038424,49.47233531221144,40.12610966386484
1800,44.79922248803774,49.47233531221093,40.12610966386529
1900,44.79922248803854,49.47233531221201,40.12610966386575
2000,44.799222488038424,49.4723353122115,40.126109663864725
2100,44.7992224880382,49.472335312209566,40.12610966386666
2200,44.799222488038936,49.47233531221059,40.12610966386569
2300,44.79922248803871,49.47233531221008,40.126109663866146
2400,44.7992224880382,49.47233531220968,40.1261096638666
2500,44.79922248803899,49.472335312210646,40.126109663865634
2600,44.79922248803865,49.47233531221019,40.12610966386603
2700,44.79922248803774,49.47233531221275,40.12610966386501
2800,44.799222488036776,49.472335312212294,40.12610966386546
2900,44.79922248803774,49.47233531221178,40.126109663865975
3000,44.79922248803888,49.47233531221133,40.126109663863474
3100,44.79922248803916,49.47233531221087,40.12610966386393
3200,44.79922248803774,49.47233531221036,40.12610966386438
3300,44.79922248803774,49.47233531221286,40.12610966386484
3400,44.79922248803683,49.47233531221241,40.12610966386535
3500,44.7992224880378,49.47233531221195,40.126109663865805
3600,44.79922248803888,49.4723353122115,40.1261096638633
3700,44.79922248803916,49.47233531221099,40.12610966386376
3800,44.79922248803774,49.47233531221053,40.12610966386421
3900,44.79922248803774,49.47233531221303,40.126109663864725
4000,44.79922248803683,49.47233531221258,40.12610966386518
4100,44.79922248803808,49.47233531221508,40.12610966386262
4200,44.799222488038026,49.472335312214625,40.12610966386313
4300,44.79922248803706,49.47233531221417,40.12610966386359
4400,44.799222488038936,49.472335312213715,40.12610966386103
4500,44.79922248803888,49.47233531221326,40.12610966386154
4600,44.79922248803916,49.47233531221576,40.126109663861996
4700,44.799222488039106,49.47233531221531,40.12610966386245
4800,44.79922248803797,49.47233531221485,40.126109663862906
4900,44.79922248803706,49.47233531221434,40.12610966386342
5000,44.79922248803888,49.472335312213886,40.12610966386086
5100,44.79922248803888,49.47233531221343,40.12610966386137
5200,44.79922248803916,49.472335312215876,40.126109663861826
5300,44.799222488042744,49.472335312212465,40.12610966386228
5400,44.799222488042744,49.47233531221201,40.12610966386279
5500,44.79922248804104,49.472335312211555,40.12610966386325
5600,44.79922248804098,49.47233531221099,40.1261096638637
5700,44.79922248803592,49.47233531221053,40.12610966386421
5800,44.79922248803604,49.47233531221008,40.12610966386467
5900,44.799222488035014,49.47233531220962,40.12610966386512
6000,44.799222488035014,49.47233531220911,40.12610966386558
6100,44.7992224880374,49.472335312214625,40.12610966386609
6200,44.7992224880374,49.47233531221417,40.12610966386654
6300,44.799222488040016,49.47233531221377,40.126109663867
6400,44.799222488040016,49.47233531221326,40.12610966386751
6500,44.7992224880399,49.472335312212806,40.126109663861996
6600,44.799222488042744,49.472335312212294,40.12610966386245
6700,44.799222488040016,49.47233531221184,40.126109663862906
6800,44.79922248804104,49.472335312211385,40.12610966386342
6900,44.79922248803598,49.47233531221093,40.126109663863815
7000,44.79922248803598,49.47233531221042,40.12610966386433
7100,44.799222488035014,49.472335312209964,40.12610966386478
7200,44.799222488035014,49.47233531220951,40.12610966386529
7300,44.799222488037344,49.47233531221502,40.12610966386575
7400,44.79922248803729,49.47233531221457,40.12610966386626
7500,44.799222488040016,49.47233531221406,40.126109663866714
7600,44.799222488040016,49.4723353122136,40.12610966386717
7700,44.7992224880399,49.47233531221309,40.1261096638616
7800,44.799222488042744,49.47233531221269,40.12610966386211
7900,44.79922248804007,49.47233531221218,40.12610966386262
8000,44.79922248804104,49.47233531221167,40.126109663863076
8100,44.79922248803592,49.472335312211214,40.12610966386353
8200,44.7992224880382,49.47233531220479,40.12610966387001
8300,44.799222488037685,49.472335312210305,40.126109663870466
8400,44.79922248803547,49.47233531220979,40.12610966387092
8500,44.799222488035525,49.472335312209395,40.126109663871375
8600,44.799222488035525,49.472335312208884,40.12610966387189
8700,44.799222488037856,49.47233531220843,40.126109663866316
8800,44.799222488042346,49.47233531220792,40.12610966386683
8900,44.7992224880424,49.47233531220746,40.12610966386728
9000,44.7992224880424,49.47233531220701,40.126109663867794
9100,44.79922248803683,49.47233531220655,40.12610966386825
9200,44.79922248803814,49.47233531220604,40.126109663868704
9300,44.7992224880382,49.47233531220559,40.12610966386916
9400,44.79922248803814,49.472335312205075,40.12610966386967
9500,44.79922248803865,49.472335312210646,40.126109663870125
9600,44.799222488035525,49.47233531221019,40.12610966387058
9700,44.79922248803547,49.47233531220968,40.126109663871034
9800,44.79922248803547,49.47233531220917,40.12610966387149
9900,44.799222488035014,49.47233531220871,40.12610966386603
10000,44.7992224880424,49.47233531220826,40.12610966386649
10100,44.7992224880424,49.47233531220786,40.126109663867
10200,44.7992224880424,49.47233531220735,40.12610966386745
10300,44.79922248803683,49.472335312206894,40.12610966386785
10400,44.7992224880382,49.47233531220638,40.12610966386836
10500,44.79922248804513,49.472335312205985,40.12610966386285
