year;mean_C_degC;max_C_degC;min_C_degC
100;-9.920293594477982;-7.03446140743506;-12.806315830816459
200;-9.921883415625814;-7.025481695064968;-12.818485069229894
300;-9.923473698905752;-7.018664208103132;-12.828492853498346
400;-9.925064070560268;-7.014014755863684;-12.836332619540315
500;-9.926654156762993;-7.011537529463169;-12.841999421454943
600;-9.928243583706546;-7.011235098647205;-12.845489934876525
700;-9.929831977690696;-7.013108409828305;-12.846802459118521
800;-9.931418965211265;-7.017156785334237;-12.845936918106304
900;-9.933004173044594;-7.02337792386885;-12.842894860097772
1000;-9.934587228342934;-7.031767902183219;-12.837679456192063
1100;-9.936167758714987;-7.042321177959195;-12.830295497629152
1200;-9.937745392315549;-7.05503059389531;-12.820749391880724
1300;-9.939319757937767;-7.069887383004527;-12.809049157537345
1400;-9.940890485095736;-7.086881175104168;-12.795204417994228
1500;-9.942457204114646;-7.1060000045055745;-12.779226393943361
1600;-9.944019546217078;-7.126240653247237;-12.761913936622875
1700;-9.945577143610137;-7.108329392823805;-12.782947360296134
1800;-9.947129629574704;-7.092530770595658;-12.801857829282028
1900;-9.948676638548875;-7.078857278553869;-12.818632115347896
2000;-9.950217806216472;-7.0673198200128695;-12.833258581507494
2100;-9.951752769595316;-7.057927701434608;-12.845727190370212
2200;-9.953281167118178;-7.050688625442092;-12.856029511299937
2300;-9.954802638723038;-7.045608685030572;-12.864158726380424
2400;-9.956316825937392;-7.042692358982777;-12.870109635176448
2500;-9.957823371959591;-7.041942508487068;-12.873878658288334
2600;-9.959321921750814;-7.043360374959775;-12.875463839700728
2700;-9.960812122113964;-7.046945579078397;-12.874864847922993
2800;-9.962293621776723;-7.052696121021825;-12.87208297592025
2900;-9.96376607147954;-7.060608381921611;-12.86712113983208
3000;-9.965229124054076;-7.070677126510077;-12.859983876490901
3100;-9.966682434513643;-7.082895506991804;-12.850677339722836
3200;-9.96812566012261;-7.097255068093659;-12.839209295460591
3300;-9.969558460487406;-7.113745753336161;-12.825589115645585
3400;-9.970980497635935;-7.13235591247178;-12.809827770944082
3500;-9.97239143609778;-7.153072310143045;-12.791937822264856
3600;-9.973790942980315;-7.140501087755922;-12.807108685086348
3700;-9.97517868805545;-7.1241846787741565;-12.826205005170436
3800;-9.976554343833811;-7.109983831428224;-12.843161560177407
3900;-9.977917585638295;-7.097909760578432;-12.857966482630388
4000;-9.979268091690528;-7.087972088695153;-12.870609503247579
4100;-9.980605543184254;-7.080178838665063;-12.881081958303355
4200;-9.981929624357974;-7.074536427761757;-12.889376795802264
4300;-9.983240022573682;-7.071049662841119;-12.895488580447136
4400;-9.98453642839155;-7.069721736709994;-12.89941349740792
4500;-9.985818535645137;-7.070554225719206;-12.901149354891118
