year,mean_C_degC,max_C_degC,min_C_degC
100,-9.920286122849177,-7.002139869647181,-12.838474128315283
200,-9.9218730530132,-6.960342384289959,-12.883459511670083
300,-9.923460448554977,-6.920418424791421,-12.926572508395395
400,-9.925047940357388,-6.882447805032484,-12.967732553854376
500,-9.926635159245222,-6.846509473147364,-13.006859948642898
600,-9.928221736065495,-6.812681408267906,-13.043875962019854
700,-9.92980730177095,-6.781040517255406,-13.078702935351373
800,-9.931391487502708,-6.75166253154174,-13.11126438544568
900,-9.932973924667976,-6.72462190420282,-13.141485107656138
1000,-9.934554245030597,-6.6999917073889605,-13.16929127862727
1100,-9.936132080784262,-6.677843530237908,-13.194610558561294
1200,-9.937707064637664,-6.658247377388591,-13.217372192878486
1300,-9.939278829899365,-6.641271568233321,-13.237507113147842
1400,-9.940847010555501,-6.62698263701634,-13.254948037162876
1500,-9.94241124135334,-6.61544523391774,-13.269629568038567
1600,-9.943971157882402,-6.605521402544696,-13.282447139651026
1700,-9.945526396654543,-6.5503132555334105,-13.340776644755579
1800,-9.947076595189458,-6.49709565281961,-13.397105677194304
1900,-9.94862139208982,-6.445959110260105,-13.45134298875604
2000,-9.950160427126491,-6.3969932812354955,-13.503398195763907
2100,-9.951693341320208,-6.350286845370761,-13.553181890521614
2200,-9.953219777016841,-6.305927397183268,-13.600605752830688
2300,-9.954739377972999,-6.264001334792795,-13.645582661452067
2400,-9.956251789434248,-6.224593748823395,-13.688026805376296
2500,-9.95775665821128,-6.187788311623251,-13.727853794772557
2600,-9.959253632768252,-6.153667166929154,-13.764980771490173
2700,-9.960742363295026,-6.122310820115672,-13.799326518981786
2800,-9.962222501785504,-6.093798029151003,-13.830811571516506
2900,-9.963693702122384,-6.068205696398763,-13.859358322546257
3000,-9.965155620148892,-6.045608761376911,-13.884891132110965
3100,-9.966607913757855,-6.026080094646147,-13.907336433125636
3200,-9.968050242953154,-6.009690392897255,-13.926622836452907
3300,-9.969482269938567,-5.996508075434292,-13.94268123459824
3400,-9.970903659193368,-5.986599182113082,-13.955444903923933
3500,-9.972314077548617,-5.980027272943801,-13.964849605229404
3600,-9.97371319425821,-5.92628318796983,-14.02110953612447
3700,-9.975100681084598,-5.866753743070717,-14.083420920161927
3800,-9.97647621236871,-5.80978835657254,-14.143144469353842
3900,-9.977839465097134,-5.755483766334294,-14.200182794363855
4000,-9.979190118991312,-5.703935289638821,-14.254439931677894
4100,-9.980527856574668,-5.655236704231129,-14.305821462733718
4200,-9.98185236324258,-5.609480129841131,-14.354234632536304
4300,-9.983163327340037,-5.566755910405391,-14.39958846760112
4400,-9.98446044023359,-5.5271524970486325,-14.441793893102272
4500,-9.985743396385999,-5.490756332030969,-14.480763849092227
4600,-9.98701189342006,-5.457651733752243,-14.51641340563799
4700,-9.988265632195521,-5.4279207829680445,-14.54865987675521
4800,-9.989504316876207,-5.401643210349164,-14.577422932994864
4900,-9.99072765500074,-5.378896285523126,-14.602624712542593
5000,-9.991935357556201,-5.359754707727575,-14.624189930717364
5100,-9.993127139040723,-5.344290498224211,-14.642045987696463
5200,-9.994302717531639,-5.332572894567988,-14.65612307438596
5300,-9.99546181475165,-5.324668246928525,-14.666354276262382
5400,-9.996604156144485,-5.320639916510913,-14.672675675041546
5500,-9.997729470924469,-5.272865165101109,-14.722365388527521
5600,-9.998837492162806,-5.207075557992368,-14.790374418405122
5700,-9.999927956832664,-5.144358632968988,-14.855275912614786
5800,-10.001000605875163,-5.084817360847126,-14.91696638181378
5900,-10.002055184277992,-5.028552820581808,-14.975344236340618
6000,-10.003091441116908,-4.975664073980852,-15.03030991159369
6100,-10.004109129635424,-4.926248041365682,-15.081765992499072
6200,-10.005108007284548,-4.880399378421828,-15.129617336779518
6300,-10.006087835807591,-4.838210354328908,-15.173771196943449
6400,-10.007048381277173,-4.799770731353476,-15.21413734080869
6500,-10.00798941415843,-4.765167645997792,-15.250628170469213
6600,-10.008910709390932,-4.734485491884527,-15.283158839527232
6700,-10.009812046398395,-4.70780580450014,-15.311647368454317
6800,-10.010693209179806,-4.6852071479387405,-15.33601475796911
6900,-10.011553986356432,-4.66676500377838,-15.356185100259438
7000,-10.012394171212861,-4.652551662257338,-15.372085687936078
7100,-10.013213561766577,-4.642636115807363,-15.383647120576427
7200,-10.014011960802748,-4.637083955176195,-15.390803408725787
7300,-10.014789175947783,-4.635957268186814,-15.393492075236793
7400,-10.01554501968161,-4.597682204959028,-15.432891376282612
7500,-10.01627930943431,-4.525772271059338,-15.506272729845989
7600,-10.016991867590036,-4.457462712510619,-15.576010750851935
7700,-10.017682521555287,-4.392861812258332,-15.641996813602077
7800,-10.018351103820919,-4.332075471636699,-15.70412468366061
7900,-10.018997451960843,-4.275207079991333,-15.762290648279532
8000,-10.019621408707394,-4.222357385944633,-15.816393645244773
8100,-10.020222821999369,-4.173624370222228,-15.866335390123709
8200,-10.02080154499987,-4.129103120330967,-15.91202050165208
8300,-10.021357436153949,-4.088885707187217,-15.953356625205913
8400,-10.021890359209237,-4.053061063846201,-15.990254554120554
