year;mean_C_degC;max_C_degC;min_C_degC
100;-13.664086920722582;-10.883188323673664;-16.444833311217735
200;-13.665608157047416;-10.853714361080733;-16.47734919732028
300;-13.667129745170087;-10.824125366277372;-16.509980826482433
400;-13.668651327747966;-10.794422206582169;-16.54272661671979
500;-13.670172547440245;-10.764605753242677;-16.575584982120745
600;-13.671693046990754;-10.73467688146917;-16.608554332981043
700;-13.673212469312887;-10.704636470466482;-16.641633075939012
800;-13.67473045757339;-10.67448540346902;-16.67481961410971
900;-13.676246655273701;-10.644224567772085;-16.7081123472193
1000;-13.677760706340166;-10.613854854766203;-16.741509671741426
1100;-13.67927225519901;-10.583377159967824;-16.775009981028006
1200;-13.680780946865013;-10.55279238305775;-16.80861166544537
1300;-13.682286427026668;-10.522101427907785;-16.84231311250676
1400;-13.683788342123137;-10.491305202619685;-16.87611270700546
1500;-13.68528633943373;-10.460404619554424;-16.910008831148957
1600;-13.686780067154984;-10.429400595366417;-16.94399986469
1700;-13.688269174489335;-10.398294051039954;-16.978084185060368
1800;-13.689753311722711;-10.36708591191649;-17.01226016749814
1900;-13.691232130306844;-10.335777107730223;-17.04652618518577
2000;-13.692705282945838;-10.304368572644364;-17.080880609377402
2100;-13.694172423672114;-10.272861245278534;-17.115321809525085
2200;-13.695633207929802;-10.241256068740142;-17.14984815342092
2300;-13.697087292658239;-10.20955399066662;-17.184458007310724
2400;-13.698534336367914;-10.177755963246511;-17.219149736035405
2500;-13.699973999222436;-10.145862943256304;-17.25392170315476
2600;-13.701405943121813;-10.11387589209528;-17.28877227107185
2700;-13.70282983177674;-10.081795775808189;-17.32369980116823
2800;-13.704245330789206;-10.04962356513056;-17.35870265392137
2900;-13.705652107731055;-10.017360235504214;-17.393779189038554
3000;-13.707049832224982;-9.985006767118023;-17.428927765580255
3100;-13.708438176019058;-9.952564144935707;-17.464146742076167
3200;-13.709816813064663;-9.920033358726073;-17.499434476663566
3300;-13.711185419589299;-9.887415403090586;-17.534789327201025
3400;-13.712543674180552;-9.854711277502474;-17.57020965139344
3500;-13.713891257853163;-9.8219219863214;-17.60569380691379
3600;-13.715227854131399;-9.789048538831992;-17.64124015152663
3700;-13.716553149119534;-9.756091949269603;-17.67684704319842
3800;-13.71786683157569;-9.723053236848273;-17.712512840232137
3900;-13.719168592982044;-9.689933425786023;-17.74823590137578
4000;-13.720458127624681;-9.656733545341751;-17.784014585942742
4100;-13.721735132656875;-9.623454629823868;-17.819847253931556
4200;-13.722999308179965;-9.59009771863748;-17.85573226613161
4300;-13.724250357304754;-9.556663856291152;-17.8916679842539
4400;-13.725487986222277;-9.523154092432947;-17.927652771037828
4500;-13.72671190428224;-9.489569481871854;-17.963684990356626
4600;-13.727921824048394;-9.45591108459945;-17.999763007345848
4700;-13.72911746137487;-9.42217996582383;-18.03588518850441
4800;-13.730298535469558;-9.388377195976204;-18.07204990180793
4900;-13.731464768959142;-9.354503850743924;-18.108255516818417
5000;-13.732615887953841;-9.320561011089353;-18.144500404795906
5100;-13.733751622120792;-9.286549763270614;-18.180782938794863
5200;-13.734871704733337;-9.252471198858927;-18.21710149378805
5300;-13.735975872740141;-9.218326414772775;-18.253454446760685
5400;-13.737063866836706;-9.184116513267611;-18.289840176818302
5500;-13.738135431508624;-9.149842601983039;-18.326257065290235
5600;-13.739190315098199;-9.115505793945658;-18.362703495832307
5700;-13.740228269875672;-9.081107207588673;-18.39917785452846
5800;-13.74124905206969;-9.046647966767466;-18.43567852999115
5900;-13.742252421958426;-9.012129200775291;-18.472203913460845
6000;-13.743238143901067;-8.977552044356855;-18.508752398904363
6100;-13.744205986401937;-8.942917637715993;-18.54532238311191
6200;-13.745155722170637;-8.908227126552958;-18.581912265793505
6300;-13.746087128158933;-8.873481662039126;-18.618520449673696
6400;-13.746999985634432;-8.838682400852576;-18.655145340585534
6500;-13.747894080212347;-8.803830505181963;-18.691785347569606
6600;-13.748769201913603;-8.768927142735777;-18.728438882940196
6700;-13.749625145227412;-8.73397348675013;-18.76510436241378
6800;-13.750461709128047;-8.698970715996722;-18.801780205172946
6900;-13.75127869716124;-8.66392001478863;-18.8384648339607
7000;-13.752075917447883;-8.628822572985882;-18.875156675167517
7100;-13.752853182769343;-8.593679585999894;-18.91185415891684
7200;-13.753610310585032;-8.558492254796874;-18.94855571914991
7300;-13.754347123084187;-8.523261785893567;-18.985259793708707
7400;-13.755063447233795;-8.48798939138544;-19.02196482441846
7500;-13.755759114801606;-8.45267628890673;-19.05866925716819
7600;-13.75643396241827;-8.417323701656755;-19.095371541990716
7700;-13.757087831594959;-8.381932858391394;-19.13207013314789
7800;-13.757720568768889;-8.34650499342024;-19.168763489180378
7900;-13.758332025353695;-8.311041346602622;-19.20545007302482
8000;-13.758922057740108;-8.275543163342775;-19.242128352061314
8100;-13.759490527372009;-8.24001169458353;-19.278796798193895
8200;-13.760037300730744;-8.204448196806482;-19.31545388791551
8300;-13.760562249420161;-8.168853931987428;-19.352098102407865
8400;-13.761065250156491;-8.13323016765878;-19.388727927568453
8500;-13.761546184807344;-8.097578176826971;-19.425341854107728
8600;-13.762004940429279;-8.0618992379965;-19.461938377609187
8700;-13.76244140928253;-8.026194635149807;-19.498515998603068
8800;-13.762855488863863;-7.990465657732557;-19.535073222601795
8900;-13.763247081936868;-7.954713600638854;-19.571608560207494
9000;-13.763616096531507;-7.918939764193738;-19.60812052714533
9100;-13.7639624459934;-7.8831454541358426;-19.644607644331785
9200;-13.764286048968131;-7.847331981598018;-19.68106843793467
9300;-13.76458682946918;-7.811500663086576;-19.717501439431686
9400;-13.764864716857915;-7.775652820460095;-19.75390518566789
9500;-13.765119645873256;-7.739789780898207;-19.790278218911965
9600;-13.765351556651524;-7.703912876908703;-19.82661908691091
9700;-13.765560394721035;-7.668023446255347;-19.862926342944036
9800;-13.76574611104121;-7.632122831961738;-19.899198545875123
9900;-13.76590866199848;-7.596212382275837;-19.935434260211792
10000;-13.766048009407598;-7.560293450640131;-19.971632056123582
10100;-13.766164120564042;-7.524367395661045;-20.007790509538466
10200;-13.766256968190362;-7.488435581076544;-20.04390820215849
10300;-13.766326530489664;-7.452499375722937;-20.07998372151411
