year;mean_C_degC;max_C_degC;min_C_degC
100;-13.66396217212963;-10.8708793297792;-16.457084977361546
200;-13.665481091000913;-10.83087316522301;-16.500142415715402
300;-13.667000455305185;-10.792660232560081;-16.541407712581076
400;-13.668519911744738;-10.756316925076533;-16.58080375609177
500;-13.67003910696593;-10.72191880741508;-16.61825426253222
600;-13.671557687636607;-10.689540516744728;-16.6536838753359
700;-13.673075300526307;-10.659255663918486;-16.687018264096082
800;-13.674591592583795;-10.631136734735378;-16.718184223472065
900;-13.676106211013348;-10.605254991425284;-16.74710977187351
1000;-13.677618803360417;-10.5816803744749;-16.773724249802967
1100;-13.679129017581829;-10.560481404916004;-16.797958417739835
1200;-13.680636502127186;-10.541725087188865;-16.8197445534434
1300;-13.68214090602055;-10.525476812711645;-16.83901654855839
1400;-13.683641878934282;-10.511800264261069;-16.855710004401374
1500;-13.685139071269361;-10.500757321295282;-16.869762326810985
1600;-13.68663213423298;-10.491258796981128;-16.88203057392576
1700;-13.68812071991482;-10.438416713413119;-16.93786024309719
1800;-13.689604481369656;-10.387479865101398;-16.991775174145744
1900;-13.691083072688514;-10.338534888651566;-17.043688029497673
2000;-13.692556149080758;-10.291667595156525;-17.093512299062354
2100;-13.694023366951967;-10.246962863686008;-17.141162406901856
2200;-13.695484383975838;-10.204504534706587;-17.1865538179691
2300;-13.696938859176669;-10.164375303561428;-17.229603144792407
2400;-13.698386453003934;-10.126656614133594;-17.27022825397708
2500;-13.699826827404706;-10.091428552813397;-17.308348372399195
2600;-13.701259645909317;-10.058769742891968;-17.343884192971757
2700;-13.70268457369923;-10.028757239513311;-17.37675797985662
2800;-13.704101277682923;-10.00146642530433;-17.406893672997
2900;-13.705509426576896;-9.976970906812824;-17.43421699183972
3000;-13.706908690973648;-9.955342411863342;-17.458655538137407
3100;-13.708298743428088;-9.936650687992483;-17.480138897680007
3200;-13.709679258514939;-9.92096340203284;-17.49859874086465
3300;-13.7110499129152;-9.90834604103253;-17.513968921946628
3400;-13.712410385487715;-9.898861814567965;-17.52618557687265
3500;-13.71376035734204;-9.892571558648854;-17.53518721955072
3600;-13.715099511906885;-9.841130791602268;-17.589036010550302
3700;-13.716427535012201;-9.784152608627437;-17.648676906700473
3800;-13.717744114955508;-9.729628595836346;-17.705840875212687
3900;-13.719048942566985;-9.677651345179754;-17.760434700579424
4000;-13.720341711294225;-9.628312088914072;-17.81236653200861
4100;-13.721622117266918;-9.581700585738133;-17.861545997447706
4200;-13.722889859363306;-9.53790500739342;-17.90788431711593
4300;-13.724144639285157;-9.497011825933498;-17.951294416392273
4400;-13.725386161626204;-9.459105701720603;-17.991691037943355
4500;-13.726614133943428;-9.424269372346544;-18.028990852962323
4600;-13.72782826681896;-9.39258354256549;-18.063112571370368
4700;-13.729028273932613;-9.364126775386296;-18.09397705086829
4800;-13.730213872126967;-9.33897538445109;-18.121507404697695
4900;-13.73138478147473;-9.317203327831862;-18.14562910797909
5000;-13.732540725349338;-9.298882103370431;-18.166270102517785
5100;-13.733681430484467;-9.284080645702886;-18.18336089991206
