year,mean_C_degC,max_C_degC,min_C_degC
100,32.439449184791954,95.33609176624913,-30.45762910066682
200,32.44060433893327,95.35736102682114,-30.476569705888807
300,32.441759558211686,95.38159877658683,-30.49847841045289
400,32.44291457237631,95.40877486944777,-30.52332562279514
500,32.44406911134462,95.43885696559119,-30.551079557500117
600,32.44522290523037,95.4718105583703,-30.58170626205461
700,32.44637568443011,95.50759900281167,-30.61516964521124
800,32.44752717967822,95.54618354570431,-30.65143150695434
900,32.4486771220848,95.58752335729042,-30.69045157003262
1000,32.449825243296914,95.63157556446657,-30.73218751304492
1100,32.45097127538668,95.6782952855391,-30.776595005073318
1200,32.452114951058604,95.72763566647671,-30.823627741758372
1300,32.45325600369432,95.77954791861328,-30.873237482897764
1400,32.45439416730949,95.83398135780504,-30.92537409147684
1500,32.45552917675985,95.89088344498975,-30.979985574083372
1600,32.456660767658775,95.95019982815484,-31.03701812273144
1700,32.45778867659436,96.01187438564273,-31.09641615803247
1800,32.45891264103517,96.07584927070366,-31.158122373677173
1900,32.46003239945588,96.14206495746487,-31.22207778216793
2000,32.46114769147033,96.21046028804358,-31.28822176188416
2100,32.46225825774252,96.28097252087395,-31.35649210528203
2200,32.463363840157115,96.35353738029278,-31.42682506826671
2300,32.46446418185849,96.42808910718088,-31.499155420788043
2400,32.46555902725606,96.50456051070034,-31.573416498452957
2500,32.466648122145955,96.5828830211808,-31.649540255194864
2600,32.46773121375321,96.66298674393846,-31.72745731705487
2700,32.46880805075233,96.74480051405396,-31.80709703684701
2800,32.469878383371736,96.82825195229674,-31.888387549800797
2900,32.47094196337224,96.91326752152025,-31.971255830084004
3000,32.4719985442519,96.99977258445904,-32.05562774825637
3100,32.47304788115025,97.08769146184261,-32.141428129366574
3200,32.47408973100147,97.17694749161882,-32.22858081205618
3300,32.47512385248166,97.26746308864534,-32.31700870804164
3400,32.47615000620618,97.35915980531274,-32.40663386272928
3500,32.47716795461969,97.45195839244673,-32.497377516002075
3600,32.478177462238875,97.54577886125963,-32.58916016394042
3700,32.4791782955478,97.6405405453707,-32.68190162081686
3800,32.48017022313621,97.73616216367168,-32.775521081848495
3900,32.48115301566446,97.83256188336685,-32.869937186030455
4000,32.48212644604092,97.92965738367792,-32.96506807984443
4100,32.48309028930811,98.02736591952856,-33.06083148083428
4200,32.484044322916986,98.12560438601179,-33.157144741845286
4300,32.48498832657987,98.22428938262095,-33.253924915241384
4400,32.485922082333104,98.3233372780341,-33.35108881758248
4500,32.486845374742074,98.42266427486948,-33.44855309417957
4600,32.48775799077549,98.52218647456658,-33.54623428399054
4700,32.48865971996145,98.62181994236079,-33.64404888449155
4800,32.48955035438121,98.7214807722624,-33.74191341643612
4900,32.4904296887363,98.82108515200582,-33.83974448879954
5000,32.491297520333944,98.92054942777207,-33.937458863402554
5100,32.492153649283296,99.01979016899605,-34.0349735195272
5200,32.492997878368726,99.11872423275418,-34.13220571832744
5300,32.493830013168804,99.21726882800675,-34.22907306699929
