year;mean_C_degC;max_C_degC;min_C_degC
100;-7.390193126233328;62.41326778545931;-77.19379566368187
200;-7.390193158946545;62.4451147585379;-77.22564323757203
300;-7.39019319131944;62.47708126764735;-77.25761034119472
400;-7.390193223342578;62.509166050804595;-77.28969571254373
500;-7.39019325502602;62.54136784135716;-77.32189808494289
600;-7.390193286361807;62.57368536803352;-77.35421618709813
700;-7.390193317349997;62.60611735499265;-77.38664874314537
800;-7.39019334799184;62.638662521876086;-77.41919447270425
900;-7.390193378258857;62.67131958385596;-77.45185209092404
1000;-7.390193408209257;62.70408725168761;-77.48462030853818
1100;-7.3901934377935845;62.7369642317592;-77.51749783191377
1200;-7.3901934670101355;62.76994922614415;-77.55048336310199
1300;-7.3901934958952324;62.80304093265147;-77.58357559989082
1400;-7.3901935244056745;62.836238044878144;-77.61677323585647
1500;-7.390193552574544;62.86953925225629;-77.65007496041125
1600;-7.3901935803596075;62.90294324011353;-77.68347945886089
1700;-7.3901936078078165;62.93644868971694;-77.7169854124524
1800;-7.390193634897912;62.97005427832829;-77.75059149842929
1900;-7.390193661600961;63.003758679257544;-77.78429639008021
2000;-7.3901936879638015;63.03756056191207;-77.81809875679323
2100;-7.390193713956251;63.0714585918509;-77.85199726410991
2200;-7.390193739576887;63.10545143083897;-77.88599057377462
2300;-7.3901937648452645;63.13953773689673;-77.92007734378916
2400;-7.390193789740067;63.17371616435446;-77.95425622846736
2500;-7.390193814260044;63.20798536390754;-77.98852587848478
2600;-7.390193838424693;63.24234398266623;-78.02288494093378
2700;-7.390193862222247;63.27679066420785;-78.0573320593767
2800;-7.390193885658334;63.311324048642575;-78.09186587390212
2900;-7.3901939086854895;63.34594277264847;-78.12648502117486
3000;-7.3901939313479375;63.38064546953757;-78.16118813448901
3100;-7.39019395363988;63.41543076930691;-78.19597384382504
3200;-7.390193975583998;63.450297298691;-78.23084077590283
3300;-7.39019399713419;63.48524368122162;-78.26578755423546
3400;-7.390194018326952;63.52026853727409;-78.30081279918267
3500;-7.3901940391056655;63.55537048412708;-78.3359151280105
3600;-7.390194059514272;63.590548136015855;-78.37109315493765
3700;-7.390194079547541;63.625800104186965;-78.40634549119596
3800;-7.390194099227983;63.66112499695163;-78.44167074508354
3900;-7.390194118509555;63.696521419746375;-78.47706752201981
4000;-7.390194137428978;63.73198797517966;-78.51253442459924
4100;-7.390194155921677;63.76752326309253;-78.54807005265206
4200;-7.390194174055637;63.803125880612754;-78.58367300329112
4300;-7.390194191828073;63.83879442220996;-78.61934187097287
4400;-7.390194209179242;63.874527479749645;-78.65507524755151
4500;-7.390194226164851;63.910323642554886;-78.69087172233452
4600;-7.390194242757559;63.94618149745298;-78.72672988213688
4700;-7.390194258972315;63.98209962883715;-78.76264831134282
4800;-7.390194274808721;64.01807661872118;-78.79862559195274
4900;-7.3901942902687665;64.05411104679513;-78.83466030364522
5000;-7.39019430530351;64.09020149047984;-78.87075102383153
5100;-7.390194319969112;64.12634652498951;-78.90689632771188
5200;-7.390194334237833;64.16254472337846;-78.94309478832997
5300;-7.390194348081536;64.19879465661006;-78.97934497664338
