year,mean_C_degC,max_C_degC,min_C_degC
100,-7.389009175065439,62.40989858191705,-77.18808997035802
200,-7.387850905307346,62.435591245065154,-77.21145547008348
300,-7.386692376548353,62.4585717271662,-77.23210797207597
400,-7.38553386216671,62.478784254634945,-77.24999225739694
500,-7.384375635565505,62.49617532744077,-77.265055381102
600,-7.383217970069666,62.510693806576285,-77.27724675957089
700,-7.382061138887252,62.52229099971811,-77.28651825603436
800,-7.380905415037262,62.53092074496402,-77.2928242641731
900,-7.379751071251292,62.53653949253146,-77.29612178967594
1000,-7.378598380027597,62.539106384302556,-77.29637052964765
1100,-7.377447613369725,62.53858333109406,-77.29353294974703
1200,-7.376299042875587,62.53493508757094,-77.28757435894948
1300,-7.3751529396647015,62.52812932465446,-77.27846298181814
1400,-7.37400957419527,62.518136699344836,-77.26617002819609
1500,-7.372869216353536,62.504930921862695,-77.25066976019656
1600,-7.371732135240734,62.48848881995474,-77.2319395563861
1700,-7.370598599266543,62.46879040035492,-77.20995997306918
1800,-7.369468875935638,62.44581890721031,-77.18471480261798
1900,-7.3683432318387645,62.41956087744347,-77.1561911286617
2000,-7.367221932671839,62.39000619292278,-77.12437937813098
2100,-7.366105243023696,62.357148129377265,-77.08927337003328
2200,-7.364993426414571,62.32098340196404,-77.0508703608671
2300,-7.363886745224647,62.281512207391415,-77.00917108661721
2400,-7.362785460573207,62.23873826254675,-76.96417980124204
2500,-7.361689832312834,62.19266883954111,-76.91590431156578
2600,-7.36060011897024,62.14331479708807,-76.86435600853011
2700,-7.359516577631382,62.090690608181774,-76.80954989473443
2800,-7.358439463927709,62.03481438395369,-76.75150460813055
2900,-7.3573690319073535,61.975707893775905,-76.69024244202427
3000,-7.356305534112607,61.9133965813146,-76.62578936095801
3100,-7.3552492213879646,61.847909576831,-76.55817501288888
3200,-7.354200342884951,61.77927970527122,-76.48743273714234
3300,-7.353159145918028,61.7075434905546,-76.41359956854944
3400,-7.352125876048433,61.632741155529345,-76.33671623728364
3500,-7.3511007768550485,61.554916618080256,-76.25682716483354
3600,-7.350084090062467,61.47411748284969,-76.17398045557141
3700,-7.349076055340504,61.39039502903421,-76.08822788442987
3800,-7.3480769103233,61.30380419375467,-75.99962488013955
3900,-7.347086890448793,61.21440355149042,-75.90823050451536
4000,-7.346106229060922,61.12225528901865,-75.81410742728389
4100,-7.345135157170375,61.027425176427016,-75.71732189696596
4200,-7.344173903624494,60.929982533636746,-75.61794370725124
4300,-7.343222694857616,60.83000019297356,-75.51604615945595
4400,-7.3422817548504895,60.72755445728643,-75.41170602051537
4500,-7.341351305242199,60.62272505405724,-75.30500347695101
4600,-7.340431565086078,60.51559508529914,-75.19602208466489
4700,-7.339522750919002,60.40625097317587,-75.08484871443528
4800,-7.3386250766489525,60.29478240173091,-74.97157349350383
4900,-7.337738753530971,60.18128225425869,-74.85628974284202
5000,-7.336863990059214,60.06584654689232,-74.73909391061997
5100,-7.336000992063703,59.94857435792596,-74.62008550139424
5200,-7.335149962487151,59.82956775340824,-74.49936700160617
