year,mean_C_degC,max_C_degC,min_C_degC
100,-37.27472282220833,55.9535646829641,-130.50313760837815
200,-37.271544090008206,55.99073739250264,-130.53395289785115
300,-37.268364619620456,56.02791869781004,-130.5647752768093
400,-37.26518515772102,56.06509986699871,-130.59559750673438
500,-37.26200645100951,56.10227216821187,-130.62641234914292
600,-37.25882924598409,56.13942687167656,-130.6572125672863
700,-37.2556542888008,56.17655525175178,-130.68799092785065
800,-37.25248232508986,56.21364858897954,-130.71874020265523
900,-37.24931409973826,56.25069817213051,-130.74945317035034
1000,-37.246150356871084,56.287695300250675,-130.78012261811207
1100,-37.2429918394167,56.32463128470607,-130.81074134333704
1200,-37.23983928914038,56.36149745122111,-130.84130215533494
1300,-37.2366934464566,56.39828514191646,-130.87179787701504
1400,-37.233555050098175,56.43498571734415,-130.90222134657387
1500,-37.23042483715119,56.47159055851307,-130.9325654191738
1600,-37.22730354267958,56.50809106891495,-130.96282296862597
1700,-37.22419189977168,56.5444786765446,-130.99298688906066
1800,-37.22109063915755,56.58074483591156,-131.02305009659472
1900,-37.218000489119646,56.61688103004502,-131.05300553099895
2000,-37.21492217543212,56.65287877249813,-131.0828461573543
2100,-37.211856420985555,56.68872960933868,-131.11256496770204
2200,-37.208803945760934,56.72442512113287,-131.14215498269326
2300,-37.20576546664742,56.75995692492626,-131.17160925322634
2400,-37.202741697193005,56.795316676210746,-131.20092086207663
2500,-37.19973334751876,56.83049607088208,-131.230082925525
2600,-37.1967411241512,56.86548684719395,-131.25908859497272
2700,-37.193765729787515,56.90028078769518,-131.2879310585453
2800,-37.19080786319719,56.934869721162556,-131.31660354270593
2900,-37.18786821896177,56.969245524516,-131.3450993138263
3000,-37.18494748750584,57.003400124729126,-131.37341167978428
3100,-37.18204635474501,57.03732550072408,-131.40153399152865
3200,-37.17916550203077,57.07101368525679,-131.4294596446415
3300,-37.17630560586065,57.10445676678273,-131.45718208088954
3400,-37.17346733791976,57.13764689132279,-131.4846947897655
3500,-37.17065136469009,57.17057626430278,-131.51199131001175
3600,-37.167858347552425,57.203237152384645,-131.53906523114583
3700,-37.16508894242949,57.235621885283194,-131.56591019496037
3800,-37.162343799736874,57.26772285756863,-131.5925198970179
3900,-37.159623564101054,57.299532530447095,-131.61888808813117
4000,-37.156928874408464,57.33104343353932,-131.6450085758322
4100,-37.15426036341171,57.362248166629854,-131.6708752258213
4200,-37.15161865789216,57.39313940140573,-131.6964819634155
4300,-37.14900437824156,57.423709883178276,-131.72182277496992
4400,-37.146418138335235,57.45395243258736,-131.74689170929153
4500,-37.14386054561601,57.48385994728295,-131.77168287903652
4600,-37.14133220068959,57.51342540360025,-131.79619046209444
4700,-37.13883369734913,57.54264185820443,-131.82040870294992
4800,-37.13636562235857,57.571502449722516,-131.84433191404278
4900,-37.13392855534008,57.60000040035425,-131.86795447709787
5000,-37.13152306856526,57.628129017465994,-131.89127084444632
5100,-37.129149727028135,57.65588169515627,-131.91427554032794
5200,-37.12680908806348,57.68325191581579,-131.93696316217887
5300,-37.124501701325215,57.71023325165493,-131.9593283818959
5400,-37.12222810879848,57.73681936620466,-131.98136594709143
5500,-37.11998884442821,57.76300401581983,-132.00307068233107
5600,-37.11778443398168,57.788781051135004,-132.02443749033492
5700,-37.11561539529228,57.81414441851166,-132.04546135319214
5800,-37.113482237593985,57.83908816145953,-132.06613733352867
5900,-37.11138546192865,57.863606422038345,-132.08646057566918
6000,-37.10932556071671,57.88769344222237,-132.10642630677773
6100,-37.10730301763883,57.91134356526942,-132.12602983797825
6200,-37.1053183078395,57.93455123703825,-132.1452665654562
6300,-37.10337189728364,57.95731100729529,-132.16413197153926
6400,-37.10146424319362,57.97961753099531,-132.1826216257587
6500,-37.099595793567545,58.001465569536094,-132.20073118588965
6600,-37.09776698705295,58.02284999198895,-132.21845639897083
6700,-37.095978253345976,58.04376577630376,-132.23579310230343
6800,-37.094230012358935,58.06420801048813,-132.25273722443146
